surface,scenario,schedule,mode,method,tolerance,n,failures,p_value,familywise_alpha,violation_detected
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,nearest_source__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,nearest_source__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,optimized__barycentric,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,optimized__barycentric,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,optimized__lipschitz,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,optimized__lipschitz,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,optimized__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,optimized__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,uniform__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,r2,uniform__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,optimized__barycentric,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,optimized__barycentric,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,optimized__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,optimized__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,uniform__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,nearest,rinf,uniform__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,inverse_variance__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,inverse_variance__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,nearest_source__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,nearest_source__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,optimized__barycentric,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,optimized__barycentric,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,optimized__lipschitz,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,optimized__lipschitz,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,optimized__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,optimized__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,uniform__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,r2,uniform__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,inverse_variance__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,inverse_variance__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,nearest_source__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,nearest_source__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,optimized__barycentric,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,optimized__barycentric,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,optimized__lipschitz,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,optimized__lipschitz,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,optimized__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,optimized__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,uniform__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,bridgeable,random,rinf,uniform__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,inverse_variance__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,inverse_variance__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,nearest_source__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,nearest_source__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,optimized__barycentric,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,optimized__barycentric,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,optimized__lipschitz,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,optimized__lipschitz,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,optimized__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,optimized__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,uniform__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,r2,uniform__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,inverse_variance__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,inverse_variance__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,nearest_source__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,nearest_source__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,optimized__barycentric,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,optimized__barycentric,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,optimized__lipschitz,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,optimized__lipschitz,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,optimized__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,optimized__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,uniform__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,nearest,rinf,uniform__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,inverse_variance__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,inverse_variance__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,nearest_source__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,nearest_source__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,optimized__barycentric,0.2,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,optimized__barycentric,0.3,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,optimized__lipschitz,0.2,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,optimized__lipschitz,0.3,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,optimized__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,optimized__minimum,0.3,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,uniform__minimum,0.2,200,0,1,2.31481481481e-05,False
linear,supported,random,r2,uniform__minimum,0.3,200,0,1,2.31481481481e-05,False
