surface,scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.1628125592,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.2,1,200,,,0,0,0,1,96,0.448985150463,1.13348331542,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.2,2,200,,,0,0,0,1,192,0.436334457266,1.10663912851,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.2,3,200,,,0,0,0,1,288,0.424187853008,1.07958925843,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.1628125592,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.3,1,200,,,0,0,0,1,96,0.448985150463,1.13348331542,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.3,2,200,,,0,0,0,1,192,0.436334457266,1.10663912851,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.3,3,200,,,0,0,0,1,288,0.424187853008,1.07958925843,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.09048825171,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.2,1,200,,,0,0,0,1,96,0.0794331533162,0.84023465595,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.2,2,200,,,0,0,0,1,192,0.0794331533162,0.84023465595,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.2,3,200,,,0,0,0,1,288,0.0794331533162,0.84023465595,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.09048825171,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.3,1,200,,,0,0,0,1,96,0.0794331533162,0.84023465595,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.3,2,200,,,0,0,0,1,192,0.0794331533162,0.84023465595,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.3,3,200,,,0,0,0,1,288,0.0794331533162,0.84023465595,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.2,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.2,1,200,,,0,0,0,1,96,0.0817124738771,0.798837967032,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.2,2,200,,,0,0,0,1,192,0.0657917979958,0.62493823596,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.2,3,200,,,0,0,0,1,288,0.0467235368574,0.479305377602,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.3,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.3,1,200,,,0,0,0,1,96,0.0817124738771,0.798837967032,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.3,2,200,0.0516437344353,0,91,0.455,0,1,192,0.0657917979958,0.62493823596,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.3,3,200,0.0467235368574,0,200,1,0,1,288,0.0467235368574,0.479305377602,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.2,0,200,,,0,0,0,1,0,0.3743328216,1.07363827547,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.2,1,200,,,0,0,0,1,96,0.0882641568453,0.837251063391,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.2,2,200,,,0,0,0,1,192,0.0814254111829,0.762243863494,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.2,3,200,,,0,0,0,1,288,0.0514084103444,0.729988830371,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.3,0,200,,,0,0,0,1,0,0.3743328216,1.07363827547,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.3,1,200,,,0,0,0,1,96,0.0882641568453,0.837251063391,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.3,2,200,,,0,0,0,1,192,0.0814254111829,0.762243863494,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.3,3,200,,,0,0,0,1,288,0.0514084103444,0.729988830371,1
linear,bridgeable,nearest,r2,optimized__minimum,0.2,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,nearest,r2,optimized__minimum,0.2,1,200,,,0,0,0,1,96,0.0817127139363,0.798837967024,1
linear,bridgeable,nearest,r2,optimized__minimum,0.2,2,200,,,0,0,0,1,192,0.0657917757137,0.624938235944,1
linear,bridgeable,nearest,r2,optimized__minimum,0.2,3,200,,,0,0,0,1,288,0.0467235368574,0.479305377602,1
linear,bridgeable,nearest,r2,optimized__minimum,0.3,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,nearest,r2,optimized__minimum,0.3,1,200,,,0,0,0,1,96,0.0817127139363,0.798837967024,1
linear,bridgeable,nearest,r2,optimized__minimum,0.3,2,200,0.0516437344353,0,91,0.455,0,1,192,0.0657917757137,0.624938235944,1
linear,bridgeable,nearest,r2,optimized__minimum,0.3,3,200,0.0467235368574,0,200,1,0,1,288,0.0467235368574,0.479305377602,1
linear,bridgeable,nearest,r2,uniform__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.1628125592,1
linear,bridgeable,nearest,r2,uniform__minimum,0.2,1,200,,,0,0,0,1,96,0.36953014098,1.02215432496,1
linear,bridgeable,nearest,r2,uniform__minimum,0.2,2,200,,,0,0,0,1,192,0.308274115954,0.914310743442,1
linear,bridgeable,nearest,r2,uniform__minimum,0.2,3,200,,,0,0,0,1,288,0.263521790234,0.821905177423,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.1628125592,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,1,200,,,0,0,0,1,96,0.36953014098,1.02215432496,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,2,200,,,0,0,0,1,192,0.308274115954,0.914310743442,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,3,200,,,0,0,0,1,288,0.263521790234,0.821905177423,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.28750059651,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.2,1,200,,,0,0,0,1,96,0.448985150463,1.27338443952,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.2,2,200,,,0,0,0,1,192,0.436334457266,1.26091661234,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.2,3,200,,,0,0,0,1,288,0.424187853008,1.24747446233,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.28750059651,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.3,1,200,,,0,0,0,1,96,0.448985150463,1.27338443952,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.3,2,200,,,0,0,0,1,192,0.436334457266,1.26091661234,1
linear,bridgeable,nearest,rinf,inverse_variance__minimum,0.3,3,200,,,0,0,0,1,288,0.424187853008,1.24747446233,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.09508964326,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.2,1,200,,,0,0,0,1,96,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.2,2,200,,,0,0,0,1,192,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.2,3,200,,,0,0,0,1,288,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.09508964326,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.3,1,200,,,0,0,0,1,96,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.3,2,200,,,0,0,0,1,192,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,nearest_source__minimum,0.3,3,200,,,0,0,0,1,288,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.2,0,200,,,0,0,0,1,0,0.354862530947,1.09470705965,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.2,1,200,,,0,0,0,1,96,0.0767848659377,0.824984644814,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.2,2,200,,,0,0,0,1,192,0.0711332930652,0.75267674428,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.2,3,200,,,0,0,0,1,288,0.0619372697454,0.66595490876,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.3,0,200,,,0,0,0,1,0,0.354862530947,1.09470705965,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.3,1,200,,,0,0,0,1,96,0.0767848659377,0.824984644814,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.3,2,200,,,0,0,0,1,192,0.0711332930652,0.75267674428,1
linear,bridgeable,nearest,rinf,optimized__barycentric,0.3,3,200,,,0,0,0,1,288,0.0619372697454,0.66595490876,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.09508964326,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.2,1,200,,,0,0,0,1,96,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.2,2,200,,,0,0,0,1,192,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.2,3,200,,,0,0,0,1,288,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.09508964326,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.3,1,200,,,0,0,0,1,96,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.3,2,200,,,0,0,0,1,192,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,optimized__lipschitz,0.3,3,200,,,0,0,0,1,288,0.0794331533162,0.853517729204,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.2,0,200,,,0,0,0,1,0,0.354862530947,1.09470705965,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.2,1,200,,,0,0,0,1,96,0.0767848659377,0.824984644814,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.2,2,200,,,0,0,0,1,192,0.0711332930652,0.75267674428,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.2,3,200,,,0,0,0,1,288,0.0619372697454,0.66595490876,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.3,0,200,,,0,0,0,1,0,0.354862530947,1.09470705965,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.3,1,200,,,0,0,0,1,96,0.0767848659377,0.824984644814,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.3,2,200,,,0,0,0,1,192,0.0711332930652,0.75267674428,1
linear,bridgeable,nearest,rinf,optimized__minimum,0.3,3,200,,,0,0,0,1,288,0.0619372697454,0.66595490876,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.28750059651,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.2,1,200,,,0,0,0,1,96,0.36953014098,1.19060262457,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.2,2,200,,,0,0,0,1,192,0.308274115954,1.13105469251,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.2,3,200,,,0,0,0,1,288,0.263521790234,1.07983902208,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.28750059651,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.3,1,200,,,0,0,0,1,96,0.36953014098,1.19060262457,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.3,2,200,,,0,0,0,1,192,0.308274115954,1.13105469251,1
linear,bridgeable,nearest,rinf,uniform__minimum,0.3,3,200,,,0,0,0,1,288,0.263521790234,1.07983902208,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.1628125592,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.2,1,200,,,0,0,0,1,96,0.440822653908,1.1167875378,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.2,2,200,,,0,0,0,1,192,0.421853482676,1.07661994472,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.2,3,200,,,0,0,0,1,288,0.403521638051,1.03790743204,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.1628125592,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.3,1,200,,,0,0,0,1,96,0.440822653908,1.1167875378,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.3,2,200,,,0,0,0,1,192,0.421853482676,1.07661994472,1
linear,bridgeable,random,r2,inverse_variance__minimum,0.3,3,200,,,0,0,0,1,288,0.403521638051,1.03790743204,1
linear,bridgeable,random,r2,nearest_source__minimum,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.09048825171,1
linear,bridgeable,random,r2,nearest_source__minimum,0.2,1,200,,,0,0,0,1,96,0.255913914472,1.10059311782,1
linear,bridgeable,random,r2,nearest_source__minimum,0.2,2,200,,,0,0,0,1,192,0.174801489032,1.07950229132,1
linear,bridgeable,random,r2,nearest_source__minimum,0.2,3,200,,,0,0,0,1,288,0.140448711456,1.01666961309,1
linear,bridgeable,random,r2,nearest_source__minimum,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.09048825171,1
linear,bridgeable,random,r2,nearest_source__minimum,0.3,1,200,,,0,0,0,1,96,0.255913914472,1.10059311782,1
linear,bridgeable,random,r2,nearest_source__minimum,0.3,2,200,,,0,0,0,1,192,0.174801489032,1.07950229132,1
linear,bridgeable,random,r2,nearest_source__minimum,0.3,3,200,,,0,0,0,1,288,0.140448711456,1.01666961309,1
linear,bridgeable,random,r2,optimized__barycentric,0.2,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,random,r2,optimized__barycentric,0.2,1,200,0.0353205389487,0,42,0.21,0,1,96,0.0823958883602,0.583062593388,1
linear,bridgeable,random,r2,optimized__barycentric,0.2,2,200,0.0334848921965,0,124,0.62,0,1,192,0.0404231885528,0.416308588584,1
linear,bridgeable,random,r2,optimized__barycentric,0.2,3,200,0.0304092266836,0,178,0.89,0,1,288,0.0323872692316,0.350138467699,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,1,200,0.0418158275586,0,132,0.66,0,1,96,0.0823958883602,0.583062593388,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,2,200,0.0380951532901,0,191,0.955,0,1,192,0.0404231885528,0.416308588584,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,3,200,0.0323872692316,0,200,1,0,1,288,0.0323872692316,0.350138467699,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,0,200,,,0,0,0,1,0,0.3743328216,1.07363827547,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,1,200,,,0,0,0,1,96,0.277640129791,1.01071064298,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,2,200,,,0,0,0,1,192,0.197410037644,0.946066392805,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,3,200,,,0,0,0,1,288,0.145368758746,0.885934612864,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,0,200,,,0,0,0,1,0,0.3743328216,1.07363827547,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,1,200,,,0,0,0,1,96,0.277640129791,1.01071064298,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,2,200,,,0,0,0,1,192,0.197410037644,0.946066392805,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,3,200,,,0,0,0,1,288,0.145368758746,0.885934612864,1
linear,bridgeable,random,r2,optimized__minimum,0.2,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,random,r2,optimized__minimum,0.2,1,200,0.0353205389487,0,42,0.21,0,1,96,0.0823958883602,0.583062593388,1
linear,bridgeable,random,r2,optimized__minimum,0.2,2,200,0.0334848921965,0,124,0.62,0,1,192,0.0404231885528,0.416308588584,1
linear,bridgeable,random,r2,optimized__minimum,0.2,3,200,0.0304092266836,0,178,0.89,0,1,288,0.0323872692316,0.350138467699,1
linear,bridgeable,random,r2,optimized__minimum,0.3,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,random,r2,optimized__minimum,0.3,1,200,0.0418158275586,0,132,0.66,0,1,96,0.0823958883602,0.583062593388,1
linear,bridgeable,random,r2,optimized__minimum,0.3,2,200,0.0380951532901,0,191,0.955,0,1,192,0.0404231885528,0.416308588584,1
linear,bridgeable,random,r2,optimized__minimum,0.3,3,200,0.0323872692316,0,200,1,0,1,288,0.0323872692316,0.350138467699,1
linear,bridgeable,random,r2,uniform__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.1628125592,1
linear,bridgeable,random,r2,uniform__minimum,0.2,1,200,,,0,0,0,1,96,0.313480997969,0.907589778095,1
linear,bridgeable,random,r2,uniform__minimum,0.2,2,200,,,0,0,0,1,192,0.222997265596,0.73765515496,1
linear,bridgeable,random,r2,uniform__minimum,0.2,3,200,0.0382029208798,0,8,0.04,0,1,288,0.156254293552,0.605906451488,1
linear,bridgeable,random,r2,uniform__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.1628125592,1
