scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
bridgeable,nearest,r2,inverse_variance__minimum,0.2,0,600,,,0,0,0,1,0,0.414528817077,1.21984710398,1
bridgeable,nearest,r2,inverse_variance__minimum,0.2,1,600,,,0,0,0,1,96,0.402634179049,1.19049152819,1
bridgeable,nearest,r2,inverse_variance__minimum,0.2,2,600,,,0,0,0,1,192,0.390948572085,1.16506945021,1
bridgeable,nearest,r2,inverse_variance__minimum,0.2,3,600,,,0,0,0,1,288,0.380157437772,1.14105009185,1
bridgeable,nearest,r2,inverse_variance__minimum,0.3,0,600,,,0,0,0,1,0,0.414528817077,1.21984710398,1
bridgeable,nearest,r2,inverse_variance__minimum,0.3,1,600,,,0,0,0,1,96,0.402634179049,1.19049152819,1
bridgeable,nearest,r2,inverse_variance__minimum,0.3,2,600,,,0,0,0,1,192,0.390948572085,1.16506945021,1
bridgeable,nearest,r2,inverse_variance__minimum,0.3,3,600,,,0,0,0,1,288,0.380157437772,1.14105009185,1
bridgeable,nearest,r2,nearest_source__minimum,0.2,0,600,,,0,0,0,1,0,0.315971494109,1.13186592789,1
bridgeable,nearest,r2,nearest_source__minimum,0.2,1,600,,,0,0,0,1,96,0.077686240388,0.846684150654,1
bridgeable,nearest,r2,nearest_source__minimum,0.2,2,600,,,0,0,0,1,192,0.077686240388,0.846684150654,1
bridgeable,nearest,r2,nearest_source__minimum,0.2,3,600,,,0,0,0,1,288,0.077686240388,0.846684150654,1
bridgeable,nearest,r2,nearest_source__minimum,0.3,0,600,,,0,0,0,1,0,0.315971494109,1.13186592789,1
bridgeable,nearest,r2,nearest_source__minimum,0.3,1,600,,,0,0,0,1,96,0.077686240388,0.846684150654,1
bridgeable,nearest,r2,nearest_source__minimum,0.3,2,600,,,0,0,0,1,192,0.077686240388,0.846684150654,1
bridgeable,nearest,r2,nearest_source__minimum,0.3,3,600,,,0,0,0,1,288,0.077686240388,0.846684150654,1
bridgeable,nearest,r2,optimized__barycentric,0.2,0,600,,,0,0,0,1,0,0.341235133364,1.10545490029,1
bridgeable,nearest,r2,optimized__barycentric,0.2,1,600,,,0,0,0,1,96,0.0774323477979,0.811202731336,1
bridgeable,nearest,r2,optimized__barycentric,0.2,2,600,,,0,0,0,1,192,0.0614516540608,0.638963913101,1
bridgeable,nearest,r2,optimized__barycentric,0.2,3,600,,,0,0,0,1,288,0.0449154053889,0.503776999394,1
bridgeable,nearest,r2,optimized__barycentric,0.3,0,600,,,0,0,0,1,0,0.341235133364,1.10545490029,1
bridgeable,nearest,r2,optimized__barycentric,0.3,1,600,,,0,0,0,1,96,0.0774323477979,0.811202731336,1
bridgeable,nearest,r2,optimized__barycentric,0.3,2,600,0.0484745700665,0,290,0.483333333333,0,1,192,0.0614516540608,0.638963913101,1
bridgeable,nearest,r2,optimized__barycentric,0.3,3,600,0.0449154053889,0,600,1,0,1,288,0.0449154053889,0.503776999394,1
bridgeable,nearest,r2,optimized__lipschitz,0.2,0,600,,,0,0,0,1,0,0.336722881291,1.11623761963,1
bridgeable,nearest,r2,optimized__lipschitz,0.2,1,600,,,0,0,0,1,96,0.0823696899246,0.844991241762,1
bridgeable,nearest,r2,optimized__lipschitz,0.2,2,600,,,0,0,0,1,192,0.0755970131632,0.773194884934,1
bridgeable,nearest,r2,optimized__lipschitz,0.2,3,600,,,0,0,0,1,288,0.0492492094589,0.74334477622,1
bridgeable,nearest,r2,optimized__lipschitz,0.3,0,600,,,0,0,0,1,0,0.336722881291,1.11623761963,1
bridgeable,nearest,r2,optimized__lipschitz,0.3,1,600,,,0,0,0,1,96,0.0823696899246,0.844991241762,1
bridgeable,nearest,r2,optimized__lipschitz,0.3,2,600,,,0,0,0,1,192,0.0755970131632,0.773194884934,1
bridgeable,nearest,r2,optimized__lipschitz,0.3,3,600,,,0,0,0,1,288,0.0492492094589,0.74334477622,1
bridgeable,nearest,r2,optimized__minimum,0.2,0,600,,,0,0,0,1,0,0.341235910597,1.10545464895,1
bridgeable,nearest,r2,optimized__minimum,0.2,1,600,,,0,0,0,1,96,0.0778276766969,0.811089127779,1
bridgeable,nearest,r2,optimized__minimum,0.2,2,600,,,0,0,0,1,192,0.0614240798964,0.638760742621,1
bridgeable,nearest,r2,optimized__minimum,0.2,3,600,,,0,0,0,1,288,0.0449154053889,0.503776999394,1
bridgeable,nearest,r2,optimized__minimum,0.3,0,600,,,0,0,0,1,0,0.341235910597,1.10545464895,1
bridgeable,nearest,r2,optimized__minimum,0.3,1,600,,,0,0,0,1,96,0.0778276766969,0.811089127779,1
bridgeable,nearest,r2,optimized__minimum,0.3,2,600,0.0484745700665,0,290,0.483333333333,0,1,192,0.0614240798964,0.638760742621,1
bridgeable,nearest,r2,optimized__minimum,0.3,3,600,0.0449154053889,0,600,1,0,1,288,0.0449154053889,0.503776999394,1
bridgeable,nearest,r2,uniform__minimum,0.2,0,600,,,0,0,0,1,0,0.414528817077,1.21984710398,1
bridgeable,nearest,r2,uniform__minimum,0.2,1,600,,,0,0,0,1,96,0.332852302617,1.07656870806,1
bridgeable,nearest,r2,uniform__minimum,0.2,2,600,,,0,0,0,1,192,0.27566737435,0.970662594046,1
bridgeable,nearest,r2,uniform__minimum,0.2,3,600,,,0,0,0,1,288,0.236124991163,0.886102168966,1
bridgeable,nearest,r2,uniform__minimum,0.3,0,600,,,0,0,0,1,0,0.414528817077,1.21984710398,1
bridgeable,nearest,r2,uniform__minimum,0.3,1,600,,,0,0,0,1,96,0.332852302617,1.07656870806,1
bridgeable,nearest,r2,uniform__minimum,0.3,2,600,,,0,0,0,1,192,0.27566737435,0.970662594046,1
bridgeable,nearest,r2,uniform__minimum,0.3,3,600,,,0,0,0,1,288,0.236124991163,0.886102168966,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.2,0,600,,,0,0,0,1,0,0.414528817077,1.34453514129,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.2,1,600,,,0,0,0,1,96,0.402634179049,1.33039265229,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.2,2,600,,,0,0,0,1,192,0.390948572085,1.31934693404,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.2,3,600,,,0,0,0,1,288,0.380157437772,1.30893529575,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.3,0,600,,,0,0,0,1,0,0.414528817077,1.34453514129,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.3,1,600,,,0,0,0,1,96,0.402634179049,1.33039265229,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.3,2,600,,,0,0,0,1,192,0.390948572085,1.31934693404,1
bridgeable,nearest,rinf,inverse_variance__minimum,0.3,3,600,,,0,0,0,1,288,0.380157437772,1.30893529575,1
bridgeable,nearest,rinf,nearest_source__minimum,0.2,0,600,,,0,0,0,1,0,0.315971494109,1.13646731945,1
bridgeable,nearest,rinf,nearest_source__minimum,0.2,1,600,,,0,0,0,1,96,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,nearest_source__minimum,0.2,2,600,,,0,0,0,1,192,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,nearest_source__minimum,0.2,3,600,,,0,0,0,1,288,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,nearest_source__minimum,0.3,0,600,,,0,0,0,1,0,0.315971494109,1.13646731945,1
bridgeable,nearest,rinf,nearest_source__minimum,0.3,1,600,,,0,0,0,1,96,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,nearest_source__minimum,0.3,2,600,,,0,0,0,1,192,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,nearest_source__minimum,0.3,3,600,,,0,0,0,1,288,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,optimized__barycentric,0.2,0,600,,,0,0,0,1,0,0.31638644927,1.13628121832,1
bridgeable,nearest,rinf,optimized__barycentric,0.2,1,600,,,0,0,0,1,96,0.0756585833481,0.834752406899,1
bridgeable,nearest,rinf,optimized__barycentric,0.2,2,600,,,0,0,0,1,192,0.0680836548138,0.772190303071,1
bridgeable,nearest,rinf,optimized__barycentric,0.2,3,600,,,0,0,0,1,288,0.0605785279889,0.706004493542,1
bridgeable,nearest,rinf,optimized__barycentric,0.3,0,600,,,0,0,0,1,0,0.31638644927,1.13628121832,1
bridgeable,nearest,rinf,optimized__barycentric,0.3,1,600,,,0,0,0,1,96,0.0756585833481,0.834752406899,1
bridgeable,nearest,rinf,optimized__barycentric,0.3,2,600,,,0,0,0,1,192,0.0680836548138,0.772190303071,1
bridgeable,nearest,rinf,optimized__barycentric,0.3,3,600,,,0,0,0,1,288,0.0605785279889,0.706004493542,1
bridgeable,nearest,rinf,optimized__lipschitz,0.2,0,600,,,0,0,0,1,0,0.315971494109,1.13646731945,1
bridgeable,nearest,rinf,optimized__lipschitz,0.2,1,600,,,0,0,0,1,96,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,optimized__lipschitz,0.2,2,600,,,0,0,0,1,192,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,optimized__lipschitz,0.2,3,600,,,0,0,0,1,288,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,optimized__lipschitz,0.3,0,600,,,0,0,0,1,0,0.315971494109,1.13646731945,1
bridgeable,nearest,rinf,optimized__lipschitz,0.3,1,600,,,0,0,0,1,96,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,optimized__lipschitz,0.3,2,600,,,0,0,0,1,192,0.077686240388,0.859967223909,1
bridgeable,nearest,rinf,optimized__lipschitz,0.3,3,600,,,0,0,0,1,288,0.077686240388,0.859967223909,1
