scenario,schedule,mode,tolerance,regime,reference,comparator,metric,difference,lower,upper,n_worlds
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,released,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,bad_release,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,path_covered,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,new_n,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,error,-0.335242032383,-0.338242189579,-0.332079706834,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,width,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,released,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,bad_release,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,path_covered,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,new_n,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,error,-0.0327708349991,-0.0375169978406,-0.0283745829964,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,width,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,optimized__barycentric,released,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,optimized__barycentric,bad_release,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,optimized__barycentric,path_covered,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,optimized__barycentric,new_n,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,optimized__barycentric,error,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,optimized__barycentric,width,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,optimized__lipschitz,released,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,optimized__lipschitz,bad_release,0,0,0,600
bridgeable,nearest,r2,0.2,stopped,optimized__minimum,optimized__lipschitz,path_covered,0,0,0,600
