surface,scenario,schedule,mode,stage,bar_minus_min,lip_minus_min,bar_tighter,lip_tighter
linear,bridgeable,nearest,r2,0,0,0.00766135164794,1,0
linear,bridgeable,nearest,r2,1,0,0.021476826289,0.95,0
linear,bridgeable,nearest,r2,2,0,0.0882289619371,1,0
linear,bridgeable,nearest,r2,3,0,0.164375372722,1,0
linear,bridgeable,nearest,rinf,0,5.55111512313e-19,0.000656570621766,0.135,0
linear,bridgeable,nearest,rinf,1,0,0.0199617439562,0.795,0
linear,bridgeable,nearest,rinf,2,2.77555756156e-19,0.124885631112,0.915,0
linear,bridgeable,nearest,rinf,3,0,0.256972814478,1,0
linear,bridgeable,random,r2,0,0,0.00766135164794,1,0
linear,bridgeable,random,r2,1,0,0.289127813343,0.99,0
linear,bridgeable,random,r2,2,0,0.357903473264,1,0
linear,bridgeable,random,r2,3,0,0.379272415643,1,0
linear,bridgeable,random,rinf,0,5.55111512313e-19,0.000656570621766,0.135,0
linear,bridgeable,random,rinf,1,0,0.287030958933,0.87,0
linear,bridgeable,random,rinf,2,0,0.400504477615,0.985,0
linear,bridgeable,random,rinf,3,0,0.444108799488,1,0
linear,supported,nearest,r2,0,0,0.104370577994,1,0
linear,supported,nearest,r2,1,0,0.10197182393,1,0
linear,supported,nearest,r2,2,0,0.104657507479,1,0
linear,supported,nearest,r2,3,0,0.108558249048,1,0
linear,supported,nearest,rinf,0,0,0.100896925873,1,0
linear,supported,nearest,rinf,1,0,0.101786377264,1,0
linear,supported,nearest,rinf,2,0,0.102065540596,1,0
linear,supported,nearest,rinf,3,0,0.102802053275,1,0
linear,supported,random,r2,0,0,0.104370577994,1,0
linear,supported,random,r2,1,0,0.107009639213,1,0
linear,supported,random,r2,2,0,0.108910086418,1,0
linear,supported,random,r2,3,0,0.110666291007,1,0
linear,supported,random,rinf,0,0,0.100896925873,1,0
linear,supported,random,rinf,1,0,0.101617155044,1,0
linear,supported,random,rinf,2,0,0.102378449622,1,0
linear,supported,random,rinf,3,0,0.102556771224,1,0
linear,unreachable,nearest,r2,0,2.22044604925e-18,0.000715844226702,0.92,0
linear,unreachable,nearest,r2,1,9.99200722163e-18,0.000759054455413,0.605,0
linear,unreachable,nearest,r2,2,0,0.000149513053224,1,0
linear,unreachable,nearest,r2,3,0,0.000457001189407,1,0
linear,unreachable,nearest,rinf,0,1.33226762955e-17,3.33066907388e-18,0,0
linear,unreachable,nearest,rinf,1,6.66133814775e-18,1.11022302463e-17,0,0
linear,unreachable,nearest,rinf,2,2.6645352591e-17,1.88737914186e-17,0,0
linear,unreachable,nearest,rinf,3,4.10782519111e-17,2.77555756156e-17,0,0
linear,unreachable,random,r2,0,2.22044604925e-18,0.000715844226702,0.92,0
linear,unreachable,random,r2,1,2.22044604925e-18,0.00185985551976,0.9,0
linear,unreachable,random,r2,2,0,0.00179160577353,0.95,0
linear,unreachable,random,r2,3,0,0.00151064292247,0.99,0
linear,unreachable,random,rinf,0,1.33226762955e-17,3.33066907388e-18,0,0
linear,unreachable,random,rinf,1,2.99760216649e-17,0.000225959685055,0.1,0
linear,unreachable,random,rinf,2,2.77555756156e-17,0.00027159534772,0.11,0
linear,unreachable,random,rinf,3,3.21964677141e-17,0.000252393783244,0.105,0
quadratic,bridgeable,nearest,r2,0,0,0.00673782686528,0.99,0
quadratic,bridgeable,nearest,r2,1,0,0.0196764127951,0.835,0
quadratic,bridgeable,nearest,r2,2,5.25432028408e-05,0.0972908115608,0.94,0.06
quadratic,bridgeable,nearest,r2,3,0,0.168960536402,1,0
quadratic,bridgeable,nearest,rinf,0,5.55111512313e-19,0.000249873254463,0.05,0
quadratic,bridgeable,nearest,rinf,1,0,0.0182156277849,0.715,0
quadratic,bridgeable,nearest,rinf,2,0,0.140819775215,0.895,0
quadratic,bridgeable,nearest,rinf,3,0,0.271026674103,1,0
quadratic,bridgeable,random,r2,0,0,0.00673782686528,0.99,0
quadratic,bridgeable,random,r2,1,4.62949315627e-05,0.260793186783,0.945,0.035
quadratic,bridgeable,random,r2,2,2.53882234605e-05,0.354625651304,0.975,0.025
quadratic,bridgeable,random,r2,3,0,0.374631880636,1,0
