surface,scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.06450443808,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.2,1,200,,,0,0,0,1,96,0.448985150463,0.600304215018,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.2,2,200,,,0,0,0,1,192,0.436334457266,0.558836710476,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.2,3,200,,,0,0,0,1,288,0.424187853008,0.532806702511,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.06450443808,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.3,1,200,,,0,0,0,1,96,0.448985150463,0.600304215018,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.3,2,200,,,0,0,0,1,192,0.436334457266,0.558836710476,1
linear,bridgeable,nearest,r2,inverse_variance__minimum,0.3,3,200,,,0,0,0,1,288,0.424187853008,0.532806702511,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.06450443808,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.2,1,200,,,0,0,0,1,96,0.0794331533162,0.600304215018,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.2,2,200,,,0,0,0,1,192,0.0794331533162,0.558836710476,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.2,3,200,,,0,0,0,1,288,0.0794331533162,0.532806702511,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.06450443808,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.3,1,200,,,0,0,0,1,96,0.0794331533162,0.600304215018,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.3,2,200,,,0,0,0,1,192,0.0794331533162,0.558836710476,1
linear,bridgeable,nearest,r2,nearest_source__minimum,0.3,3,200,,,0,0,0,1,288,0.0794331533162,0.532806702511,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.2,0,200,,,0,0,0,1,0,0.38006644792,1.06450443808,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.2,1,200,,,0,0,0,1,96,0.0817124738771,0.600304215018,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.2,2,200,,,0,0,0,1,192,0.0657917979958,0.558836710476,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.2,3,200,,,0,0,0,1,288,0.0467235368574,0.532806702511,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.3,0,200,,,0,0,0,1,0,0.38006644792,1.06450443808,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.3,1,200,,,0,0,0,1,96,0.0817124738771,0.600304215018,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.3,2,200,0.0516437344353,0,91,0.455,0,1,192,0.0657917979958,0.551674790133,1
linear,bridgeable,nearest,r2,optimized__barycentric,0.3,3,200,0.0481824895298,0,200,1,0,1,244.32,0.0481824895298,0.487285548909,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.2,0,200,,,0,0,0,1,0,0.3743328216,1.06450443808,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.2,1,200,,,0,0,0,1,96,0.0882641568453,0.600304215018,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.2,2,200,,,0,0,0,1,192,0.0814254111829,0.558836710476,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.2,3,200,,,0,0,0,1,288,0.0514084103444,0.532806702511,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.3,0,200,,,0,0,0,1,0,0.3743328216,1.06450443808,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.3,1,200,,,0,0,0,1,96,0.0882641568453,0.600304215018,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.3,2,200,,,0,0,0,1,192,0.0814254111829,0.558836710476,1
linear,bridgeable,nearest,r2,optimized__lipschitz,0.3,3,200,,,0,0,0,1,288,0.0514084103444,0.532806702511,1
linear,bridgeable,nearest,r2,optimized__minimum,0.2,0,200,,,0,0,0,1,0,0.38006644792,1.06450443808,1
linear,bridgeable,nearest,r2,optimized__minimum,0.2,1,200,,,0,0,0,1,96,0.0817127139363,0.600304215018,1
linear,bridgeable,nearest,r2,optimized__minimum,0.2,2,200,,,0,0,0,1,192,0.0657917757137,0.558836710476,1
linear,bridgeable,nearest,r2,optimized__minimum,0.2,3,200,,,0,0,0,1,288,0.0467235368574,0.532806702511,1
linear,bridgeable,nearest,r2,optimized__minimum,0.3,0,200,,,0,0,0,1,0,0.38006644792,1.06450443808,1
linear,bridgeable,nearest,r2,optimized__minimum,0.3,1,200,,,0,0,0,1,96,0.0817127139363,0.600304215018,1
linear,bridgeable,nearest,r2,optimized__minimum,0.3,2,200,0.0516437344353,0,91,0.455,0,1,192,0.0657917757137,0.551674790133,1
linear,bridgeable,nearest,r2,optimized__minimum,0.3,3,200,0.0481824895298,0,200,1,0,1,244.32,0.0481824895298,0.487285548909,1
linear,bridgeable,nearest,r2,uniform__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.06450443808,1
linear,bridgeable,nearest,r2,uniform__minimum,0.2,1,200,,,0,0,0,1,96,0.36953014098,0.600304215018,1
linear,bridgeable,nearest,r2,uniform__minimum,0.2,2,200,,,0,0,0,1,192,0.308274115954,0.558836710476,1
linear,bridgeable,nearest,r2,uniform__minimum,0.2,3,200,,,0,0,0,1,288,0.263521790234,0.532806702511,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.06450443808,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,1,200,,,0,0,0,1,96,0.36953014098,0.600304215018,1
linear,bridgeable,nearest,r2,uniform__minimum,0.3,2,200,,,0,0,0,1,192,0.308274115954,0.558836710476,1
