scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
bridgeable,nearest,r2,inverse_variance__minimum,0.2,0,600,,,0,0,0,1,0,0.414528817077,1.11193588032,1
bridgeable,nearest,r2,inverse_variance__minimum,0.2,1,600,,,0,0,0,1,96,0.402634179049,0.675266806263,1
bridgeable,nearest,r2,inverse_variance__minimum,0.2,2,600,,,0,0,0,1,192,0.390948572085,0.63547242764,1
bridgeable,nearest,r2,inverse_variance__minimum,0.2,3,600,,,0,0,0,1,288,0.380157437772,0.607355940007,1
bridgeable,nearest,r2,inverse_variance__minimum,0.3,0,600,,,0,0,0,1,0,0.414528817077,1.11193588032,1
bridgeable,nearest,r2,inverse_variance__minimum,0.3,1,600,,,0,0,0,1,96,0.402634179049,0.675266806263,1
bridgeable,nearest,r2,inverse_variance__minimum,0.3,2,600,,,0,0,0,1,192,0.390948572085,0.63547242764,1
bridgeable,nearest,r2,inverse_variance__minimum,0.3,3,600,,,0,0,0,1,288,0.380157437772,0.607355940007,1
bridgeable,nearest,r2,nearest_source__minimum,0.2,0,600,,,0,0,0,1,0,0.315971494109,1.11193588032,1
bridgeable,nearest,r2,nearest_source__minimum,0.2,1,600,,,0,0,0,1,96,0.077686240388,0.675266806263,1
bridgeable,nearest,r2,nearest_source__minimum,0.2,2,600,,,0,0,0,1,192,0.077686240388,0.63547242764,1
bridgeable,nearest,r2,nearest_source__minimum,0.2,3,600,,,0,0,0,1,288,0.077686240388,0.607355940007,1
bridgeable,nearest,r2,nearest_source__minimum,0.3,0,600,,,0,0,0,1,0,0.315971494109,1.11193588032,1
bridgeable,nearest,r2,nearest_source__minimum,0.3,1,600,,,0,0,0,1,96,0.077686240388,0.675266806263,1
bridgeable,nearest,r2,nearest_source__minimum,0.3,2,600,,,0,0,0,1,192,0.077686240388,0.63547242764,1
