method,threshold,n_targets,n_released,release_rate,refusal_rate,coverage_all,coverage_released,mae_all,mae_released,sign_error_all,sign_error_released,mean_width_released
family_split_conformal,0.2,10,0,0,1,0.8,,0.785237403158475,,0.2,,
family_split_conformal,0.4,10,0,0,1,0.8,,0.785237403158475,,0.2,,
family_split_conformal,0.6,10,0,0,1,0.8,,0.785237403158475,,0.2,,
family_split_conformal,0.8,10,0,0,1,0.8,,0.785237403158475,,0.2,,
family_split_conformal,1,10,0,0,1,0.8,,0.785237403158475,,0.2,,
hierarchical_meta_analysis,0.2,10,0,0,1,0.9,,0.815955153632374,,0.2,,
hierarchical_meta_analysis,0.4,10,0,0,1,0.9,,0.815955153632374,,0.2,,
hierarchical_meta_analysis,0.6,10,0,0,1,0.9,,0.815955153632374,,0.2,,
hierarchical_meta_analysis,0.8,10,0,0,1,0.9,,0.815955153632374,,0.2,,
hierarchical_meta_analysis,1,10,2,0.2,0.8,0.9,0.5,0.815955153632374,1.083545,0.2,0,1.60140419268169
robust_partial_identification,0.2,10,0,0,1,1,,0.819977,,0.2,,
robust_partial_identification,0.4,10,0,0,1,1,,0.819977,,0.2,,
robust_partial_identification,0.6,10,0,0,1,1,,0.819977,,0.2,,
robust_partial_identification,0.8,10,0,0,1,1,,0.819977,,0.2,,
robust_partial_identification,1,10,0,0,1,1,,0.819977,,0.2,,
study_split_conformal,0.2,10,0,0,1,0.8,,0.785237403158475,,0.2,,
study_split_conformal,0.4,10,0,0,1,0.8,,0.785237403158475,,0.2,,
study_split_conformal,0.6,10,0,0,1,0.8,,0.785237403158475,,0.2,,
study_split_conformal,0.8,10,0,0,1,0.8,,0.785237403158475,,0.2,,
study_split_conformal,1,10,0,0,1,0.8,,0.785237403158475,,0.2,,
transport_meta_regression,0.2,10,0,0,1,0.8,,0.684739373933838,,0.1,,
transport_meta_regression,0.4,10,0,0,1,0.8,,0.684739373933838,,0.1,,
transport_meta_regression,0.6,10,2,0.2,0.8,0.8,0.5,0.684739373933838,1.083545,0.1,0,1.07763773608749
transport_meta_regression,0.8,10,2,0.2,0.8,0.8,0.5,0.684739373933838,1.083545,0.1,0,1.07763773608749
transport_meta_regression,1,10,2,0.2,0.8,0.8,0.5,0.684739373933838,1.083545,0.1,0,1.07763773608749
