target_family,target_study,method,prediction_change,radius_change
Alter,Alter.3,transport_meta_regression,0,0
Alter,Alter.3,hierarchical_meta_analysis,0,0
Alter,Alter.3,robust_partial_identification,0,0
Alter,Alter.3,study_split_conformal,0,0
Alter,Alter.3,family_split_conformal,0,0
Anderson,Anderson.1,transport_meta_regression,0,0
Anderson,Anderson.1,hierarchical_meta_analysis,0,0
Anderson,Anderson.1,robust_partial_identification,0,0
Anderson,Anderson.1,study_split_conformal,0,0
Anderson,Anderson.1,family_split_conformal,0,0
Bauer,Bauer.1,transport_meta_regression,0,0
Bauer,Bauer.1,hierarchical_meta_analysis,0,0
Bauer,Bauer.1,robust_partial_identification,0,0
Bauer,Bauer.1,study_split_conformal,0,0
Bauer,Bauer.1,family_split_conformal,0,0
Critcher,Critcher.1,transport_meta_regression,0,0
Critcher,Critcher.1,hierarchical_meta_analysis,0,0
Critcher,Critcher.1,robust_partial_identification,0,0
Critcher,Critcher.1,study_split_conformal,0,0
Critcher,Critcher.1,family_split_conformal,0,0
Gati,Gati.2,transport_meta_regression,0,0
Gati,Gati.2,hierarchical_meta_analysis,0,0
Gati,Gati.2,robust_partial_identification,0,0
Gati,Gati.2,study_split_conformal,0,0
Gati,Gati.2,family_split_conformal,0,0
Giessner,Giessner.1,transport_meta_regression,0,0
Giessner,Giessner.1,hierarchical_meta_analysis,0,0
Giessner,Giessner.1,robust_partial_identification,0,0
Giessner,Giessner.1,study_split_conformal,0,0
Giessner,Giessner.1,family_split_conformal,0,0
Graham,Graham.1,transport_meta_regression,0,0
Graham,Graham.1,hierarchical_meta_analysis,0,0
Graham,Graham.1,robust_partial_identification,0,0
Graham,Graham.1,study_split_conformal,0,0
Graham,Graham.1,family_split_conformal,0,0
Gray,Gray.1,transport_meta_regression,0,0
Gray,Gray.1,hierarchical_meta_analysis,0,0
Gray,Gray.1,robust_partial_identification,0,0
Gray,Gray.1,study_split_conformal,0,0
Gray,Gray.1,family_split_conformal,0,0
Hauser,Hauser.1,transport_meta_regression,0,0
Hauser,Hauser.1,hierarchical_meta_analysis,0,0
Hauser,Hauser.1,robust_partial_identification,0,0
Hauser,Hauser.1,study_split_conformal,0,0
Hauser,Hauser.1,family_split_conformal,0,0
Hauser,Hauser.4,transport_meta_regression,0,0
Hauser,Hauser.4,hierarchical_meta_analysis,0,0
Hauser,Hauser.4,robust_partial_identification,0,0
Hauser,Hauser.4,study_split_conformal,0,0
Hauser,Hauser.4,family_split_conformal,0,0
Hsee,Hsee.1,transport_meta_regression,0,0
Hsee,Hsee.1,hierarchical_meta_analysis,0,0
Hsee,Hsee.1,robust_partial_identification,0,0
Hsee,Hsee.1,study_split_conformal,0,0
Hsee,Hsee.1,family_split_conformal,0,0
Huang,Huang.3,transport_meta_regression,0,0
Huang,Huang.3,hierarchical_meta_analysis,0,0
Huang,Huang.3,robust_partial_identification,0,0
Huang,Huang.3,study_split_conformal,0,0
Huang,Huang.3,family_split_conformal,0,0
Huang,Huang.4,transport_meta_regression,0,0
Huang,Huang.4,hierarchical_meta_analysis,0,0
Huang,Huang.4,robust_partial_identification,0,0
Huang,Huang.4,study_split_conformal,0,0
Huang,Huang.4,family_split_conformal,0,0
Kay,Kay.1,transport_meta_regression,0,0
Kay,Kay.1,hierarchical_meta_analysis,0,0
Kay,Kay.1,robust_partial_identification,0,0
Kay,Kay.1,study_split_conformal,0,0
Kay,Kay.1,family_split_conformal,0,0
Knobe,Knobe.1,transport_meta_regression,0,0
Knobe,Knobe.1,hierarchical_meta_analysis,0,0
Knobe,Knobe.1,robust_partial_identification,0,0
Knobe,Knobe.1,study_split_conformal,0,0
Knobe,Knobe.1,family_split_conformal,0,0
Miyamoto,Miyamoto.1,transport_meta_regression,0,0
Miyamoto,Miyamoto.1,hierarchical_meta_analysis,0,0
Miyamoto,Miyamoto.1,robust_partial_identification,0,0
Miyamoto,Miyamoto.1,study_split_conformal,0,0
Miyamoto,Miyamoto.1,family_split_conformal,0,0
Miyamoto,Miyamoto.3,transport_meta_regression,0,0
Miyamoto,Miyamoto.3,hierarchical_meta_analysis,0,0
Miyamoto,Miyamoto.3,robust_partial_identification,0,0
Miyamoto,Miyamoto.3,study_split_conformal,0,0
Miyamoto,Miyamoto.3,family_split_conformal,0,0
Risen,Risen.3,transport_meta_regression,0,0
Risen,Risen.3,hierarchical_meta_analysis,0,0
Risen,Risen.3,robust_partial_identification,0,0
Risen,Risen.3,study_split_conformal,0,0
Risen,Risen.3,family_split_conformal,0,0
Ross,Ross.1,transport_meta_regression,0,0
Ross,Ross.1,hierarchical_meta_analysis,0,0
Ross,Ross.1,robust_partial_identification,0,0
Ross,Ross.1,study_split_conformal,0,0
Ross,Ross.1,family_split_conformal,0,0
Ross,Ross.2,transport_meta_regression,0,0
Ross,Ross.2,hierarchical_meta_analysis,0,0
Ross,Ross.2,robust_partial_identification,0,0
Ross,Ross.2,study_split_conformal,0,0
Ross,Ross.2,family_split_conformal,0,0
Rottenstreich,Rottenstreich.1,transport_meta_regression,0,0
Rottenstreich,Rottenstreich.1,hierarchical_meta_analysis,0,0
Rottenstreich,Rottenstreich.1,robust_partial_identification,0,0
Rottenstreich,Rottenstreich.1,study_split_conformal,0,0
Rottenstreich,Rottenstreich.1,family_split_conformal,0,0
Savani,Savani.2a,transport_meta_regression,0,0
Savani,Savani.2a,hierarchical_meta_analysis,0,0
Savani,Savani.2a,robust_partial_identification,0,0
Savani,Savani.2a,study_split_conformal,0,0
Savani,Savani.2a,family_split_conformal,0,0
Savani,Savani.2b,transport_meta_regression,0,0
Savani,Savani.2b,hierarchical_meta_analysis,0,0
Savani,Savani.2b,robust_partial_identification,0,0
Savani,Savani.2b,study_split_conformal,0,0
Savani,Savani.2b,family_split_conformal,0,0
Shafir,Shafir.1,transport_meta_regression,0,0
Shafir,Shafir.1,hierarchical_meta_analysis,0,0
Shafir,Shafir.1,robust_partial_identification,0,0
Shafir,Shafir.1,study_split_conformal,0,0
Shafir,Shafir.1,family_split_conformal,0,0
Tversky,Tversky.1,transport_meta_regression,0,0
Tversky,Tversky.1,hierarchical_meta_analysis,0,0
Tversky,Tversky.1,robust_partial_identification,0,0
Tversky,Tversky.1,study_split_conformal,0,0
Tversky,Tversky.1,family_split_conformal,0,0
Zaval,Zaval.3,transport_meta_regression,0,0
Zaval,Zaval.3,hierarchical_meta_analysis,0,0
Zaval,Zaval.3,robust_partial_identification,0,0
Zaval,Zaval.3,study_split_conformal,0,0
Zaval,Zaval.3,family_split_conformal,0,0
Zhong,Zhong.1,transport_meta_regression,0,0
Zhong,Zhong.1,hierarchical_meta_analysis,0,0
Zhong,Zhong.1,robust_partial_identification,0,0
Zhong,Zhong.1,study_split_conformal,0,0
Zhong,Zhong.1,family_split_conformal,0,0
vanLange,vanLange.1,transport_meta_regression,0,0
vanLange,vanLange.1,hierarchical_meta_analysis,0,0
vanLange,vanLange.1,robust_partial_identification,0,0
vanLange,vanLange.1,study_split_conformal,0,0
vanLange,vanLange.1,family_split_conformal,0,0
