method,threshold,n_targets,n_target_families,n_released,release_rate,refusal_rate,coverage_all,coverage_released,mae_all,mae_released,sign_error_all,sign_error_released,mean_width_released
family_split_conformal,0.2,28,23,0,0,1,0.928571428571429,,0.459408093892182,,0.0714285714285714,,
family_split_conformal,0.4,28,23,0,0,1,0.928571428571429,,0.459408093892182,,0.0714285714285714,,
family_split_conformal,0.6,28,23,0,0,1,0.928571428571429,,0.459408093892182,,0.0714285714285714,,
family_split_conformal,0.8,28,23,0,0,1,0.928571428571429,,0.459408093892182,,0.0714285714285714,,
family_split_conformal,1,28,23,0,0,1,0.928571428571429,,0.459408093892182,,0.0714285714285714,,
hierarchical_meta_analysis,0.2,28,23,0,0,1,0.964285714285714,,0.465731468138492,,0.0714285714285714,,
hierarchical_meta_analysis,0.4,28,23,0,0,1,0.964285714285714,,0.465731468138492,,0.0714285714285714,,
hierarchical_meta_analysis,0.6,28,23,0,0,1,0.964285714285714,,0.465731468138492,,0.0714285714285714,,
hierarchical_meta_analysis,0.8,28,23,0,0,1,0.964285714285714,,0.465731468138492,,0.0714285714285714,,
hierarchical_meta_analysis,1,28,23,2,0.0714285714285714,0.928571428571429,0.964285714285714,0.5,0.465731468138492,1.083545,0.0714285714285714,0,1.60140419268169
robust_partial_identification,0.2,28,23,0,0,1,1,,0.542711785714286,,0.0714285714285714,,
robust_partial_identification,0.4,28,23,0,0,1,1,,0.542711785714286,,0.0714285714285714,,
robust_partial_identification,0.6,28,23,0,0,1,1,,0.542711785714286,,0.0714285714285714,,
robust_partial_identification,0.8,28,23,0,0,1,1,,0.542711785714286,,0.0714285714285714,,
robust_partial_identification,1,28,23,0,0,1,1,,0.542711785714286,,0.0714285714285714,,
study_split_conformal,0.2,28,23,0,0,1,1,,0.459408093892182,,0.0714285714285714,,
study_split_conformal,0.4,28,23,0,0,1,1,,0.459408093892182,,0.0714285714285714,,
study_split_conformal,0.6,28,23,0,0,1,1,,0.459408093892182,,0.0714285714285714,,
study_split_conformal,0.8,28,23,0,0,1,1,,0.459408093892182,,0.0714285714285714,,
study_split_conformal,1,28,23,0,0,1,1,,0.459408093892182,,0.0714285714285714,,
transport_meta_regression,0.2,28,23,0,0,1,0.928571428571429,,0.43289643475165,,0.0357142857142857,,
transport_meta_regression,0.4,28,23,0,0,1,0.928571428571429,,0.43289643475165,,0.0357142857142857,,
transport_meta_regression,0.6,28,23,2,0.0714285714285714,0.928571428571429,0.928571428571429,0.5,0.43289643475165,1.083545,0.0357142857142857,0,1.07763773608749
transport_meta_regression,0.8,28,23,2,0.0714285714285714,0.928571428571429,0.928571428571429,0.5,0.43289643475165,1.083545,0.0357142857142857,0,1.07763773608749
transport_meta_regression,1,28,23,2,0.0714285714285714,0.928571428571429,0.928571428571429,0.5,0.43289643475165,1.083545,0.0357142857142857,0,1.07763773608749
