target_family,target_study,method,prediction_change,radius_change
Hauser,Hauser.1,transport_meta_regression,0,0
Hauser,Hauser.1,hierarchical_meta_analysis,0,0
Hauser,Hauser.1,robust_partial_identification,0,0
Hauser,Hauser.1,study_split_conformal,0,0
Hauser,Hauser.1,family_split_conformal,0,0
Hauser,Hauser.4,transport_meta_regression,0,0
Hauser,Hauser.4,hierarchical_meta_analysis,0,0
Hauser,Hauser.4,robust_partial_identification,0,0
Hauser,Hauser.4,study_split_conformal,0,0
Hauser,Hauser.4,family_split_conformal,0,0
Huang,Huang.3,transport_meta_regression,0,0
Huang,Huang.3,hierarchical_meta_analysis,0,0
Huang,Huang.3,robust_partial_identification,0,0
Huang,Huang.3,study_split_conformal,0,0
Huang,Huang.3,family_split_conformal,0,0
Huang,Huang.4,transport_meta_regression,0,0
Huang,Huang.4,hierarchical_meta_analysis,0,0
Huang,Huang.4,robust_partial_identification,0,0
Huang,Huang.4,study_split_conformal,0,0
Huang,Huang.4,family_split_conformal,0,0
Miyamoto,Miyamoto.1,transport_meta_regression,0,0
Miyamoto,Miyamoto.1,hierarchical_meta_analysis,0,0
Miyamoto,Miyamoto.1,robust_partial_identification,0,0
Miyamoto,Miyamoto.1,study_split_conformal,0,0
Miyamoto,Miyamoto.1,family_split_conformal,0,0
Miyamoto,Miyamoto.3,transport_meta_regression,0,0
Miyamoto,Miyamoto.3,hierarchical_meta_analysis,0,0
Miyamoto,Miyamoto.3,robust_partial_identification,0,0
Miyamoto,Miyamoto.3,study_split_conformal,0,0
Miyamoto,Miyamoto.3,family_split_conformal,0,0
Ross,Ross.1,transport_meta_regression,0,0
Ross,Ross.1,hierarchical_meta_analysis,0,0
Ross,Ross.1,robust_partial_identification,0,0
Ross,Ross.1,study_split_conformal,0,0
Ross,Ross.1,family_split_conformal,0,0
Ross,Ross.2,transport_meta_regression,0,0
Ross,Ross.2,hierarchical_meta_analysis,0,0
Ross,Ross.2,robust_partial_identification,0,0
Ross,Ross.2,study_split_conformal,0,0
Ross,Ross.2,family_split_conformal,0,0
Savani,Savani.2a,transport_meta_regression,0,0
Savani,Savani.2a,hierarchical_meta_analysis,0,0
Savani,Savani.2a,robust_partial_identification,0,0
Savani,Savani.2a,study_split_conformal,0,0
Savani,Savani.2a,family_split_conformal,0,0
Savani,Savani.2b,transport_meta_regression,0,0
Savani,Savani.2b,hierarchical_meta_analysis,0,0
Savani,Savani.2b,robust_partial_identification,0,0
Savani,Savani.2b,study_split_conformal,0,0
Savani,Savani.2b,family_split_conformal,0,0
