shift,method,radius,n,coverage,mc_lower,mc_upper,analytic,set_valid
0,semantic_gaussian,0.195996398454,20000,0.9488,0.945658284303,0.951769344133,0.95,True
0,paper_gaussian_set,0.495996398454,20000,1,0.999807963944,1,0.999999294937,True
0,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.02,semantic_gaussian,0.195996398454,20000,0.94515,0.941908134225,0.948220896074,0.945405314473,True
0.02,paper_gaussian_set,0.495996398454,20000,1,0.999807963944,1,0.999998908364,True
0.02,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.04,semantic_gaussian,0.195996398454,20000,0.93295,0.929399929496,0.936333786483,0.931477449122,True
0.04,paper_gaussian_set,0.495996398454,20000,1,0.999807963944,1,0.999997400261,True
0.04,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.06,semantic_gaussian,0.195996398454,20000,0.91025,0.906209578616,0.914132855799,0.907845188807,True
0.06,paper_gaussian_set,0.495996398454,20000,1,0.999807963944,1,0.999993482316,True
0.06,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.08,semantic_gaussian,0.195996398454,20000,0.87785,0.87323902846,0.882315849892,0.874077878377,True
0.08,paper_gaussian_set,0.495996398454,20000,1,0.999807963944,1,0.999984080904,True
0.08,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.1,semantic_gaussian,0.195996398454,20000,0.83195,0.826704316687,0.837068190575,0.829924954247,True
0.1,paper_gaussian_set,0.495996398454,20000,1,0.999807963944,1,0.999962518205,True
0.1,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.12,semantic_gaussian,0.195996398454,20000,0.77825,0.772439496431,0.783953635504,0.775573000177,True
0.12,paper_gaussian_set,0.495996398454,20000,1,0.999807963944,1,0.999915030726,True
0.12,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.14,semantic_gaussian,0.195996398454,20000,0.71435,0.708048850277,0.720568823865,0.711858234937,True
0.14,paper_gaussian_set,0.495996398454,20000,0.9999,0.999635426386,0.999972575965,0.99981454707,True
0.14,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.16,semantic_gaussian,0.195996398454,20000,0.6444,0.637738600568,0.651005939419,0.640377513739,True
0.16,paper_gaussian_set,0.495996398454,20000,0.99945,0.999015323765,0.999692851418,0.999610236804,True
0.16,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.18,semantic_gaussian,0.195996398454,20000,0.567,0.560120756831,0.573853510337,0.56346030859,True
0.18,paper_gaussian_set,0.495996398454,20000,0.99885,0.998274865148,0.999233540479,0.999211056782,True
0.18,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.2,semantic_gaussian,0.195996398454,20000,0.4875,0.480575711909,0.494429088992,0.483994726024,True
0.2,paper_gaussian_set,0.495996398454,20000,0.998,0.997277907888,0.9985308242,0.998461624955,True
0.2,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.22,semantic_gaussian,0.195996398454,20000,0.40805,0.401256952987,0.414878362443,0.405135253283,True
0.22,paper_gaussian_set,0.495996398454,20000,0.99685,0.995972211169,0.997536962602,0.997109613298,True
0.22,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,1,True
0.24,semantic_gaussian,0.195996398454,20000,0.3333,0.32679951136,0.339864513462,0.329949007117,True
0.24,paper_gaussian_set,0.495996398454,20000,0.9945,0.993375763199,0.995434313142,0.994765849432,True
0.24,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999999998,True
0.26,semantic_gaussian,0.195996398454,20000,0.26375,0.257688588688,0.269902148348,0.261072034441,True
0.26,paper_gaussian_set,0.495996398454,20000,0.9903,0.988844394654,0.99156729479,0.990861645325,True
0.26,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999999994,True
0.28,semantic_gaussian,0.195996398454,20000,0.2035,0.197977518087,0.209136359294,0.200443128564,True
0.28,paper_gaussian_set,0.495996398454,20000,0.9839,0.982060466148,0.985553681357,0.984612271117,True
0.28,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999999975,True
0.3,semantic_gaussian,0.195996398454,20000,0.151,0.146104831337,0.15602920983,0.149161231673,True
0.3,paper_gaussian_set,0.495996398454,20000,0.97415,0.971858014472,0.976259877736,0.975,True
0.3,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999999907,True
0.32,semantic_gaussian,0.195996398454,20000,0.1103,0.106033079947,0.114716592955,0.107480913123,False
0.32,paper_gaussian_set,0.495996398454,20000,0.9605,0.957710897056,0.963112237736,0.960793043356,False
0.32,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999999663,False
0.34,semantic_gaussian,0.195996398454,20000,0.07885,0.0751952858233,0.0826664661468,0.0749285633015,False
0.34,paper_gaussian_set,0.495996398454,20000,0.942,0.938674859801,0.945155380325,0.940615803796,False
0.34,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999998828,False
0.36,semantic_gaussian,0.195996398454,20000,0.05355,0.0505148054475,0.056756663547,0.0504988258865,False
0.36,paper_gaussian_set,0.495996398454,20000,0.91545,0.911514028146,0.919226409095,0.913079339375,False
0.36,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999996081,False
0.38,semantic_gaussian,0.195996398454,20000,0.0344,0.0319622026481,0.0370166213273,0.03288147076,False
0.38,paper_gaussian_set,0.495996398454,20000,0.8807,0.876134443204,0.885119340542,0.876968265078,False
0.38,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999987403,False
0.4,semantic_gaussian,0.195996398454,20000,0.02125,0.019341311767,0.0233425627567,0.0206733680974,False
0.4,paper_gaussian_set,0.495996398454,20000,0.8335,0.828273162795,0.838598749156,0.83146332929,False
0.4,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999961049,False
0.42,semantic_gaussian,0.195996398454,20000,0.01215,0.0107226108014,0.0137647587786,0.0125442920479,False
0.42,paper_gaussian_set,0.495996398454,20000,0.7791,0.773297238405,0.784795567069,0.776361943388,False
0.42,theorem_Rinf,0.937192204298,20000,1,0.999807963944,1,0.999999884151,False
0.44,semantic_gaussian,0.195996398454,20000,0.0072,0.00611919489451,0.00847007584238,0.00734289875153,False
0.44,paper_gaussian_set,0.495996398454,20000,0.71475,0.70845140619,0.720966114324,0.712247998106,False
