k,replicate,test_scale,method,radius,joint_covered,marginal_fraction
4,0,1,joint_max,2.4988017412,True,1
4,0,1,marginal_only_invalid,1.80145273734,True,1
4,0,1,gaussian_union,2.57582930355,True,1
4,0,2,joint_max,2.4988017412,False,0.6
4,0,2,marginal_only_invalid,1.80145273734,False,0.6
4,0,2,gaussian_union,2.57582930355,False,0.6
4,1,1,joint_max,2.50772166432,True,1
4,1,1,marginal_only_invalid,1.75028662101,True,1
4,1,1,gaussian_union,2.57582930355,True,1
4,1,2,joint_max,2.50772166432,True,1
4,1,2,marginal_only_invalid,1.75028662101,False,0.6
4,1,2,gaussian_union,2.57582930355,True,1
4,2,1,joint_max,2.77247852838,True,1
4,2,1,marginal_only_invalid,2.11348741321,False,0.8
4,2,1,gaussian_union,2.57582930355,True,1
4,2,2,joint_max,2.77247852838,False,0.8
4,2,2,marginal_only_invalid,2.11348741321,False,0.8
4,2,2,gaussian_union,2.57582930355,False,0.8
4,3,1,joint_max,2.57893177966,True,1
4,3,1,marginal_only_invalid,2.13862857283,True,1
4,3,1,gaussian_union,2.57582930355,True,1
4,3,2,joint_max,2.57893177966,True,1
4,3,2,marginal_only_invalid,2.13862857283,True,1
4,3,2,gaussian_union,2.57582930355,True,1
4,4,1,joint_max,2.7805531467,True,1
4,4,1,marginal_only_invalid,1.92999634726,True,1
4,4,1,gaussian_union,2.57582930355,True,1
4,4,2,joint_max,2.7805531467,False,0.6
4,4,2,marginal_only_invalid,1.92999634726,False,0.6
4,4,2,gaussian_union,2.57582930355,False,0.6
4,5,1,joint_max,2.40303832595,True,1
4,5,1,marginal_only_invalid,1.97051334824,True,1
4,5,1,gaussian_union,2.57582930355,True,1
4,5,2,joint_max,2.40303832595,False,0.8
4,5,2,marginal_only_invalid,1.97051334824,False,0.8
4,5,2,gaussian_union,2.57582930355,True,1
4,6,1,joint_max,2.63235115791,True,1
4,6,1,marginal_only_invalid,1.94280474859,False,0.8
4,6,1,gaussian_union,2.57582930355,True,1
4,6,2,joint_max,2.63235115791,False,0.8
4,6,2,marginal_only_invalid,1.94280474859,False,0.2
4,6,2,gaussian_union,2.57582930355,False,0.8
4,7,1,joint_max,2.55555193109,True,1
4,7,1,marginal_only_invalid,1.89374714116,True,1
4,7,1,gaussian_union,2.57582930355,True,1
4,7,2,joint_max,2.55555193109,False,0.8
4,7,2,marginal_only_invalid,1.89374714116,False,0.8
4,7,2,gaussian_union,2.57582930355,False,0.8
4,8,1,joint_max,2.55544159948,True,1
4,8,1,marginal_only_invalid,2.03306745101,False,0.8
4,8,1,gaussian_union,2.57582930355,True,1
4,8,2,joint_max,2.55544159948,False,0.4
4,8,2,marginal_only_invalid,2.03306745101,False,0.2
4,8,2,gaussian_union,2.57582930355,False,0.4
4,9,1,joint_max,2.48698894169,False,0.8
4,9,1,marginal_only_invalid,1.8181242563,False,0.8
4,9,1,gaussian_union,2.57582930355,False,0.8
4,9,2,joint_max,2.48698894169,False,0.6
4,9,2,marginal_only_invalid,1.8181242563,False,0.6
4,9,2,gaussian_union,2.57582930355,False,0.6
4,10,1,joint_max,2.82515034597,True,1
4,10,1,marginal_only_invalid,2.02652030381,True,1
4,10,1,gaussian_union,2.57582930355,True,1
4,10,2,joint_max,2.82515034597,True,1
4,10,2,marginal_only_invalid,2.02652030381,False,0.8
4,10,2,gaussian_union,2.57582930355,True,1
4,11,1,joint_max,2.45649305385,True,1
4,11,1,marginal_only_invalid,1.81638226985,True,1
4,11,1,gaussian_union,2.57582930355,True,1
4,11,2,joint_max,2.45649305385,True,1
4,11,2,marginal_only_invalid,1.81638226985,False,0.6
4,11,2,gaussian_union,2.57582930355,True,1
4,12,1,joint_max,2.48140854198,True,1
4,12,1,marginal_only_invalid,1.84462839439,True,1
4,12,1,gaussian_union,2.57582930355,True,1
4,12,2,joint_max,2.48140854198,False,0.8
4,12,2,marginal_only_invalid,1.84462839439,False,0.6
4,12,2,gaussian_union,2.57582930355,False,0.8
4,13,1,joint_max,2.52643906656,True,1
4,13,1,marginal_only_invalid,2.01974757376,True,1
4,13,1,gaussian_union,2.57582930355,True,1
4,13,2,joint_max,2.52643906656,True,1
4,13,2,marginal_only_invalid,2.01974757376,True,1
4,13,2,gaussian_union,2.57582930355,True,1
4,14,1,joint_max,2.43810416742,True,1
4,14,1,marginal_only_invalid,1.88059407242,True,1
4,14,1,gaussian_union,2.57582930355,True,1
4,14,2,joint_max,2.43810416742,False,0.6
4,14,2,marginal_only_invalid,1.88059407242,False,0.6
4,14,2,gaussian_union,2.57582930355,False,0.6
4,15,1,joint_max,2.70234154782,True,1
4,15,1,marginal_only_invalid,1.879813316,True,1
4,15,1,gaussian_union,2.57582930355,True,1
4,15,2,joint_max,2.70234154782,False,0.8
4,15,2,marginal_only_invalid,1.879813316,False,0.6
4,15,2,gaussian_union,2.57582930355,False,0.8
4,16,1,joint_max,2.38934004566,True,1
4,16,1,marginal_only_invalid,1.88848742612,True,1
4,16,1,gaussian_union,2.57582930355,True,1
4,16,2,joint_max,2.38934004566,False,0.8
4,16,2,marginal_only_invalid,1.88848742612,False,0.8
4,16,2,gaussian_union,2.57582930355,False,0.8
4,17,1,joint_max,2.61739788287,True,1
4,17,1,marginal_only_invalid,1.80433754818,True,1
4,17,1,gaussian_union,2.57582930355,True,1
4,17,2,joint_max,2.61739788287,True,1
4,17,2,marginal_only_invalid,1.80433754818,False,0.8
4,17,2,gaussian_union,2.57582930355,True,1
4,18,1,joint_max,2.43141752574,True,1
4,18,1,marginal_only_invalid,2.17030892941,True,1
4,18,1,gaussian_union,2.57582930355,True,1
4,18,2,joint_max,2.43141752574,True,1
4,18,2,marginal_only_invalid,2.17030892941,True,1
4,18,2,gaussian_union,2.57582930355,True,1
4,19,1,joint_max,2.58460287104,True,1
4,19,1,marginal_only_invalid,2.11822003033,True,1
4,19,1,gaussian_union,2.57582930355,True,1
4,19,2,joint_max,2.58460287104,False,0.8
4,19,2,marginal_only_invalid,2.11822003033,False,0.8
4,19,2,gaussian_union,2.57582930355,False,0.8
4,20,1,joint_max,2.60041767669,True,1
4,20,1,marginal_only_invalid,1.80799221967,True,1
