k,test_scale,method,n,joint_coverage,mc_lower,mc_upper,marginal_coverage,mean_radius
4,1,gaussian_union,2000,0.9585,0.948844450828,0.966397616815,0.9916,2.57582930355
4,1,joint_max,2000,0.9565,0.946651023691,0.964598712141,0.9912,2.58519346391
4,1,marginal_only_invalid,2000,0.7895,0.771087198121,0.806802831503,0.9535,1.97337788013
4,2,gaussian_union,2000,0.3415,0.321038650206,0.362569053782,0.8043,2.57582930355
4,2,joint_max,2000,0.3425,0.322022179633,0.363581690261,0.8048,2.58519346391
4,2,marginal_only_invalid,2000,0.155,0.139801914332,0.171520848292,0.6807,1.97337788013
16,1,gaussian_union,2000,0.953,0.942824557528,0.961438597635,0.997176470588,2.97381990122
16,1,joint_max,2000,0.9525,0.942279092807,0.960985979404,0.997147058824,2.97691827985
16,1,marginal_only_invalid,2000,0.4295,0.407961391613,0.451308912054,0.950147058824,1.97768887112
16,2,gaussian_union,2000,0.0745,0.0637898499329,0.0868415573034,0.861176470588,2.97381990122
16,2,joint_max,2000,0.078,0.0670395061349,0.0905784817705,0.861411764706,2.97691827985
16,2,marginal_only_invalid,2000,0,1.08420217249e-19,0.00191704728125,0.677264705882,1.97768887112
64,1,gaussian_union,2000,0.9515,0.941188999748,0.960079906557,0.999238461538,3.36363545621
64,1,joint_max,2000,0.951,0.940644363303,0.95962646005,0.999223076923,3.36931053755
64,1,marginal_only_invalid,2000,0.0585,0.0490360415662,0.0696567111831,0.950507692308,1.98459047297
64,2,gaussian_union,2000,0.0005,8.82677307055e-05,0.00282686250327,0.907669230769,3.36363545621
64,2,joint_max,2000,0.0005,8.82677307055e-05,0.00282686250327,0.907869230769,3.36931053755
64,2,marginal_only_invalid,2000,0,1.08420217249e-19,0.00191704728125,0.676623076923,1.98459047297
