method,threshold,n_released,release_rate,reference_mae,reference_inclusion,mean_width
fixed,0.05,0,0,,,
fixed,0.055,0,0,,,
fixed,0.06,0,0,,,
fixed,0.065,0,0,,,
fixed,0.07,0,0,,,
fixed,0.075,1,0.0175438596491,0.021013303116,1,0.143170851088
fixed,0.08,1,0.0175438596491,0.021013303116,1,0.143170851088
fixed,0.085,1,0.0175438596491,0.021013303116,1,0.143170851088
fixed,0.09,1,0.0175438596491,0.021013303116,1,0.143170851088
fixed,0.095,1,0.0175438596491,0.021013303116,1,0.143170851088
fixed,0.1,1,0.0175438596491,0.021013303116,1,0.143170851088
fixed,0.105,1,0.0175438596491,0.021013303116,1,0.143170851088
fixed,0.11,2,0.0350877192982,0.0396199871323,1,0.180406409966
fixed,0.115,2,0.0350877192982,0.0396199871323,1,0.180406409966
fixed,0.12,4,0.0701754385965,0.0418887533493,1,0.207843757703
fixed,0.125,4,0.0701754385965,0.0418887533493,1,0.207843757703
fixed,0.13,4,0.0701754385965,0.0418887533493,1,0.207843757703
fixed,0.135,4,0.0701754385965,0.0418887533493,1,0.207843757703
fixed,0.14,6,0.105263157895,0.0488433283315,1,0.229887063807
fixed,0.145,6,0.105263157895,0.0488433283315,1,0.229887063807
fixed,0.15,10,0.175438596491,0.0593070649516,1,0.256688387475
fixed,0.155,10,0.175438596491,0.0593070649516,1,0.256688387475
fixed,0.16,12,0.210526315789,0.063481152914,1,0.266157605004
fixed,0.165,12,0.210526315789,0.063481152914,1,0.266157605004
fixed,0.17,13,0.228070175439,0.0605161735497,1,0.271546145513
fixed,0.175,14,0.245614035088,0.0609058155745,1,0.277079568905
fixed,0.18,17,0.298245614035,0.0636063304956,1,0.291370593648
fixed,0.185,17,0.298245614035,0.0636063304956,1,0.291370593648
fixed,0.19,19,0.333333333333,0.059653078161,1,0.3000056624
fixed,0.195,22,0.385964912281,0.0609769790276,1,0.311790549216
fixed,0.2,27,0.473684210526,0.062994229044,1,0.327047887666
fixed,0.205,31,0.543859649123,0.0646885771289,1,0.337004987409
fixed,0.21,33,0.578947368421,0.0665481561461,1,0.3418946195
fixed,0.215,43,0.754385964912,0.0707028000612,1,0.361351239543
fixed,0.22,47,0.824561403509,0.0771408337774,0.978723404255,0.36775077737
fixed,0.225,49,0.859649122807,0.0785974127179,0.979591836735,0.371018689063
fixed,0.23,51,0.894736842105,0.079043593357,0.980392156863,0.37422224974
fixed,0.235,51,0.894736842105,0.079043593357,0.980392156863,0.37422224974
fixed,0.24,52,0.912280701754,0.0788455851325,0.980769230769,0.376239357724
fixed,0.245,52,0.912280701754,0.0788455851325,0.980769230769,0.376239357724
fixed,0.25,52,0.912280701754,0.0788455851325,0.980769230769,0.376239357724
fixed,0.255,53,0.929824561404,0.0781090690761,0.981132075472,0.378722446208
fixed,0.26,53,0.929824561404,0.0781090690761,0.981132075472,0.378722446208
fixed,0.265,53,0.929824561404,0.0781090690761,0.981132075472,0.378722446208
fixed,0.27,53,0.929824561404,0.0781090690761,0.981132075472,0.378722446208
fixed,0.275,53,0.929824561404,0.0781090690761,0.981132075472,0.378722446208
fixed,0.28,53,0.929824561404,0.0781090690761,0.981132075472,0.378722446208
fixed,0.285,54,0.947368421053,0.0783361989651,0.981481481481,0.382225276588
fixed,0.29,54,0.947368421053,0.0783361989651,0.981481481481,0.382225276588
fixed,0.295,54,0.947368421053,0.0783361989651,0.981481481481,0.382225276588
fixed,0.3,54,0.947368421053,0.0783361989651,0.981481481481,0.382225276588
fixed,0.305,54,0.947368421053,0.0783361989651,0.981481481481,0.382225276588
fixed,0.31,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.315,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.32,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.325,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.33,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.335,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.34,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.345,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.35,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.355,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.36,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.365,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.37,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.375,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.38,55,0.964912280702,0.0785884688535,0.981818181818,0.386545050207
fixed,0.385,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.39,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.395,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.4,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.405,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
