source,n_cheap,n_expensive,effect,variance
armstrong,41,43,0.133295519002,0.0100495201975
aus2,85,94,0.0524405506884,0.00524237412178
badaniaon,16,27,0.0810185185185,0.0260084447874
bogota,47,55,0.229013539652,0.00950155617805
brookcuny,82,99,0.19906380882,0.00527927852675
carleton,58,63,0.277777777778,0.00717369888281
cas,23,25,0.262608695652,0.0181332875064
csunorthonline,45,43,0.277519379845,0.010189260292
fmkbelgrade,53,51,0.0917499075102,0.00921886513028
georgefox,78,62,0.197270471464,0.00603577419676
grazvienna,48,54,0.164351851852,0.00937984726841
hawaiion,65,56,0.114835164835,0.00824206013766
help,41,49,0.306620209059,0.00777901880562
jmu,34,50,0.230588235294,0.0112719928613
jos,57,35,0.0421052631579,0.00708023929794
kenyon,50,56,0.0857142857143,0.00734693877551
krakowon,50,49,0.247346938776,0.00699683465223
kwazulu,43,34,0.196306429549,0.0107618910221
louvain,54,46,0.102254428341,0.0101521368026
loyola,149,144,0.128821774795,0.00330186019363
lse,57,55,0.127591706539,0.00874818867768
mcdanielonline,86,73,0.1562599554,0.00564657314142
metu,56,69,0.110766045549,0.00690491583011
moralsense,416,418,0.154651269783,0.00086050185104
mturk,168,170,0.227591036415,0.00196782338403
munich,47,37,0.271420356527,0.0113226672947
munichon,111,103,0.0941135310067,0.00339928455574
northumbria,48,31,0.327284946237,0.0105128279342
osnabruck,41,44,0.129157427938,0.0118628921584
ouhk,31,37,0.104620749782,0.0145297306756
padua,44,35,0.0603896103896,0.0125725894817
pascal,95,83,0.106277742549,0.00528636131216
psualtoona,88,89,0.252936670072,0.00504983427379
puc,41,40,-0.115243902439,0.0110610194634
queensland2,86,51,0.107843137255,0.00770857362553
radboud,20,10,0.4,0.0343859649123
ritonline,43,43,0.325581395349,0.0104818563445
rotterdam,36,41,0.283875338753,0.011731162269
salford,50,53,0.135849056604,0.00863594423173
seznam,42,43,0.223698781838,0.0114435164947
seznamon,45,73,0.17899543379,0.00850262808229
simmons,42,54,0.142857142857,0.00783319924073
swps,39,50,0.294871794872,0.00939284672657
tamu,44,41,0.256097560976,0.0104243044699
tamucc,47,42,0.118541033435,0.0102130998418
tanzania,30,30,0.133333333333,0.0141762452107
tanzaniaon,8,7,0.160714285714,0.0496386054422
tilburg,41,54,0.288166214995,0.0100215813081
tilburgcaf,39,42,0.307692307692,0.0114756270577
ulatina,97,110,0.130178069353,0.00375284662605
umich,45,41,0.133875338753,0.00995266299054
uned,37,49,0.105350248207,0.0119719970993
unswonline,46,51,0.136402387042,0.00909154469453
vcu,48,48,0.291666666667,0.00855127068558
vuw,55,45,0.0282828282828,0.00787062544638
westernkentucky,84,77,0.321428571429,0.00555902449756
yale,137,145,0.213642084067,0.00264506554264
