scenario,replicate,status,q,joint_set_covered,mechanisms,proxies,boxes,effects,noise_sd,beta,L,H,optimization_seconds
nominal,0,evaluated,2.65404586233,True,"[-0.4714764724484317, 0.14551724093954932, -0.10900703370714404, -0.41152946578499194, 0.6561559101379795]","[-0.3925172204536574, 0.09465560296788748, -0.11854388273191477, -0.45242195353679865, 0.6219340670025795]","[[-0.5517599721935982, -0.23327446871371657], [-0.06458714877205333, 0.2538983547078283], [-0.2777866344718556, 0.04069886900802605], [-0.6116647052767394, -0.29317920179685786], [0.4626913152626386, 0.7811768187425203]]","[-0.23702528328083444, 0.03754212557231956, -0.038345566288784175, -0.20082485395646757]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0100365000001
extrapolation,0,evaluated,2.65404586233,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6210407480052257, -0.6008616379716618, -0.4095368490247707, -0.2908924877518067, 0.9157781568646]","[[-0.7802834997451665, -0.46179799626528484], [-0.7601043897116027, -0.44161888623172096], [-0.5687796007647116, -0.2502940972848299], [-0.4501352394917475, -0.1316497360118659], [0.7565354051246591, 1.0]]","[-0.2938264190335005, -0.2953707992146076, -0.16850610608378686, -0.13596412484825668]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0136101000001
proxy_shift,0,evaluated,2.65404586233,False,"[-0.4714764724484317, 0.14551724093954932, -0.10900703370714404, -0.41152946578499194, 0.6561559101379795]","[-0.2345987164641088, -0.007067672975436201, -0.13761758078145622, -0.5342069290404121, 0.5534903807317796]","[[-0.39384146820404964, -0.07535596472416797], [-0.16631042471537702, 0.15217507876450462], [-0.29686033252139704, 0.021625170958484596], [-0.693449680780353, -0.37496417730047127], [0.39424762899183874, 0.7127331324717204]]","[-0.23702528328083444, 0.03754212557231956, -0.038345566288784175, -0.20082485395646757]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0097889000001
understated_LH,0,evaluated,2.65404586233,True,"[-0.4714764724484317, 0.14551724093954932, -0.10900703370714404, -0.41152946578499194, 0.6561559101379795]","[-0.3925172204536574, 0.09465560296788748, -0.11854388273191477, -0.45242195353679865, 0.6219340670025795]","[[-0.5517599721935982, -0.23327446871371657], [-0.06458714877205333, 0.2538983547078283], [-0.2777866344718556, 0.04069886900802605], [-0.6116647052767394, -0.29317920179685786], [0.4626913152626386, 0.7811768187425203]]","[-0.23702528328083444, 0.03754212557231956, -0.038345566288784175, -0.20082485395646757]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0134657000001
high_noise,0,evaluated,2.65404586233,True,"[-0.4714764724484317, 0.14551724093954932, -0.10900703370714404, -0.41152946578499194, 0.6561559101379795]","[-0.3925172204536574, 0.09465560296788748, -0.11854388273191477, -0.45242195353679865, 0.6219340670025795]","[[-0.5517599721935982, -0.23327446871371657], [-0.06458714877205333, 0.2538983547078283], [-0.2777866344718556, 0.04069886900802605], [-0.6116647052767394, -0.29317920179685786], [0.4626913152626386, 0.7811768187425203]]","[-0.2786781213478354, -0.07469947285689581, 0.008642221543642047, -0.21025310365298092]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00741459999995
bounded_nuisance_bias,0,evaluated,2.65404586233,True,"[-0.4714764724484317, 0.14551724093954932, -0.10900703370714404, -0.41152946578499194, 0.6561559101379795]","[-0.3925172204536574, 0.09465560296788748, -0.11854388273191477, -0.45242195353679865, 0.6219340670025795]","[[-0.5517599721935982, -0.23327446871371657], [-0.06458714877205333, 0.2538983547078283], [-0.2777866344718556, 0.04069886900802605], [-0.6116647052767394, -0.29317920179685786], [0.4626913152626386, 0.7811768187425203]]","[-0.29702528328083444, 0.09754212557231956, -0.09834556628878417, -0.14082485395646757]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.00772710000001
nominal,1,evaluated,2.63273425128,True,"[0.301148044427723, -0.6062057876090892, -0.03974339458120091, 0.055192969480662435, -0.6829987464618364]","[0.21980337974218672, -0.5993168412876866, -0.12905262875769213, 0.05810917269802494, -0.6401303511332953]","[[0.061839324665574874, 0.3777674348187986], [-0.7572808963642984, -0.44135278621107477], [-0.287016683834304, 0.028911426318919714], [-0.09985488237858692, 0.21607322777463678], [-0.7980944062099071, -0.4821662960566835]]","[0.18745273942125584, -0.38295868119902693, 0.057372315584267794, 0.20158071583508855]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00813480000011
extrapolation,1,evaluated,2.63273425128,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7813446646855362, -0.5431110536785974, -0.4893092341764912, -0.2470837967826375, 0.9928683953285411]","[[-0.939308719762148, -0.6233806096089244], [-0.7010751087552092, -0.38514699860198554], [-0.647273289253103, -0.33134517909987937], [-0.40504785185924935, -0.08911974170602566], [0.8349043402519293, 1.0]]","[-0.29344313063417055, -0.36873084571280024, -0.11125550889086275, 0.03630105498266309]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00898740000002
proxy_shift,1,evaluated,2.63273425128,False,"[0.301148044427723, -0.6062057876090892, -0.03974339458120091, 0.055192969480662435, -0.6829987464618364]","[0.05711405037111417, -0.5855389486448815, -0.3076710971106746, 0.06394157913274993, -0.5543935604762129]","[[-0.10085000470549768, 0.21507810544772601], [-0.7435030037214934, -0.4275748935682697], [-0.46563515218728646, -0.14970704203406274], [-0.09402247594386191, 0.22190563420936177], [-0.7123576155528247, -0.3964295053996011]]","[0.18745273942125584, -0.38295868119902693, 0.057372315584267794, 0.20158071583508855]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0349715
understated_LH,1,evaluated,2.63273425128,True,"[0.301148044427723, -0.6062057876090892, -0.03974339458120091, 0.055192969480662435, -0.6829987464618364]","[0.21980337974218672, -0.5993168412876866, -0.12905262875769213, 0.05810917269802494, -0.6401303511332953]","[[0.061839324665574874, 0.3777674348187986], [-0.7572808963642984, -0.44135278621107477], [-0.287016683834304, 0.028911426318919714], [-0.09985488237858692, 0.21607322777463678], [-0.7980944062099071, -0.4821662960566835]]","[0.18745273942125584, -0.38295868119902693, 0.057372315584267794, 0.20158071583508855]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0119764999999
