scenario,method,tolerance,n,n_released,release_rate,released_mae,released_coverage,unconditional_bad_release,bad_release_mc_lower,bad_release_mc_upper,conditional_bad_release,bound_if_valid
bounded_nuisance_bias,adaptive_R2_invalid,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
bounded_nuisance_bias,adaptive_R2_invalid,0.6,200,5,0.025,0.0740457622408,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,adaptive_R2_invalid,1,200,63,0.315,0.124370971098,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,adaptive_R2_invalid,1.5,200,118,0.59,0.228059119991,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,adaptive_R2_invalid,2,200,169,0.845,0.367369663323,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,adaptive_R2_invalid,3,200,200,1,0.438426539022,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,adaptive_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
bounded_nuisance_bias,adaptive_Rinf,0.6,200,2,0.01,0.0560849144989,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,adaptive_Rinf,1,200,56,0.28,0.124134934973,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,adaptive_Rinf,1.5,200,113,0.565,0.218754506858,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,adaptive_Rinf,2,200,165,0.825,0.356506345185,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,adaptive_Rinf,3,200,200,1,0.438426539022,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,design_R2,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
bounded_nuisance_bias,design_R2,0.6,200,83,0.415,0.0586279903977,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,design_R2,1,200,169,0.845,0.0758069514795,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,design_R2,1.5,200,198,0.99,0.108233065778,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,design_R2,2,200,199,0.995,0.109338438948,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,design_R2,3,200,200,1,0.111736636248,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,no_curvature,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
bounded_nuisance_bias,no_curvature,0.6,200,63,0.315,0.0663253616302,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,no_curvature,1,200,168,0.84,0.0800463856873,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,no_curvature,1.5,200,197,0.985,0.110597947752,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,no_curvature,2,200,199,0.995,0.113280229013,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,no_curvature,3,200,200,1,0.115658717362,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,robust_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
bounded_nuisance_bias,robust_Rinf,0.6,200,33,0.165,0.0603771024035,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,robust_Rinf,1,200,168,0.84,0.0753772415041,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,robust_Rinf,1.5,200,197,0.985,0.106616139515,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,robust_Rinf,2,200,199,0.995,0.109338438948,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,robust_Rinf,3,200,200,1,0.111736636248,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,singleton_U,0.3,200,92,0.46,0.0597031185196,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,singleton_U,0.6,200,167,0.835,0.074620596635,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,singleton_U,1,200,189,0.945,0.100143675709,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,singleton_U,1.5,200,199,0.995,0.109130833467,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,singleton_U,2,200,200,1,0.111530068794,1,0,1.73472347598e-18,0.0188453263773,0,0.1
bounded_nuisance_bias,singleton_U,3,200,200,1,0.111530068794,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,adaptive_R2_invalid,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_R2_invalid,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_R2_invalid,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_R2_invalid,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_R2_invalid,2,200,2,0.01,1.12737769512,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,adaptive_R2_invalid,3,200,200,1,1.13573642626,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,adaptive_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_Rinf,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_Rinf,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_Rinf,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,adaptive_Rinf,2,200,1,0.005,1.16290146196,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,adaptive_Rinf,3,200,200,1,1.13573642626,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,design_R2,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,design_R2,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,design_R2,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,design_R2,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,design_R2,2,200,146,0.73,0.960415613889,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,design_R2,3,200,200,1,0.970597002189,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,no_curvature,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,no_curvature,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,no_curvature,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,no_curvature,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,no_curvature,2,200,96,0.48,0.966809646227,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,no_curvature,3,200,200,1,0.970597002189,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,robust_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,robust_Rinf,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,robust_Rinf,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,robust_Rinf,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,robust_Rinf,2,200,96,0.48,0.966809646227,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,robust_Rinf,3,200,200,1,0.970597002189,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,singleton_U,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,singleton_U,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,singleton_U,1,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,singleton_U,1.5,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
extrapolation,singleton_U,2,200,200,1,0.970597002189,1,0,1.73472347598e-18,0.0188453263773,0,0.1
extrapolation,singleton_U,3,200,200,1,0.970597002189,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_R2_invalid,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,adaptive_R2_invalid,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,adaptive_R2_invalid,1,200,27,0.135,0.209010758925,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_R2_invalid,1.5,200,91,0.455,0.2798103758,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_R2_invalid,2,200,150,0.75,0.392905832512,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_R2_invalid,3,200,200,1,0.516578938433,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_Rinf,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,adaptive_Rinf,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,adaptive_Rinf,1,200,12,0.06,0.213049097055,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_Rinf,1.5,200,76,0.38,0.290836064891,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_Rinf,2,200,137,0.685,0.367268289014,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,adaptive_Rinf,3,200,197,0.985,0.509065565369,1,0,1.73472347598e-18,0.0188453263773,0,0.1
high_noise,design_R2,0.3,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,design_R2,0.6,200,0,0,,,0,1.73472347598e-18,0.0188453263773,,0.1
high_noise,design_R2,1,200,140,0.7,0.125277088325,1,0,1.73472347598e-18,0.0188453263773,0,0.1
