scenario,replicate,method,truth,estimate,error,radius,width,covered,joint_set_covered,weights,outer_status,outer_lower,outer_upper,outer_covered,assumption_valid,solver_successes,solver_failures,global_optimum_certified,fallback
nominal,0,robust_Rinf,0.522855719605,0.0375421255723,0.485313594033,1.20607442231,2.41214884461,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.16853229673,1.24361654788,True,True,3,0,False,False
nominal,0,design_R2,0.522855719605,0.0375421255723,0.485313594033,1.17788894291,2.35577788581,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.16853229673,1.24361654788,True,True,3,0,False,False
nominal,0,adaptive_Rinf,0.522855719605,-0.231915361029,0.754771080635,1.76405761189,3.52811522378,True,True,"[0.859294252256122, 4.003318795526281e-05, 4.1674142177798114e-05, 0.140624040413745]",nonempty,-1.16853229673,1.24361654788,True,True,,,,
nominal,0,adaptive_R2_invalid,0.522855719605,-0.231915361029,0.754771080635,1.71060205522,3.42120411044,True,True,"[0.859294252256122, 4.003318795526281e-05, 4.1674142177798114e-05, 0.140624040413745]",nonempty,-1.16853229673,1.24361654788,True,True,,,,
nominal,0,singleton_U,0.522855719605,0.0375421255723,0.485313594033,0.823891818131,1.64778363626,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.16853229673,1.24361654788,True,True,3,0,False,False
nominal,0,no_curvature,0.522855719605,0.0375421255723,0.485313594033,1.20607442231,2.41214884461,True,True,"[0.0, 1.0, 5.551115123125783e-17, 0.0]",nonempty,-1.16853229673,1.24361654788,True,True,3,0,False,False
nominal,0,ridge_source_only,0.522855719605,0.167274329089,0.355581390517,,,,True,,nonempty,-1.16853229673,1.24361654788,True,True,,,,
nominal,0,archive_mean,0.522855719605,-0.109663394488,0.632519114094,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-1.16853229673,1.24361654788,True,True,,,,
extrapolation,0,robust_Rinf,0.84075,-0.135964124848,0.976714124848,2.05875838954,4.11751677908,True,True,"[1.8735013540549512e-16, 0.0, 0.0, 0.9999999999999998]",nonempty,-2.19472251439,1.92279426469,True,True,3,0,False,False
extrapolation,0,design_R2,0.84075,-0.135964124848,0.976714124848,2.01178259054,4.02356518108,True,True,"[1.8735013540549512e-16, 0.0, 0.0, 0.9999999999999998]",nonempty,-2.19472251439,1.92279426469,True,True,3,0,False,False
extrapolation,0,adaptive_Rinf,0.84075,-0.294484913478,1.13523491348,2.28416560677,4.56833121353,True,True,"[0.4801801491683507, 0.5187283591187255, 0.0009122380500026189, 0.00017925366292120606]",nonempty,-2.19472251439,1.92279426469,True,True,,,,
extrapolation,0,adaptive_R2_invalid,0.84075,-0.294484913478,1.13523491348,2.22286422233,4.44572844467,True,True,"[0.4801801491683507, 0.5187283591187255, 0.0009122380500026189, 0.00017925366292120606]",nonempty,-2.19472251439,1.92279426469,True,True,,,,
extrapolation,0,singleton_U,0.84075,-0.135964124848,0.976714124848,1.76660087569,3.53320175138,True,True,"[3.2959746043559335e-17, 0.0, 0.0, 1.0]",nonempty,-2.19472251439,1.92279426469,True,True,3,0,False,False
extrapolation,0,no_curvature,0.84075,-0.135964124848,0.976714124848,2.05875838954,4.11751677908,True,True,"[0.0, 0.0, 0.0, 1.0]",nonempty,-2.19472251439,1.92279426469,True,True,3,0,False,False
extrapolation,0,ridge_source_only,0.84075,0.087644797749,0.753105202251,,,,True,,nonempty,-2.19472251439,1.92279426469,True,True,,,,
extrapolation,0,archive_mean,0.84075,-0.223416862295,1.0641668623,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-2.19472251439,1.92279426469,True,True,,,,
proxy_shift,0,robust_Rinf,0.522855719605,0.0375421255723,0.485313594033,1.24600992991,2.49201985983,True,False,"[2.498001805406601e-16, 0.9999999999999996, 1.110223024625156e-16, 0.0]",nonempty,-1.20846780434,1.21830267839,True,False,3,0,False,False
proxy_shift,0,design_R2,0.522855719605,0.0375421255723,0.485313594033,1.21782445051,2.43564890103,True,False,"[2.498001805406601e-16, 0.9999999999999996, 1.110223024625156e-16, 0.0]",nonempty,-1.20846780434,1.21830267839,True,False,3,0,False,False
proxy_shift,0,adaptive_Rinf,0.522855719605,-0.231915361029,0.754771080635,1.53601542217,3.07203084434,True,False,"[0.859294252256122, 4.003318795526281e-05, 4.1674142177798114e-05, 0.140624040413745]",nonempty,-1.20846780434,1.21830267839,True,False,,,,
proxy_shift,0,adaptive_R2_invalid,0.522855719605,-0.231915361029,0.754771080635,1.4825598655,2.96511973101,True,False,"[0.859294252256122, 4.003318795526281e-05, 4.1674142177798114e-05, 0.140624040413745]",nonempty,-1.20846780434,1.21830267839,True,False,,,,
proxy_shift,0,singleton_U,0.522855719605,0.0375421255723,0.485313594033,0.863827325738,1.72765465148,True,False,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.20846780434,1.21830267839,True,False,3,0,False,False
proxy_shift,0,no_curvature,0.522855719605,0.0375421255723,0.485313594033,1.24600992991,2.49201985983,True,False,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.20846780434,1.21830267839,True,False,3,0,False,False
proxy_shift,0,ridge_source_only,0.522855719605,0.10147356464,0.421382154965,,,,False,,nonempty,-1.20846780434,1.21830267839,True,False,,,,
proxy_shift,0,archive_mean,0.522855719605,-0.109663394488,0.632519114094,,,,False,"[0.25, 0.25, 0.25, 0.25]",nonempty,-1.20846780434,1.21830267839,True,False,,,,
understated_LH,0,robust_Rinf,0.522855719605,-0.237025283281,0.759881002886,0.287390855772,0.574781711544,False,True,"[1.0, 0.0, 0.0, 0.0]",nonempty,-0.255107211819,0.0503655724912,False,False,3,0,False,False
understated_LH,0,design_R2,0.522855719605,-0.237025283281,0.759881002886,0.268600536172,0.537201072343,False,True,"[1.0, 0.0, 0.0, 0.0]",nonempty,-0.255107211819,0.0503655724912,False,False,3,0,False,False
understated_LH,0,adaptive_Rinf,0.522855719605,-0.231915361029,0.754771080635,0.315300659975,0.63060131995,False,True,"[0.859294252256122, 4.003318795526281e-05, 4.1674142177798114e-05, 0.140624040413745]",nonempty,-0.255107211819,0.0503655724912,False,False,,,,
understated_LH,0,adaptive_R2_invalid,0.522855719605,-0.231915361029,0.754771080635,0.261845103306,0.523690206613,False,True,"[0.859294252256122, 4.003318795526281e-05, 4.1674142177798114e-05, 0.140624040413745]",nonempty,-0.255107211819,0.0503655724912,False,False,,,,
understated_LH,0,singleton_U,0.522855719605,-0.237025283281,0.759881002886,0.249172595354,0.498345190709,False,True,"[1.0, 0.0, 0.0, 0.0]",nonempty,-0.255107211819,0.0503655724912,False,False,3,0,False,False
understated_LH,0,no_curvature,0.522855719605,-0.237025283281,0.759881002886,0.287390855772,0.574781711544,False,True,"[1.0, 0.0, 0.0, 0.0]",nonempty,-0.255107211819,0.0503655724912,False,False,3,0,False,False
understated_LH,0,ridge_source_only,0.522855719605,0.167274329089,0.355581390517,,,,True,,nonempty,-0.255107211819,0.0503655724912,False,False,,,,
understated_LH,0,archive_mean,0.522855719605,-0.109663394488,0.632519114094,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-0.255107211819,0.0503655724912,False,False,,,,
high_noise,0,robust_Rinf,0.522855719605,-0.0746994728569,0.597555192462,1.58838974489,3.17677948977,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.66308921774,1.51369027203,True,True,3,0,False,False
high_noise,0,design_R2,0.522855719605,-0.0746994728569,0.597555192462,1.50383330668,3.00766661337,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.66308921774,1.51369027203,True,True,3,0,False,False
high_noise,0,adaptive_Rinf,0.522855719605,-0.276505649152,0.799361368757,2.00227798233,4.00455596466,True,True,"[0.968325942645159, 3.6031429622512365e-05, 1.3251544742482087e-06, 0.03163670077074424]",nonempty,-1.66308921774,1.51369027203,True,True,,,,
high_noise,0,adaptive_R2_invalid,0.522855719605,-0.276505649152,0.799361368757,1.91848392636,3.83696785271,True,True,"[0.968325942645159, 3.6031429622512365e-05, 1.3251544742482087e-06, 0.03163670077074424]",nonempty,-1.66308921774,1.51369027203,True,True,,,,
high_noise,0,singleton_U,0.522855719605,-0.0746994728569,0.597555192462,1.20620714071,2.41241428142,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.66308921774,1.51369027203,True,True,3,0,False,False
high_noise,0,no_curvature,0.522855719605,-0.0746994728569,0.597555192462,1.58838974489,3.17677948977,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.66308921774,1.51369027203,True,True,3,0,False,False
high_noise,0,ridge_source_only,0.522855719605,0.0784929867695,0.444362732836,,,,True,,nonempty,-1.66308921774,1.51369027203,True,True,,,,
high_noise,0,archive_mean,0.522855719605,-0.138747119079,0.661602838684,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-1.66308921774,1.51369027203,True,True,,,,
bounded_nuisance_bias,0,robust_Rinf,0.522855719605,0.0975421255723,0.425313594033,1.26607442231,2.53214884461,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.16853229673,1.36361654788,True,True,3,0,False,False
bounded_nuisance_bias,0,design_R2,0.522855719605,0.0975421255723,0.425313594033,1.23788894291,2.47577788581,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.16853229673,1.36361654788,True,True,3,0,False,False
bounded_nuisance_bias,0,adaptive_Rinf,0.522855719605,-0.29693394854,0.819789668146,1.78704006899,3.57408013799,True,True,"[0.9994995147160298, 4.656513392096382e-05, 4.84738316048934e-05, 0.0004054463184442854]",nonempty,-1.16853229673,1.36361654788,True,True,,,,
bounded_nuisance_bias,0,adaptive_R2_invalid,0.522855719605,-0.29693394854,0.819789668146,1.76810878053,3.53621756106,True,True,"[0.9994995147160298, 4.656513392096382e-05, 4.84738316048934e-05, 0.0004054463184442854]",nonempty,-1.16853229673,1.36361654788,True,True,,,,
bounded_nuisance_bias,0,singleton_U,0.522855719605,0.0975421255723,0.425313594033,0.883891818131,1.76778363626,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.16853229673,1.36361654788,True,True,3,0,False,False
bounded_nuisance_bias,0,no_curvature,0.522855719605,0.0975421255723,0.425313594033,1.26607442231,2.53214884461,True,True,"[0.0, 1.0, 5.551115123125783e-17, 0.0]",nonempty,-1.16853229673,1.36361654788,True,True,3,0,False,False
bounded_nuisance_bias,0,ridge_source_only,0.522855719605,0.193611438032,0.329244281573,,,,True,,nonempty,-1.16853229673,1.36361654788,True,True,,,,
bounded_nuisance_bias,0,archive_mean,0.522855719605,-0.109663394488,0.632519114094,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-1.16853229673,1.36361654788,True,True,,,,
nominal,1,robust_Rinf,-0.269853061577,-0.382958681199,0.113105619622,0.619247605288,1.23849521058,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.00220628649,0.236288924089,True,True,3,0,False,False
nominal,1,design_R2,-0.269853061577,-0.382958681199,0.113105619622,0.591062125887,1.18212425177,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.00220628649,0.236288924089,True,True,3,0,False,False
nominal,1,adaptive_Rinf,-0.269853061577,-0.382858904511,0.113005842934,0.61943181011,1.23886362022,True,True,"[5.6828693584876224e-05, 0.9998279126531564, 8.509561052530843e-08, 0.0001151735576482971]",nonempty,-1.00220628649,0.236288924089,True,True,,,,
