n_cal,k,n,coverage,mc_lower,mc_upper,mean_quantile,infinite_fraction
5,4,3000,1,0.998721151275,1,,1
5,16,3000,1,0.998721151275,1,,1
5,64,3000,1,0.998721151275,1,,1
9,4,3000,1,0.998721151275,1,,1
9,16,3000,1,0.998721151275,1,,1
9,64,3000,1,0.998721151275,1,,1
19,4,3000,0.949,0.940537532941,0.956314060903,2.71920557417,0
19,16,3000,0.945666666667,0.936970617729,0.953222835107,3.11125750771,0
19,64,3000,0.944666666667,0.935902226598,0.952293783935,3.49646187004,0
49,4,3000,0.966,0.958895780517,0.971912332471,2.72338386918,0
49,16,3000,0.959333333333,0.951658134242,0.965833696729,3.10565383385,0
49,64,3000,0.965333333333,0.958169325913,0.971307158873,3.48330468942,0
99,4,3000,0.946,0.937326916254,0.953532350683,2.60195362485,0
99,16,3000,0.957333333333,0.949497390463,0.963999555903,2.99345065919,0
99,64,3000,0.953666666667,0.945546965226,0.96062602603,3.38277722378,0
199,4,3000,0.952,0.943755644367,0.959088276386,2.5826509659,0
199,16,3000,0.952,0.943755644367,0.959088276386,2.97753889295,0
199,64,3000,0.950666666667,0.942324406712,0.957856257637,3.36849661916,0
499,4,3000,0.945333333333,0.936614403758,0.952913234977,2.5744067811,0
499,16,3000,0.944333333333,0.935546261994,0.951983934439,2.97100288674,0
499,64,3000,0.952333333333,0.944113703097,0.959396031756,3.36437042556,0
999,4,3000,0.95,0.941609372912,0.957239663235,2.5717940803,0
999,16,3000,0.947,0.938396326556,0.954460382683,2.9674977148,0
999,64,3000,0.947666666667,0.9391097033,0.955078634141,3.35951355057,0
