method,n,coverage,mc_lower,mc_upper,mean_radius,mae,rho,rule,valid
Rinf_coordinate_union,30000,1,0.999871967767,1,0.339656326183,0.0289313522589,0,fixed_equal,True
R2_diagonal,30000,0.994,0.993060633057,0.994812871097,0.0992702270083,0.0289313522589,0,fixed_equal,True
R2_covariance,30000,0.994,0.993060633057,0.994812871097,0.0992702270083,0.0289313522589,0,fixed_equal,True
Rinf_coordinate_union,30000,0.9949,0.994028151128,0.995645122568,0.396110442416,0.191922805,0,adaptive_max_abs,True
R2_diagonal,30000,0.953266666667,0.95081967644,0.955597591406,0.316766184391,0.191922805,0,adaptive_max_abs,False
R2_covariance,30000,0.953266666667,0.95081967644,0.955597591406,0.316766184391,0.191922805,0,adaptive_max_abs,False
Rinf_coordinate_union,30000,0.997,0.99631428001,0.997558455951,0.383880710775,0.128291403324,0,adaptive_softmax,True
R2_diagonal,30000,0.943066666667,0.940387438092,0.945632441612,0.213237064487,0.128291403324,0,adaptive_softmax,False
R2_covariance,30000,0.943066666667,0.940387438092,0.945632441612,0.213237064487,0.128291403324,0,adaptive_softmax,False
Rinf_coordinate_union,30000,1,0.999871967767,1,0.339656326183,0.0499451531708,0.3,fixed_equal,True
R2_diagonal,30000,0.887033333333,0.883401609344,0.890565951839,0.0992702270083,0.0499451531708,0.3,fixed_equal,False
R2_covariance,30000,0.9933,0.99231160791,0.994162075489,0.170386270878,0.0499451531708,0.3,fixed_equal,True
Rinf_coordinate_union,30000,0.995366666667,0.994532212048,0.996074275484,0.398132853227,0.186384504155,0.3,adaptive_max_abs,True
R2_diagonal,30000,0.960233333333,0.957962527386,0.962386289878,0.318383489282,0.186384504155,0.3,adaptive_max_abs,False
R2_covariance,30000,0.960233333333,0.957962527386,0.962386289878,0.318383489282,0.186384504155,0.3,adaptive_max_abs,False
Rinf_coordinate_union,30000,0.997,0.99631428001,0.997558455951,0.384422731889,0.139616878789,0.3,adaptive_softmax,True
R2_diagonal,30000,0.888066666667,0.884449150594,0.891584812656,0.209065606033,0.139616878789,0.3,adaptive_softmax,False
R2_covariance,30000,0.949066666667,0.946520743984,0.951497599333,0.244631407091,0.139616878789,0.3,adaptive_softmax,False
Rinf_coordinate_union,30000,1,0.999871967767,1,0.339656326183,0.0689051168642,0.7,fixed_equal,True
R2_diagonal,30000,0.749366666667,0.744430909029,0.754238570362,0.0992702270083,0.0689051168642,0.7,fixed_equal,False
R2_covariance,30000,0.993066666667,0.992062517148,0.993944559332,0.233667896273,0.0689051168642,0.7,fixed_equal,True
Rinf_coordinate_union,30000,0.9978,0.997202305522,0.998270225587,0.40738185673,0.163291001581,0.7,adaptive_max_abs,True
R2_diagonal,30000,0.979766666667,0.978110914528,0.98129956761,0.32577983948,0.163291001581,0.7,adaptive_max_abs,False
R2_covariance,30000,0.979766666667,0.978110914528,0.98129956761,0.32577983948,0.163291001581,0.7,adaptive_max_abs,False
Rinf_coordinate_union,30000,0.998433333333,0.997917475761,0.998821559841,0.384830535911,0.1278894975,0.7,adaptive_softmax,True
R2_diagonal,30000,0.8645,0.860580369348,0.868326295154,0.188448935722,0.1278894975,0.7,adaptive_softmax,False
R2_covariance,30000,0.979366666667,0.977695636783,0.980914947781,0.278391692132,0.1278894975,0.7,adaptive_softmax,False
