replicate,slsqp,random_best,gap,relative_gap,random_rank_fraction,solver_successes,solver_failures,global_optimum_certified
0,0.630606798404,0.746808122717,-0.116201324313,-0.155597295716,0,3,0,False
1,1.00154019359,1.06672052193,-0.0651803283415,-0.0611034727478,0,3,0,False
2,0.782776345297,0.863088099161,-0.0803117538644,-0.0930516293093,0,3,0,False
3,0.812649757296,0.867669807216,-0.0550200499202,-0.0634112763433,0,3,0,False
4,1.00871289642,1.14283436591,-0.134121469497,-0.117358624747,0,3,0,False
5,0.817107417983,0.980300385217,-0.163192967234,-0.166472409575,0,3,0,False
6,1.02101795174,1.05026754907,-0.0292495973308,-0.027849663028,0,3,0,False
7,0.831202193001,0.924938874284,-0.0937366812831,-0.101343649715,0,3,0,False
8,0.822889484195,0.972106944758,-0.149217460564,-0.153499017128,0,3,0,False
9,0.892376366766,1.02641306036,-0.134036693592,-0.130587478637,0,3,0,False
10,0.884901261672,1.00880305499,-0.12390179332,-0.122820596852,0,3,0,False
11,0.658286402929,0.706032998096,-0.0477465951665,-0.0676265773629,0,3,0,False
12,0.869173076874,0.976244907457,-0.107071830583,-0.109677223169,0,3,0,False
13,0.778674787031,0.84849741444,-0.0698226274091,-0.0822897350315,0,3,0,False
14,0.781206145509,0.927315176955,-0.146109031446,-0.157561350312,0,3,0,False
15,0.538680086205,0.676803297437,-0.138123211232,-0.204081764606,0,3,0,False
16,0.935698714422,1.01395682686,-0.0782581124408,-0.0771809118175,0,3,0,False
17,0.764755261197,0.817697574085,-0.052942312888,-0.064745591238,0,3,0,False
18,0.66143681267,0.741406264454,-0.0799694517834,-0.107861850671,0,3,0,False
19,1.61979065214,1.68545350741,-0.0656628552681,-0.0389585681121,0,3,0,False
20,1.13530025899,1.20527309314,-0.0699728341503,-0.0580555847043,0,3,0,False
21,0.676097205283,0.798257511407,-0.122160306124,-0.153033707016,0,3,0,False
22,0.937602420912,0.996778918619,-0.0591764977068,-0.0593677259836,0,3,0,False
23,0.708266583594,0.851780119071,-0.143513535477,-0.168486599139,0,3,0,False
24,0.818688878568,0.891338805148,-0.0726499265794,-0.0815065227272,0,3,0,False
25,0.747959910841,0.793159422034,-0.0451995111925,-0.0569866661567,0,3,0,False
26,0.683909835154,0.729119964737,-0.045210129583,-0.0620064348386,0,3,0,False
27,1.2374450949,1.25131072733,-0.013865632429,-0.0110808867264,0,3,0,False
28,0.846505798767,0.939108373801,-0.0926025750343,-0.0986069101477,0,3,0,False
29,0.989342099185,1.03571638969,-0.0463742905022,-0.0447750860795,0,3,0,False
30,0.638178704682,0.665337476948,-0.0271587722658,-0.0408195437756,0,3,0,False
31,0.59625636846,0.679968933203,-0.0837125647438,-0.123112337426,0,3,0,False
32,0.841809553059,0.898041710826,-0.0562321577671,-0.0626164209181,0,3,0,False
33,0.937779400435,0.992892030954,-0.0551126305191,-0.0555071737922,0,3,0,False
34,0.850368479782,0.906010011907,-0.0556415321243,-0.0614138159547,0,3,0,False
35,0.811624752701,0.859692519169,-0.0480677664675,-0.0559127425164,0,3,0,False
36,0.638000750927,0.705041231283,-0.0670404803556,-0.0950873188418,0,3,0,False
37,0.541310653155,0.566932419756,-0.0256217666009,-0.0451936874803,0,3,0,False
38,1.14403867237,1.24295541984,-0.0989167474691,-0.0795818948051,0,3,0,False
39,1.10782305891,1.16170503551,-0.0538819765949,-0.0463818051468,0,3,0,False
40,0.938221275452,0.98643603664,-0.0482147611888,-0.0488777370229,0,3,0,False
41,0.795876258766,0.816130092815,-0.0202538340489,-0.0248169185614,0,3,0,False
42,0.984821085687,1.01673689436,-0.031915808669,-0.0313904303524,0,3,0,False
43,0.912637060944,0.938536425049,-0.0258993641048,-0.0275954810209,0,3,0,False
44,1.01441366629,1.07266157085,-0.0582479045617,-0.0543022199588,0,3,0,False
45,0.710480586467,0.774040480432,-0.0635598939648,-0.0821144314433,0,3,0,False
46,0.651131271867,0.711243589432,-0.0601123175651,-0.0845172012209,0,3,0,False
47,1.11797883726,1.19657968965,-0.0786008523932,-0.0656879379393,0,3,0,False
48,1.65495266284,1.71073857066,-0.0557859078207,-0.0326092535571,0,3,0,False
49,0.668896042816,0.742837627937,-0.0739415851216,-0.0995393641097,0,3,0,False
50,0.582077998043,0.678212120753,-0.0961341227097,-0.141746394333,0,3,0,False
51,0.989040114005,1.06994842818,-0.080908314171,-0.0756188915656,0,3,0,False
52,0.607729205112,0.648095924318,-0.0403667192059,-0.0622850996146,0,3,0,False
53,1.2719201919,1.3022426531,-0.0303224612006,-0.0232848011301,0,3,0,False
54,1.14853421517,1.23195932539,-0.0834251102152,-0.067717422561,0,3,0,False
55,0.684602023573,0.737331627592,-0.0527296040194,-0.071514094942,0,3,0,False
56,0.952905933198,1.03428518507,-0.0813792518743,-0.0786816373751,0,3,0,False
57,0.843136839588,0.916983105981,-0.0738462663927,-0.0805317632473,0,3,0,False
58,0.560646870073,0.577176575035,-0.0165297049613,-0.0286389047587,0,3,0,False
59,0.517539684555,0.590235563583,-0.0726958790284,-0.123164179717,0,3,0,False
60,0.937164913287,0.988773930426,-0.0516090171388,-0.052194961407,0,3,0,False
61,0.980863540235,1.06515174561,-0.0842882053803,-0.0791325796792,0,3,0,False
62,1.17015134954,1.2326061234,-0.0624547738623,-0.0506688817104,0,3,0,False
63,1.20626235689,1.30985670269,-0.103594345801,-0.079088304536,0,3,0,False
64,1.19925447197,1.26861282168,-0.0693583497138,-0.0546725908238,0,3,0,False
65,0.814683001833,0.861708424738,-0.0470254229046,-0.0545723142012,0,3,0,False
