protocol,method,delta,n_released,release_rate,released_mae,released_inclusion,mean_released_width
LOCO,fixed,0.1,1,0.017543859649122806,0.0003776827078162681,1.0,0.14880211782801908
LOCO,fixed,0.15,9,0.15789473684210525,0.057543740421880374,1.0,0.2544381731112631
LOCO,fixed,0.2,27,0.47368421052631576,0.0630295394553326,0.9629629629629629,0.328457188267241
LOCO,fixed,0.25,52,0.9122807017543859,0.07923923651609908,0.9615384615384616,0.3773714374163849
LOCO,fixed,0.3,54,0.9473684210526315,0.07871581735457936,0.9629629629629629,0.383315505666596
LOCO,random,0.1,1,0.017543859649122806,0.0012770626664069806,1.0,0.18198192194343718
LOCO,random,0.15,6,0.10526315789473684,0.04715796012124007,1.0,0.2546546877532782
LOCO,random,0.2,21,0.3684210526315789,0.06043905361537766,1.0,0.327860606624935
LOCO,random,0.25,52,0.9122807017543859,0.07918997829959899,0.9807692307692307,0.3940368188299382
LOCO,random,0.3,54,0.9473684210526315,0.07867314950025428,0.9814814814814815,0.39992539523127874
LOSO,fixed,0.1,1,0.017543859649122806,0.021013303116016846,1.0,0.14317085108832386
LOSO,fixed,0.15,10,0.17543859649122806,0.05930706495160491,1.0,0.2566883874747182
LOSO,fixed,0.2,27,0.47368421052631576,0.06299422904400126,1.0,0.32704788766557696
LOSO,fixed,0.25,52,0.9122807017543859,0.0788455851324522,0.9807692307692307,0.37623935772441147
LOSO,fixed,0.3,54,0.9473684210526315,0.07833619896511365,0.9814814814814815,0.3822252765879568
LOSO,random,0.1,1,0.017543859649122806,0.020954153336276704,1.0,0.1523600781304522
LOSO,random,0.15,6,0.10526315789473684,0.04886080780124034,1.0,0.23742834656998082
LOSO,random,0.2,21,0.3684210526315789,0.06212685843053181,1.0,0.3170508494611144
LOSO,random,0.25,52,0.9122807017543859,0.0788844651523065,0.9807692307692307,0.3863797537752313
LOSO,random,0.3,54,0.9473684210526315,0.0783752401675334,0.9814814814814815,0.39251160997950524
