protocol,source,heldout_sources,max_change
LOSO,armstrong,1,0.0
LOSO,aus2,1,0.0
LOSO,badaniaon,1,0.0
LOSO,bogota,1,0.0
LOSO,brookcuny,1,0.0
LOSO,carleton,1,0.0
LOSO,cas,1,0.0
LOSO,csunorthonline,1,0.0
LOSO,fmkbelgrade,1,0.0
LOSO,georgefox,1,0.0
LOSO,grazvienna,1,0.0
LOSO,hawaiion,1,0.0
LOSO,help,1,0.0
LOSO,jmu,1,0.0
LOSO,jos,1,0.0
LOSO,kenyon,1,0.0
LOSO,krakowon,1,0.0
LOSO,kwazulu,1,0.0
LOSO,louvain,1,0.0
LOSO,loyola,1,0.0
LOSO,lse,1,0.0
LOSO,mcdanielonline,1,0.0
LOSO,metu,1,0.0
LOSO,moralsense,1,0.0
LOSO,mturk,1,0.0
LOSO,munich,1,0.0
LOSO,munichon,1,0.0
LOSO,northumbria,1,0.0
LOSO,osnabruck,1,0.0
LOSO,ouhk,1,0.0
LOSO,padua,1,0.0
LOSO,pascal,1,0.0
LOSO,psualtoona,1,0.0
LOSO,puc,1,0.0
LOSO,queensland2,1,0.0
LOSO,radboud,1,0.0
LOSO,ritonline,1,0.0
LOSO,rotterdam,1,0.0
LOSO,salford,1,0.0
LOSO,seznam,1,0.0
LOSO,seznamon,1,0.0
LOSO,simmons,1,0.0
LOSO,swps,1,0.0
LOSO,tamu,1,0.0
LOSO,tamucc,1,0.0
LOSO,tanzania,1,0.0
LOSO,tanzaniaon,1,0.0
LOSO,tilburg,1,0.0
LOSO,tilburgcaf,1,0.0
LOSO,ulatina,1,0.0
LOSO,umich,1,0.0
LOSO,uned,1,0.0
LOSO,unswonline,1,0.0
LOSO,vcu,1,0.0
LOSO,vuw,1,0.0
LOSO,westernkentucky,1,0.0
LOSO,yale,1,0.0
LOCO,armstrong,20,0.0
LOCO,aus2,1,0.0
LOCO,badaniaon,3,0.0
LOCO,bogota,1,0.0
LOCO,brookcuny,20,0.0
LOCO,carleton,1,0.0
LOCO,cas,1,0.0
LOCO,csunorthonline,20,0.0
LOCO,fmkbelgrade,1,0.0
LOCO,georgefox,20,0.0
LOCO,grazvienna,1,0.0
LOCO,hawaiion,20,0.0
LOCO,help,1,0.0
LOCO,jmu,20,0.0
LOCO,jos,1,0.0
LOCO,kenyon,20,0.0
LOCO,krakowon,3,0.0
LOCO,kwazulu,1,0.0
LOCO,louvain,1,0.0
LOCO,loyola,20,0.0
LOCO,lse,3,0.0
LOCO,mcdanielonline,20,0.0
LOCO,metu,1,0.0
LOCO,moralsense,20,0.0
LOCO,mturk,20,0.0
LOCO,munich,3,0.0
LOCO,munichon,3,0.0
LOCO,northumbria,3,0.0
LOCO,osnabruck,3,0.0
LOCO,ouhk,1,0.0
LOCO,padua,1,0.0
LOCO,pascal,1,0.0
LOCO,psualtoona,20,0.0
LOCO,puc,1,0.0
LOCO,queensland2,2,0.0
LOCO,radboud,4,0.0
LOCO,ritonline,20,0.0
LOCO,rotterdam,4,0.0
LOCO,salford,3,0.0
LOCO,seznam,2,0.0
LOCO,seznamon,2,0.0
LOCO,simmons,20,0.0
LOCO,swps,3,0.0
LOCO,tamu,20,0.0
LOCO,tamucc,20,0.0
LOCO,tanzania,2,0.0
LOCO,tanzaniaon,2,0.0
LOCO,tilburg,4,0.0
LOCO,tilburgcaf,4,0.0
LOCO,ulatina,1,0.0
LOCO,umich,20,0.0
LOCO,uned,1,0.0
LOCO,unswonline,2,0.0
LOCO,vcu,20,0.0
LOCO,vuw,1,0.0
LOCO,westernkentucky,20,0.0
LOCO,yale,20,0.0
