source,country,rep,n_train,estimate,error,train_sources
armstrong,USA,0,37,0.15753417768245587,0.024238658680754227,kenyon|tanzaniaon|badaniaon|ouhk|tilburgcaf|metu|grazvienna|jmu|osnabruck|padua|georgefox|seznam|psualtoona|simmons|ritonline|radboud|loyola|tamu|brookcuny|yale|aus2|munichon|uned|carleton|fmkbelgrade|rotterdam|louvain|salford|swps|jos|unswonline|lse|ulatina|tanzania|mcdanielonline|seznamon|puc
armstrong,USA,1,37,0.1848010913250779,0.05150557232337627,bogota|carleton|cas|loyola|tanzania|metu|padua|aus2|puc|ouhk|yale|csunorthonline|georgefox|grazvienna|jmu|radboud|umich|badaniaon|simmons|psualtoona|munich|krakowon|mcdanielonline|tilburg|rotterdam|vuw|tanzaniaon|ritonline|help|unswonline|salford|osnabruck|pascal|mturk|vcu|swps|tamucc
armstrong,USA,2,37,0.16022087987316094,0.026925360871459303,metu|padua|tamu|osnabruck|aus2|tanzaniaon|pascal|kenyon|rotterdam|seznamon|tanzania|yale|hawaiion|westernkentucky|simmons|bogota|carleton|vuw|puc|georgefox|ulatina|brookcuny|mcdanielonline|umich|moralsense|badaniaon|ouhk|jmu|loyola|tilburgcaf|psualtoona|grazvienna|uned|northumbria|munichon|lse|munich
armstrong,USA,3,37,0.17596701300582726,0.04267149400412562,swps|help|georgefox|padua|badaniaon|loyola|tanzaniaon|fmkbelgrade|seznamon|mturk|simmons|mcdanielonline|ulatina|jmu|tanzania|queensland2|lse|krakowon|grazvienna|northumbria|radboud|rotterdam|vcu|unswonline|yale|uned|ouhk|westernkentucky|jos|vuw|tamu|puc|csunorthonline|moralsense|carleton|louvain|umich
armstrong,USA,4,37,0.16845539989580863,0.03515988089410699,puc|jos|krakowon|simmons|salford|westernkentucky|munich|swps|vuw|cas|georgefox|rotterdam|tilburgcaf|louvain|padua|moralsense|csunorthonline|yale|umich|tamucc|unswonline|queensland2|jmu|metu|loyola|munichon|tilburg|badaniaon|seznam|mturk|bogota|pascal|uned|kenyon|ulatina|brookcuny|help
armstrong,USA,5,37,0.18238778231839126,0.049092263316689616,loyola|yale|carleton|mturk|grazvienna|unswonline|louvain|hawaiion|swps|aus2|queensland2|osnabruck|tilburg|ritonline|fmkbelgrade|munich|kwazulu|ulatina|kenyon|psualtoona|seznam|tilburgcaf|westernkentucky|vuw|uned|simmons|radboud|tanzania|cas|padua|munichon|brookcuny|northumbria|seznamon|mcdanielonline|tamu|rotterdam
armstrong,USA,6,37,0.18130050919379276,0.04800499019209112,bogota|georgefox|osnabruck|tilburg|simmons|swps|jos|salford|moralsense|rotterdam|tanzaniaon|westernkentucky|vuw|northumbria|tamucc|kenyon|cas|vcu|umich|yale|mturk|fmkbelgrade|padua|hawaiion|mcdanielonline|help|seznam|carleton|psualtoona|ouhk|ulatina|tanzania|aus2|louvain|tilburgcaf|csunorthonline|badaniaon
armstrong,USA,7,37,0.1690201512778358,0.03572463227613415,tilburg|tanzaniaon|yale|mturk|kwazulu|munich|tamu|umich|tilburgcaf|puc|seznam|seznamon|vuw|fmkbelgrade|ritonline|bogota|radboud|aus2|georgefox|kenyon|louvain|jos|help|ulatina|ouhk|simmons|tanzania|jmu|osnabruck|hawaiion|mcdanielonline|westernkentucky|padua|metu|grazvienna|badaniaon|loyola
armstrong,USA,8,37,0.16611065048088744,0.0328151314791858,lse|georgefox|umich|kenyon|carleton|jos|westernkentucky|hawaiion|loyola|moralsense|salford|kwazulu|badaniaon|krakowon|vuw|metu|radboud|munichon|bogota|ulatina|tamucc|ouhk|simmons|puc|vcu|psualtoona|louvain|osnabruck|uned|cas|tamu|ritonline|yale|mturk|jmu|tanzania|padua
armstrong,USA,9,37,0.1639530187187209,0.030657499717019254,westernkentucky|kwazulu|krakowon|pascal|yale|ulatina|georgefox|umich|tamu|kenyon|northumbria|loyola|radboud|queensland2|brookcuny|bogota|jos|vcu|salford|aus2|munichon|ritonline|badaniaon|help|seznamon|tilburg|puc|tilburgcaf|ouhk|fmkbelgrade|simmons|uned|csunorthonline|vuw|metu|mcdanielonline|moralsense
armstrong,USA,10,37,0.1764999572124172,0.04320443821071557,uned|queensland2|simmons|seznamon|tamu|swps|loyola|unswonline|tilburg|psualtoona|pascal|fmkbelgrade|mcdanielonline|bogota|mturk|padua|brookcuny|kenyon|puc|metu|radboud|hawaiion|rotterdam|tamucc|kwazulu|westernkentucky|tanzania|cas|northumbria|georgefox|lse|help|jmu|louvain|moralsense|krakowon|umich
