source,LOCO,LOSO,matched_size,country
armstrong,0.021733433488963366,0.039984590463987085,0.04023866614417091,USA
aus2,0.12311492483247621,0.12311492483247621,0.12311492483247617,United Arab Emirates
badaniaon,0.08936926207276386,0.09221104282715264,0.09201979530575086,Poland
bogota,0.05689606781128509,0.05689606781128509,0.05689606781128506,Colombia
brookcuny,0.04403485632924137,0.026840898733642204,0.026220979894963244,USA
carleton,0.10669677587043042,0.10669677587043042,0.10669677587043042,Canada
cas,0.09037408308155359,0.09037408308155359,0.09037408308155363,China
csunorthonline,0.12249042735429622,0.10591596213555907,0.10539467194529414,USA
fmkbelgrade,0.08210499056611065,0.08210499056611065,0.08210499056611063,Serbia
georgefox,0.04224151897335485,0.024936421178643198,0.026107599834103535,USA
grazvienna,0.008570721281886046,0.008570721281886046,0.008570721281885983,Austria
hawaiion,0.04019378765550019,0.05881320894774883,0.05877138857289692,USA
help,0.13584123754059782,0.13584123754059782,0.13584123754059782,Malaysia
jmu,0.07555928280345264,0.05837637063978848,0.058581575358776394,USA
jos,0.13290032400736157,0.13290032400736157,0.1329003240073616,Nigeria
kenyon,0.06931466677637929,0.08850696398663555,0.08781440985162338,USA
krakowon,0.07695915818422777,0.07579459479447645,0.07585721512648581,Poland
kwazulu,0.023747853000688407,0.023747853000688407,0.023747853000688407,South Africa
louvain,0.07138175117096307,0.07138175117096307,0.07138175117096307,Belgium
loyola,0.026207177695735828,0.04560539230538138,0.04423508361194476,USA
lse,0.044588533539186126,0.04583546050561044,0.04564973546225033,UK
mcdanielonline,0.0012310029091438524,0.0169052698566651,0.017193180103830485,USA
metu,0.06311621556360686,0.06311621556360686,0.06311621556360686,Turkey
moralsense,0.0003776827078162681,0.021013303116016846,0.0211757295855625,USA
mturk,0.07256208392390082,0.05822667114853597,0.05831717067189618,USA
munich,0.09636840389611023,0.0996308078040361,0.09938785305936364,Germany
munichon,0.08093842162389434,0.08149919937789082,0.08123733555828032,Germany
northumbria,0.15510470615829813,0.15620218502973068,0.1561564674243238,UK
osnabruck,0.045894524692713434,0.04409212543207153,0.04372173135365421,Germany
ouhk,0.06874716568155262,0.06874716568155262,0.06874716568155259,"Hong Kong, China"
padua,0.11347925456463898,0.11347925456463898,0.11347925456463896,Italy
pascal,0.0680396278930692,0.0680396278930692,0.06803962789306918,France
psualtoona,0.0979077175808365,0.08201522806771577,0.08083427323496024,USA
puc,0.29113017585788065,0.29113017585788065,0.2911301758578807,Chile
queensland2,0.06646499096246852,0.06597116189627267,0.06590220505657104,Australia
radboud,0.23193987207069905,0.22795733534937954,0.22783197872418565,The Netherlands
ritonline,0.17055244285817217,0.15448464121243952,0.1536710587323212,USA
rotterdam,0.11581521082408663,0.11217478107295223,0.11210160328154972,The Netherlands
salford,0.03633118347448744,0.03747309899565429,0.037576701913654226,UK
seznam,0.05150103776570761,0.051406817353477935,0.05150689724555908,Czech Republic
seznamon,0.006797689717345207,0.006265406128877493,0.006159788092491189,Czech Republic
simmons,0.01217180963352213,0.030411728321898507,0.031825570974831484,USA
swps,0.12448401428051242,0.12359069411760959,0.12357255286386387,Poland
tamu,0.10106860848494476,0.08422406477068772,0.08328886269831769,USA
tamucc,0.03648791905601456,0.05490202428650409,0.054662304784316176,USA
tanzania,0.039839755228578744,0.039810234147069634,0.03988060312487722,Tanzania
tanzaniaon,0.01245880284762646,0.012130205283163414,0.012152055450962117,Tanzania
tilburg,0.12010608706618242,0.1167087127067856,0.11651035117633374,The Netherlands
tilburgcaf,0.13963217976300685,0.1362614306040731,0.1362597824456068,The Netherlands
ulatina,0.04400575721399913,0.04400575721399913,0.04400575721399911,Costa Rica
umich,0.021153613737277477,0.03940246464101377,0.038642365935527265,USA
uned,0.06812956567559245,0.06812956567559245,0.06812956567559242,Spain
unswonline,0.037905741175597224,0.036886881496599466,0.03695148156908437,Australia
vcu,0.13663771417600168,0.12049438428195317,0.12087805939045207,USA
vuw,0.1467075105219384,0.1467075105219384,0.14670751052193842,New Zealand
westernkentucky,0.1663996189379064,0.15179791559518033,0.1516132496379664,USA
yale,0.058613131576790295,0.04270964682732162,0.04434606281412812,USA
