source,n_cheap,n_expensive,effect,variance,country
armstrong,41,43,0.13329551900170164,0.010049520197536601,USA
aus2,85,94,0.0524405506883604,0.005242374121783064,United Arab Emirates
badaniaon,16,27,0.08101851851851855,0.026008444787379972,Poland
bogota,47,55,0.22901353965183757,0.00950155617805208,Colombia
brookcuny,82,99,0.19906380881990637,0.005279278526752845,USA
carleton,58,63,0.2777777777777778,0.007173698882810371,Canada
cas,23,25,0.26260869565217393,0.018133287506444405,China
csunorthonline,45,43,0.2775193798449612,0.01018926029201854,USA
fmkbelgrade,53,51,0.09174990751017387,0.009218865130276917,Serbia
georgefox,78,62,0.19727047146401985,0.0060357741967640224,USA
grazvienna,48,54,0.16435185185185186,0.009379847268410447,Austria
hawaiion,65,56,0.11483516483516482,0.008242060137664535,USA
help,41,49,0.3066202090592335,0.007779018805618618,Malaysia
jmu,34,50,0.23058823529411765,0.011271992861315649,USA
jos,57,35,0.042105263157894646,0.007080239297935241,Nigeria
kenyon,50,56,0.08571428571428572,0.007346938775510204,USA
krakowon,50,49,0.24734693877551017,0.006996834652228237,Poland
kwazulu,43,34,0.1963064295485636,0.010761891022145793,South Africa
louvain,54,46,0.10225442834138493,0.01015213680256831,Belgium
loyola,149,144,0.12882177479492918,0.003301860193629333,USA
lse,57,55,0.12759170653907492,0.00874818867767747,UK
mcdanielonline,86,73,0.15625995539980886,0.005646573141422907,USA
metu,56,69,0.11076604554865424,0.006904915830111618,Turkey
moralsense,416,418,0.15465126978284874,0.0008605018510395121,USA
mturk,168,170,0.22759103641456582,0.00196782338402839,USA
munich,47,37,0.27142035652673946,0.01132266729473754,Germany
munichon,111,103,0.09411353100673489,0.0033992845557433383,Germany
northumbria,48,31,0.3272849462365592,0.010512827934234187,UK
osnabruck,41,44,0.1291574279379158,0.011862892158381603,Germany
ouhk,31,37,0.10462074978204006,0.014529730675637249,"Hong Kong, China"
padua,44,35,0.06038961038961038,0.012572589481689274,Italy
pascal,95,83,0.10627774254914396,0.005286361312159116,France
psualtoona,88,89,0.2529366700715015,0.005049834273791394,USA
puc,41,40,-0.11524390243902438,0.011061019463384128,Chile
queensland2,86,51,0.10784313725490197,0.0077085736255286435,Australia
radboud,20,10,0.39999999999999997,0.0343859649122807,The Netherlands
ritonline,43,43,0.3255813953488372,0.010481856344484793,USA
rotterdam,36,41,0.28387533875338755,0.01173116226903655,The Netherlands
salford,50,53,0.1358490566037736,0.008635944231733278,UK
seznam,42,43,0.22369878183831676,0.011443516494744864,Czech Republic
seznamon,45,73,0.17899543378995436,0.008502628082286554,Czech Republic
simmons,42,54,0.14285714285714288,0.007833199240733262,USA
swps,39,50,0.2948717948717948,0.009392846726565639,Poland
tamu,44,41,0.25609756097560976,0.010424304469930689,USA
tamucc,47,42,0.11854103343465044,0.010213099841823257,USA
tanzania,30,30,0.13333333333333341,0.014176245210727969,Tanzania
tanzaniaon,8,7,0.1607142857142857,0.049638605442176874,Tanzania
tilburg,41,54,0.28816621499548334,0.010021581308118765,The Netherlands
tilburgcaf,39,42,0.30769230769230776,0.011475627057734295,The Netherlands
ulatina,97,110,0.130178069353327,0.003752846626051269,Costa Rica
umich,45,41,0.13387533875338753,0.009952662990537271,USA
uned,37,49,0.10535024820739103,0.011971997099252635,Spain
unswonline,46,51,0.13640238704177327,0.009091544694530024,Australia
vcu,48,48,0.2916666666666667,0.008551270685579196,USA
vuw,55,45,0.02828282828282827,0.007870625446383022,New Zealand
westernkentucky,84,77,0.3214285714285714,0.005559024497560597,USA
yale,137,145,0.2136420840674553,0.002645065542637937,USA
