protocol,method,sites,countries,site_mae,country_mae,max_error,inclusion,mean_width,max_delete_source_change
LOCO,fixed,57,26,0.08042845744102411,0.08731542343162747,0.29113017585788065,0.9649122807017544,0.4051662736896431,0.00604408671887352
LOCO,median,57,26,0.08198018951391815,0.08384003726896719,0.27373102299607166,,,0.005897063462852931
LOCO,random,57,26,0.08039659846603678,0.08735831298067756,0.29113017585788065,0.9824561403508771,0.4219508071817245,0.005696179787477523
LOCO,trimmed,57,26,0.0812438525810607,0.08968177197988347,0.296037007178356,,,0.0046345401950787235
LOCO,unweighted,57,26,0.08114538480543018,0.08945424839721385,0.29850652404175193,,,0.007844782231672287
LOSO,fixed,57,26,0.08004304083466375,0.08718780823239497,0.29113017585788065,0.9824561403508771,0.4041318461691957,0.0038230294049187152
LOSO,median,57,26,0.07935725718840254,0.08321151689478333,0.27373102299607166,,,0.003031507965718494
LOSO,random,57,26,0.08008771433454717,0.08723874589770733,0.29113017585788065,0.9824561403508771,0.41488555774695235,0.003885533480538328
LOSO,trimmed,57,26,0.08090878043636959,0.08945807936090419,0.296037007178356,,,0.002899468635298885
LOSO,unweighted,57,26,0.08072847694680253,0.0892180450344228,0.29850652404175193,,,0.005380791758316933
