surface,scenario,replicate,method,tolerance,stage,source_id,n,treated_mean,control_mean,effect,noise_sd,target_batch
linear,bridgeable,0,r2_nearest,0.2,1,5,96,-0.0165658892355105,-0.0829996959356462,0.0664338067001357,0.102062072615966,
linear,bridgeable,0,r2_nearest,0.2,2,6,96,0.270725468136054,-0.0980248650992341,0.368750333235288,0.102062072615966,
linear,bridgeable,0,r2_nearest,0.2,3,4,96,-0.169185556594908,0.0414287560455015,-0.21061431264041,0.102062072615966,
linear,bridgeable,0,r2_nearest,0.3,1,5,96,-0.0165658892355105,-0.0829996959356462,0.0664338067001357,0.102062072615966,
linear,bridgeable,0,r2_nearest,0.3,2,6,96,0.270725468136054,-0.0980248650992341,0.368750333235288,0.102062072615966,
linear,bridgeable,0,r2_random,0.2,1,8,96,0.512818668489166,-0.0446050685330237,0.55742373702219,0.102062072615966,
linear,bridgeable,0,r2_random,0.2,2,4,96,-0.169185556594908,0.0414287560455015,-0.21061431264041,0.102062072615966,
linear,bridgeable,0,r2_random,0.2,3,6,96,0.270725468136054,-0.0980248650992341,0.368750333235288,0.102062072615966,
linear,bridgeable,0,r2_random,0.3,1,8,96,0.512818668489166,-0.0446050685330237,0.55742373702219,0.102062072615966,
linear,bridgeable,0,r2_targeted,0.2,1,9,96,0.557203709111628,0.0272941182702668,0.529909590841361,0.102062072615966,
linear,bridgeable,0,r2_targeted,0.2,2,8,96,0.512818668489166,-0.0446050685330237,0.55742373702219,0.102062072615966,
linear,bridgeable,0,r2_targeted,0.3,1,9,96,0.557203709111628,0.0272941182702668,0.529909590841361,0.102062072615966,
linear,bridgeable,0,rinf_targeted,0.2,1,9,96,0.557203709111628,0.0272941182702668,0.529909590841361,0.102062072615966,
linear,bridgeable,0,rinf_targeted,0.2,2,7,96,0.441616934332591,-0.0101684710893354,0.451785405421926,0.102062072615966,
linear,bridgeable,0,rinf_targeted,0.2,3,4,96,-0.169185556594908,0.0414287560455015,-0.21061431264041,0.102062072615966,
linear,bridgeable,0,rinf_targeted,0.3,1,9,96,0.557203709111628,0.0272941182702668,0.529909590841361,0.102062072615966,
linear,bridgeable,0,target_only,0.2,1,10,96,-0.00490151364211874,-0.039749534491271,0.0348480208491522,0.102062072615966,1
linear,bridgeable,0,target_only,0.2,2,10,96,0.0400220047733365,0.0319129037903185,0.00810910098301793,0.102062072615966,2
linear,bridgeable,0,target_only,0.2,3,10,96,-0.04126055523984,-0.0831452235503589,0.0418846683105189,0.102062072615966,3
linear,bridgeable,0,target_only,0.3,1,10,96,-0.00490151364211874,-0.039749534491271,0.0348480208491522,0.102062072615966,1
linear,bridgeable,1,r2_nearest,0.2,1,5,96,0.0928646776838779,-0.027981268814683,0.120845946498561,0.102062072615966,
linear,bridgeable,1,r2_nearest,0.2,2,6,96,0.240243835047096,0.121007083990552,0.119236751056544,0.102062072615966,
