surface,scenario,replicate,method,stage,candidate,planned_radius,solver_failures
linear,bridgeable,0,r2_targeted,1,4,0.538307166705825,0
linear,bridgeable,0,r2_targeted,1,5,0.40385911968259,0
linear,bridgeable,0,r2_targeted,1,6,0.299340258565099,0
linear,bridgeable,0,r2_targeted,1,7,0.257918539901525,0
linear,bridgeable,0,r2_targeted,1,8,0.222339365737103,0
linear,bridgeable,0,r2_targeted,1,9,0.205812477469594,0
linear,bridgeable,0,r2_targeted,2,4,0.199652800099981,0
linear,bridgeable,0,r2_targeted,2,5,0.192330011661842,0
linear,bridgeable,0,r2_targeted,2,6,0.183235888274587,0
linear,bridgeable,0,r2_targeted,2,7,0.177197545918295,0
linear,bridgeable,0,r2_targeted,2,8,0.168749025571263,0
linear,bridgeable,0,r2_targeted,3,4,0.165605698876509,0
linear,bridgeable,0,r2_targeted,3,5,0.162401479586762,0
linear,bridgeable,0,r2_targeted,3,6,0.158285109140038,0
linear,bridgeable,0,r2_targeted,3,7,0.155086931949423,0
linear,bridgeable,0,rinf_targeted,1,4,0.589847772763885,0
linear,bridgeable,0,rinf_targeted,1,5,0.410500656309767,0
linear,bridgeable,0,rinf_targeted,1,6,0.337230922647116,0
linear,bridgeable,0,rinf_targeted,1,7,0.308699322339514,0
linear,bridgeable,0,rinf_targeted,1,8,0.282974810801726,0
linear,bridgeable,0,rinf_targeted,1,9,0.270086311671817,0
linear,bridgeable,0,rinf_targeted,2,4,0.270086311671817,0
linear,bridgeable,0,rinf_targeted,2,5,0.270086309171846,0
linear,bridgeable,0,rinf_targeted,2,6,0.270086311671817,0
linear,bridgeable,0,rinf_targeted,2,7,0.270086306442515,0
linear,bridgeable,0,rinf_targeted,2,8,0.270086311671817,0
linear,bridgeable,0,rinf_targeted,3,4,0.270086306442515,0
linear,bridgeable,0,rinf_targeted,3,5,0.270086306442515,0
linear,bridgeable,0,rinf_targeted,3,6,0.270086306442515,0
linear,bridgeable,0,rinf_targeted,3,8,0.270086306442515,0
linear,bridgeable,1,r2_targeted,1,4,0.500514444228285,0
linear,bridgeable,1,r2_targeted,1,5,0.425482136812017,0
linear,bridgeable,1,r2_targeted,1,6,0.297251789852755,0
linear,bridgeable,1,r2_targeted,1,7,0.234499619127005,0
linear,bridgeable,1,r2_targeted,1,8,0.210735878350769,0
linear,bridgeable,1,r2_targeted,1,9,0.195408640885655,0
linear,bridgeable,1,r2_targeted,2,4,0.191774803970594,0
linear,bridgeable,1,r2_targeted,2,5,0.185580668503821,0
linear,bridgeable,1,r2_targeted,2,6,0.176308622142829,0
linear,bridgeable,1,r2_targeted,2,7,0.168132279373532,0
linear,bridgeable,1,r2_targeted,2,8,0.163333306987276,0
linear,bridgeable,1,r2_targeted,3,4,0.161398914119927,0
linear,bridgeable,1,r2_targeted,3,5,0.158475095096722,0
linear,bridgeable,1,r2_targeted,3,6,0.15389143591112,0
linear,bridgeable,1,r2_targeted,3,7,0.149774508926718,0
linear,bridgeable,1,rinf_targeted,1,4,0.545488967539617,0
linear,bridgeable,1,rinf_targeted,1,5,0.434959891312644,0
linear,bridgeable,1,rinf_targeted,1,6,0.336172511152562,0
linear,bridgeable,1,rinf_targeted,1,7,0.292116485011958,0
linear,bridgeable,1,rinf_targeted,1,8,0.271506417833605,0
linear,bridgeable,1,rinf_targeted,1,9,0.257751012027116,0
linear,bridgeable,1,rinf_targeted,2,4,0.257751004163281,0
linear,bridgeable,1,rinf_targeted,2,5,0.257750993401555,0
linear,bridgeable,1,rinf_targeted,2,6,0.257751004267209,0
linear,bridgeable,1,rinf_targeted,2,7,0.257750990386065,0
linear,bridgeable,1,rinf_targeted,2,8,0.257750992959565,0
linear,bridgeable,1,rinf_targeted,3,4,0.257750990386065,0
linear,bridgeable,1,rinf_targeted,3,5,0.257750990386065,0
linear,bridgeable,1,rinf_targeted,3,6,0.257750990386065,0
linear,bridgeable,1,rinf_targeted,3,8,0.257750990386065,0
linear,bridgeable,2,r2_targeted,1,4,0.484764390333643,0
linear,bridgeable,2,r2_targeted,1,5,0.402455155947025,0
linear,bridgeable,2,r2_targeted,1,6,0.29115324300811,0
linear,bridgeable,2,r2_targeted,1,7,0.228689378289907,0
linear,bridgeable,2,r2_targeted,1,8,0.206425825720828,0
linear,bridgeable,2,r2_targeted,1,9,0.193210506407147,0
linear,bridgeable,2,r2_targeted,2,4,0.188232352198931,0
linear,bridgeable,2,r2_targeted,2,5,0.182445254559106,0
linear,bridgeable,2,r2_targeted,2,6,0.17432735965045,0
linear,bridgeable,2,r2_targeted,2,7,0.165743085358625,0
linear,bridgeable,2,r2_targeted,2,8,0.160547641533599,0
linear,bridgeable,2,r2_targeted,3,4,0.157938666911214,0
