surface,scenario,tolerance,scope,comparator,metric,targeted_minus_comparator,lower,upper,n_pairs
linear,bridgeable,0.2,cell,rinf_targeted,released,1,1,1,200
linear,bridgeable,0.2,cell,rinf_targeted,new_n,-180.96,-184.8,-176.64,200
linear,bridgeable,0.2,cell,rinf_targeted,bad_release,0,0,0,200
linear,bridgeable,0.2,cell,r2_random,released,0.11,0.07,0.155,200
linear,bridgeable,0.2,cell,r2_random,new_n,-101.28,-110.88,-91.2,200
linear,bridgeable,0.2,cell,r2_random,bad_release,0,0,0,200
linear,bridgeable,0.2,cell,r2_nearest,released,1,1,1,200
linear,bridgeable,0.2,cell,r2_nearest,new_n,-180.96,-184.8,-176.64,200
linear,bridgeable,0.2,cell,r2_nearest,bad_release,0,0,0,200
linear,bridgeable,0.2,cell,r2_static,released,1,1,1,200
linear,bridgeable,0.2,cell,r2_static,new_n,107.04,103.2,111.36,200
linear,bridgeable,0.2,cell,r2_static,bad_release,0,0,0,200
linear,bridgeable,0.2,cell,target_only,released,0,0,0,200
linear,bridgeable,0.2,cell,target_only,new_n,-180.96,-185.28,-176.64,200
linear,bridgeable,0.2,cell,target_only,bad_release,0,0,0,200
linear,bridgeable,0.3,cell,rinf_targeted,released,0,0,0,200
linear,bridgeable,0.3,cell,rinf_targeted,new_n,0,0,0,200
linear,bridgeable,0.3,cell,rinf_targeted,bad_release,0,0,0,200
linear,bridgeable,0.3,cell,r2_random,released,0,0,0,200
linear,bridgeable,0.3,cell,r2_random,new_n,-36.96,-44.64,-29.76,200
linear,bridgeable,0.3,cell,r2_random,bad_release,0,0,0,200
linear,bridgeable,0.3,cell,r2_nearest,released,0,0,0,200
linear,bridgeable,0.3,cell,r2_nearest,new_n,-148.32,-155.04,-142.08,200
linear,bridgeable,0.3,cell,r2_nearest,bad_release,0,0,0,200
linear,bridgeable,0.3,cell,r2_static,released,1,1,1,200
linear,bridgeable,0.3,cell,r2_static,new_n,96,96,96,200
linear,bridgeable,0.3,cell,r2_static,bad_release,0,0,0,200
linear,bridgeable,0.3,cell,target_only,released,0,0,0,200
linear,bridgeable,0.3,cell,target_only,new_n,0,0,0,200
linear,bridgeable,0.3,cell,target_only,bad_release,0,0,0,200
linear,supported,0.2,cell,rinf_targeted,released,0,0,0,200
linear,supported,0.2,cell,rinf_targeted,new_n,0,0,0,200
linear,supported,0.2,cell,rinf_targeted,bad_release,0,0,0,200
linear,supported,0.2,cell,r2_random,released,0,0,0,200
linear,supported,0.2,cell,r2_random,new_n,0,0,0,200
linear,supported,0.2,cell,r2_random,bad_release,0,0,0,200
linear,supported,0.2,cell,r2_nearest,released,0,0,0,200
linear,supported,0.2,cell,r2_nearest,new_n,0,0,0,200
linear,supported,0.2,cell,r2_nearest,bad_release,0,0,0,200
linear,supported,0.2,cell,r2_static,released,0,0,0,200
linear,supported,0.2,cell,r2_static,new_n,0,0,0,200
linear,supported,0.2,cell,r2_static,bad_release,0,0,0,200
linear,supported,0.2,cell,target_only,released,0,0,0,200
linear,supported,0.2,cell,target_only,new_n,-288,-288,-288,200
linear,supported,0.2,cell,target_only,bad_release,0,0,0,200
linear,supported,0.3,cell,rinf_targeted,released,0,0,0,200
linear,supported,0.3,cell,rinf_targeted,new_n,0,0,0,200
linear,supported,0.3,cell,rinf_targeted,bad_release,0,0,0,200
linear,supported,0.3,cell,r2_random,released,0,0,0,200
