scenario,method,tolerance,budget,n_worlds,released,released_lower,released_upper,bad_release,bad_release_lower,bad_release_upper,path_covered,path_covered_lower,path_covered_upper,new_n,new_n_lower,new_n_upper,released_mae,released_bad_rate,mean_output_width,mean_refusal_width,mean_certificate_radius,n_released
bridgeable,r2_nearest,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_nearest,0.2,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,0.675266806263,0.675266806263,0.405544563889,0
bridgeable,r2_nearest,0.2,2,600,0,0,0,0,0,0,1,1,1,192,192,192,,,0.63547242764,0.63547242764,0.319380371311,0
bridgeable,r2_nearest,0.2,3,600,0,0,0,0,0,0,1,1,1,288,288,288,,,0.607355940007,0.607355940007,0.251888499697,0
bridgeable,r2_nearest,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_nearest,0.3,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,0.675266806263,0.675266806263,0.405544563889,0
bridgeable,r2_nearest,0.3,2,600,0.483333333333,0.443333333333,0.523333333333,0,0,0,1,1,1,192,192,192,0.0484745700665,0,0.599679737602,0.662084110344,0.319380371311,290
bridgeable,r2_nearest,0.3,3,600,1,1,1,0,0,0,1,1,1,241.6,237.76,245.444,0.0471091423445,0,0.51444863398,,0.25722431699,600
bridgeable,r2_random,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_random,0.2,1,600,0.07,0.0516666666667,0.088375,0,0,0,1,1,1,96,96,96,0.0353205389487,0,0.725045052344,0.750392512731,0.332986134404,42
bridgeable,r2_random,0.2,2,600,0.206666666667,0.185,0.23,0,0,0,1,1,1,185.28,183.36,187.04,0.0341748940491,0,0.618158911199,0.682115949911,0.2467016439,124
bridgeable,r2_random,0.2,3,600,0.385,0.36,0.408333333333,0,0,0,1,1,1,261.44,258.08,264.804,0.0330170958913,0,0.541384116124,0.646520424582,0.215807494529,231
bridgeable,r2_random,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_random,0.3,1,600,0.425,0.39,0.461666666667,0,0,0,1,1,1,96,96,96,0.0420571152194,0,0.652569334322,0.776274630009,0.332986134404,255
bridgeable,r2_random,0.3,2,600,0.911666666667,0.888333333333,0.933375,0,0,0,1,1,1,151.2,147.68,154.56,0.040183544224,0,0.515062146361,0.695926115921,0.259064057043,547
bridgeable,r2_random,0.3,3,600,1,1,1,0,0,0,1,1,1,159.68,155.2,164.004,0.0399177392323,0,0.495966073619,,0.247983036809,600
bridgeable,r2_static,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_static,0.2,1,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_static,0.2,2,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_static,0.2,3,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_static,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_static,0.3,1,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_static,0.3,2,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_static,0.3,3,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_targeted,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_targeted,0.2,1,600,0.295,0.28,0.31,0,0,0,1,1,1,96,96,96,0.0348885858361,0,0.650789149342,0.760614952605,0.247168255626,177
bridgeable,r2_targeted,0.2,2,600,0.34,0.335,0.346666666667,0,0,0,1,1,1,163.68,162.4,165.12,0.0342956884958,0,0.588423916847,0.694648258246,0.219125596387,204
bridgeable,r2_targeted,0.2,3,600,0.665,0.661666666667,0.666666666667,0,0,0,1,1,1,227.04,225.6,228.64,0.0358185594205,0,0.43928979376,0.549893156025,0.20656206841,399
bridgeable,r2_targeted,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.11193588032,1.11193588032,0.552727324477,0
bridgeable,r2_targeted,0.3,1,600,0.771666666667,0.75,0.793375,0,0,0,1,1,1,96,96,96,0.0412514604742,0,0.50466210058,0.65890003139,0.247168255626,463
bridgeable,r2_targeted,0.3,2,600,1,1,1,0,0,0,1,1,1,117.92,115.84,120,0.0395823318622,0,0.473368151387,,0.236684075694,600
bridgeable,r2_targeted,0.3,3,600,1,1,1,0,0,0,1,1,1,117.92,115.84,120.16,0.0395823318622,0,0.473368151387,,0.236684075694,600
bridgeable,rinf_targeted,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.09816440256,1.09816440256,0.568140609159,0
bridgeable,rinf_targeted,0.2,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,0.678720485211,0.678720485211,0.310397098762,0
bridgeable,rinf_targeted,0.2,2,600,0,0,0,0,0,0,1,1,1,192,192,192,,,0.631768033326,0.631768033326,0.310358947791,0
bridgeable,rinf_targeted,0.2,3,600,0,0,0,0,0,0,1,1,1,288,288,288,,,0.601849363896,0.601849363896,0.310353332063,0
bridgeable,rinf_targeted,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,1.09816440256,1.09816440256,0.568140609159,0
bridgeable,rinf_targeted,0.3,1,600,0.345,0.338291666667,0.353333333333,0,0,0,1,1,1,96,96,96,0.0346105328601,0,0.658675588925,0.729397582511,0.310397098762,207
bridgeable,rinf_targeted,0.3,2,600,0.346666666667,0.338333333333,0.356666666667,0,0,0,1,1,1,158.88,157.92,159.68,0.0347879848984,0,0.625799240181,0.679417199446,0.310359506511,208
bridgeable,rinf_targeted,0.3,3,600,0.346666666667,0.338333333333,0.356666666667,0,0,0,1,1,1,221.6,219.84,223.2,0.0347879848984,0,0.604790868926,0.647261529157,0.310353891025,208
bridgeable,target_only,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,inf,inf,inf,0
bridgeable,target_only,0.2,1,600,0,0,0,0,0,0,0.998333333333,0.995,1,96,96,96,,,0.584119320161,0.584119320161,0.29205966008,0
bridgeable,target_only,0.2,2,600,0,0,0,0,0,0,0.998333333333,0.995,1,192,192,192,,,0.413034732308,0.413034732308,0.206517366154,0
bridgeable,target_only,0.2,3,600,1,1,1,0,0,0,0.998333333333,0.995,1,288,288,288,0.0481869228332,0,0.337241446734,,0.168620723367,600
bridgeable,target_only,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,inf,inf,inf,0
bridgeable,target_only,0.3,1,600,1,1,1,0.00166666666667,0,0.005,0.998333333333,0.995,1,96,96,96,0.0786586537089,0.00166666666667,0.584119320161,,0.29205966008,600
bridgeable,target_only,0.3,2,600,1,1,1,0.00166666666667,0,0.005,0.998333333333,0.995,1,96,96,96,0.0786586537089,0.00166666666667,0.584119320161,,0.29205966008,600
bridgeable,target_only,0.3,3,600,1,1,1,0.00166666666667,0,0.005,0.998333333333,0.995,1,96,96,96,0.0786586537089,0.00166666666667,0.584119320161,,0.29205966008,600
supported,r2_nearest,0.2,0,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
supported,r2_nearest,0.2,1,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
supported,r2_nearest,0.2,2,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
supported,r2_nearest,0.2,3,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
supported,r2_nearest,0.3,0,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
supported,r2_nearest,0.3,1,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
supported,r2_nearest,0.3,2,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
supported,r2_nearest,0.3,3,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
supported,r2_random,0.2,0,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
supported,r2_random,0.2,1,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
