surface,scenario,method,tolerance,test,failures,n,budget,p_value,familywise_alpha,violation_detected
linear,bridgeable,r2_nearest,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,r2_nearest,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,r2_random,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,r2_random,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,r2_static,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,r2_static,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,r2_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,r2_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,rinf_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,rinf_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,target_only,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,bridgeable,target_only,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,r2_nearest,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,r2_nearest,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,r2_random,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,r2_random,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,r2_static,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,r2_static,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,r2_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,r2_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,rinf_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,rinf_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,supported,target_only,0.2,path miscoverage,5,200,0.1,0.999991583605,8.54700854701e-05,False
linear,supported,target_only,0.3,path miscoverage,2,200,0.1,0.999999983617,8.54700854701e-05,False
linear,unreachable,r2_nearest,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,unreachable,r2_nearest,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,unreachable,r2_random,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,unreachable,r2_random,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,unreachable,r2_static,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,unreachable,r2_static,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,unreachable,r2_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,unreachable,r2_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,unreachable,rinf_targeted,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,unreachable,rinf_targeted,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
linear,unreachable,target_only,0.2,path miscoverage,1,200,0.1,0.999999999294,8.54700854701e-05,False
linear,unreachable,target_only,0.3,path miscoverage,1,200,0.1,0.999999999294,8.54700854701e-05,False
quadratic,bridgeable,r2_nearest,0.2,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
quadratic,bridgeable,r2_nearest,0.3,path miscoverage,0,200,0.1,1,8.54700854701e-05,False
