surface,replicate,target_effect_flip_invariant
constant,0,True
constant,1,True
constant,2,True
constant,3,True
constant,4,True
constant,5,True
constant,6,True
constant,7,True
constant,8,True
constant,9,True
constant,10,True
constant,11,True
constant,12,True
constant,13,True
constant,14,True
constant,15,True
constant,16,True
constant,17,True
constant,18,True
constant,19,True
constant,20,True
constant,21,True
constant,22,True
constant,23,True
constant,24,True
constant,25,True
constant,26,True
constant,27,True
constant,28,True
constant,29,True
constant,30,True
constant,31,True
constant,32,True
constant,33,True
constant,34,True
constant,35,True
constant,36,True
constant,37,True
constant,38,True
constant,39,True
constant,40,True
constant,41,True
constant,42,True
constant,43,True
constant,44,True
constant,45,True
constant,46,True
constant,47,True
constant,48,True
constant,49,True
constant,50,True
constant,51,True
constant,52,True
constant,53,True
constant,54,True
constant,55,True
constant,56,True
constant,57,True
constant,58,True
constant,59,True
constant,60,True
constant,61,True
constant,62,True
constant,63,True
constant,64,True
constant,65,True
constant,66,True
constant,67,True
constant,68,True
constant,69,True
constant,70,True
constant,71,True
constant,72,True
constant,73,True
constant,74,True
constant,75,True
constant,76,True
constant,77,True
constant,78,True
constant,79,True
constant,80,True
constant,81,True
constant,82,True
constant,83,True
constant,84,True
constant,85,True
constant,86,True
constant,87,True
constant,88,True
constant,89,True
constant,90,True
constant,91,True
constant,92,True
constant,93,True
constant,94,True
constant,95,True
constant,96,True
constant,97,True
constant,98,True
constant,99,True
smooth,0,True
smooth,1,True
smooth,2,True
smooth,3,True
smooth,4,True
smooth,5,True
smooth,6,True
smooth,7,True
smooth,8,True
smooth,9,True
smooth,10,True
smooth,11,True
smooth,12,True
smooth,13,True
smooth,14,True
smooth,15,True
smooth,16,True
smooth,17,True
smooth,18,True
smooth,19,True
smooth,20,True
smooth,21,True
smooth,22,True
smooth,23,True
smooth,24,True
smooth,25,True
smooth,26,True
smooth,27,True
smooth,28,True
smooth,29,True
smooth,30,True
smooth,31,True
smooth,32,True
smooth,33,True
smooth,34,True
smooth,35,True
smooth,36,True
smooth,37,True
smooth,38,True
smooth,39,True
smooth,40,True
smooth,41,True
smooth,42,True
smooth,43,True
smooth,44,True
smooth,45,True
smooth,46,True
smooth,47,True
smooth,48,True
smooth,49,True
smooth,50,True
smooth,51,True
smooth,52,True
smooth,53,True
smooth,54,True
smooth,55,True
smooth,56,True
smooth,57,True
smooth,58,True
smooth,59,True
smooth,60,True
smooth,61,True
smooth,62,True
smooth,63,True
smooth,64,True
smooth,65,True
smooth,66,True
smooth,67,True
smooth,68,True
smooth,69,True
smooth,70,True
smooth,71,True
smooth,72,True
smooth,73,True
smooth,74,True
smooth,75,True
smooth,76,True
smooth,77,True
smooth,78,True
smooth,79,True
smooth,80,True
smooth,81,True
smooth,82,True
smooth,83,True
smooth,84,True
smooth,85,True
smooth,86,True
smooth,87,True
smooth,88,True
smooth,89,True
smooth,90,True
smooth,91,True
smooth,92,True
smooth,93,True
smooth,94,True
smooth,95,True
smooth,96,True
smooth,97,True
smooth,98,True
smooth,99,True
interaction,0,True
interaction,1,True
interaction,2,True
interaction,3,True
interaction,4,True
interaction,5,True
interaction,6,True
interaction,7,True
interaction,8,True
interaction,9,True
interaction,10,True
interaction,11,True
interaction,12,True
interaction,13,True
interaction,14,True
interaction,15,True
interaction,16,True
interaction,17,True
interaction,18,True
interaction,19,True
interaction,20,True
interaction,21,True
interaction,22,True
interaction,23,True
interaction,24,True
interaction,25,True
interaction,26,True
interaction,27,True
interaction,28,True
interaction,29,True
interaction,30,True
interaction,31,True
interaction,32,True
interaction,33,True
interaction,34,True
interaction,35,True
interaction,36,True
interaction,37,True
interaction,38,True
interaction,39,True
interaction,40,True
interaction,41,True
interaction,42,True
interaction,43,True
interaction,44,True
interaction,45,True
interaction,46,True
interaction,47,True
interaction,48,True
interaction,49,True
interaction,50,True
interaction,51,True
interaction,52,True
interaction,53,True
interaction,54,True
interaction,55,True
interaction,56,True
interaction,57,True
interaction,58,True
interaction,59,True
interaction,60,True
interaction,61,True
interaction,62,True
interaction,63,True
interaction,64,True
interaction,65,True
interaction,66,True
interaction,67,True
interaction,68,True
interaction,69,True
interaction,70,True
interaction,71,True
interaction,72,True
interaction,73,True
interaction,74,True
interaction,75,True
interaction,76,True
interaction,77,True
interaction,78,True
interaction,79,True
interaction,80,True
interaction,81,True
interaction,82,True
interaction,83,True
interaction,84,True
interaction,85,True
interaction,86,True
interaction,87,True
interaction,88,True
interaction,89,True
interaction,90,True
interaction,91,True
interaction,92,True
interaction,93,True
interaction,94,True
interaction,95,True
interaction,96,True
interaction,97,True
interaction,98,True
interaction,99,True
