split,entity,entity_unit_ids,proxy_unit_ids,n_treated,n_control,max_coordinate_error,truth_type,outcomes_read
calibration,calibration-00,302;383;229;328;85;181;130;166,383;229;181;166,4,4,0.9880177049783345,observed_pretreatment_covariate_group_mean,False
calibration,calibration-01,258;213;265;282;184;131;15;176,282;265;15;184,4,4,0.789392692381182,observed_pretreatment_covariate_group_mean,False
calibration,calibration-02,335;247;390;379;83;31;161;78,335;247;161;78,4,4,0.4441036645917781,observed_pretreatment_covariate_group_mean,False
calibration,calibration-03,264;389;336;408;183;129;134;97,264;389;183;134,4,4,0.6710863869033716,observed_pretreatment_covariate_group_mean,False
calibration,calibration-04,394;374;387;248;12;86;23;106,374;394;12;86,4,4,0.6341849601855056,observed_pretreatment_covariate_group_mean,False
calibration,calibration-05,278;253;243;433;50;59;84;75,433;243;75;84,4,4,0.3649117093501938,observed_pretreatment_covariate_group_mean,False
calibration,calibration-06,369;198;347;254;74;139;92;107,347;198;92;74,4,4,0.666155496887667,observed_pretreatment_covariate_group_mean,False
calibration,calibration-07,274;322;296;412;118;136;179;150,412;296;150;179,4,4,0.504483399547521,observed_pretreatment_covariate_group_mean,False
calibration,calibration-08,381;403;362;208;110;56;19;120,403;208;110;56,4,4,0.9040411486489255,observed_pretreatment_covariate_group_mean,False
calibration,calibration-09,337;206;440;356;13;41;146;143,337;206;41;146,4,4,0.9088585945606915,observed_pretreatment_covariate_group_mean,False
calibration,calibration-10,220;338;444;293;60;109;64;151,338;444;151;109,4,4,1.0585624829534663,observed_pretreatment_covariate_group_mean,False
calibration,calibration-11,373;316;284;332;45;170;11;14,316;284;170;11,4,4,0.6026940990992837,observed_pretreatment_covariate_group_mean,False
calibration,calibration-12,255;404;227;259;155;121;18;58,255;227;121;155,4,4,0.6573506984483203,observed_pretreatment_covariate_group_mean,False
calibration,calibration-13,191;343;367;411;169;71;178;38,411;367;38;71,4,4,1.0664149954721678,observed_pretreatment_covariate_group_mean,False
validation,validation-00,221;313;251;303;72;70;87;103,251;303;72;103,4,4,0.394696346190591,observed_pretreatment_covariate_group_mean,False
validation,validation-01,344;380;275;289;54;76;73;35,275;380;54;76,4,4,0.6573506984483203,observed_pretreatment_covariate_group_mean,False
validation,validation-02,432;285;246;406;101;156;10;39,406;246;101;10,4,4,0.394696346190591,observed_pretreatment_covariate_group_mean,False
validation,validation-03,393;419;217;395;98;36;93;126,217;395;36;126,4,4,0.5181209420237409,observed_pretreatment_covariate_group_mean,False
validation,validation-04,287;314;413;353;115;137;69;52,413;353;115;52,4,4,0.32867534922416014,observed_pretreatment_covariate_group_mean,False
validation,validation-05,349;400;230;414;132;63;25;125,349;400;63;25,4,4,0.394696346190591,observed_pretreatment_covariate_group_mean,False
validation,validation-06,215;186;237;409;57;77;3;111,409;186;77;111,4,4,0.6880096744981725,observed_pretreatment_covariate_group_mean,False
validation,validation-07,214;199;257;223;104;168;99;171,199;223;168;104,4,4,0.6026940990992836,observed_pretreatment_covariate_group_mean,False
validation,validation-08,300;280;218;249;89;145;165;51,218;280;165;89,4,4,0.6573506984483203,observed_pretreatment_covariate_group_mean,False
validation,validation-09,402;431;238;421;34;174;160;128,238;402;128;174,4,4,1.081247229696522,observed_pretreatment_covariate_group_mean,False
validation,validation-10,268;298;329;371;88;148;6;47,371;329;88;6,4,4,0.9040411486489256,observed_pretreatment_covariate_group_mean,False
validation,validation-11,239;415;190;209;96;79;158;116,190;209;79;158,4,4,0.30134704954964175,observed_pretreatment_covariate_group_mean,False
validation,validation-12,318;355;428;365;80;140;124;154,365;428;124;140,4,4,1.336214350629326,observed_pretreatment_covariate_group_mean,False
