surface,method,target_evaluations,replicates,mae,mae_mcse,release_rate,interval_evaluations,causal_truth_coverage,mean_interval_width,target_outcomes_used_for_prediction,truth_scope
constant,atlas,600,100,3.0007284090147226,0.05783099169098371,0.0,600,1.0,13.942195698967469,False,semisynthetic_exact_finite_population_truth
constant,atlas_no_rejection,600,100,3.0007284090147226,0.05783099169098371,1.0,600,1.0,12.688190237668874,False,semisynthetic_exact_finite_population_truth
constant,full_nearest,600,100,2.2315314446080214,0.06058645513576964,1.0,0,,,False,semisynthetic_exact_finite_population_truth
constant,ivw_meta,600,100,4.428683388850056,0.062816591552654,1.0,0,,,False,semisynthetic_exact_finite_population_truth
constant,random_effects_meta,600,100,4.428683388850056,0.062816591552654,1.0,0,,,False,semisynthetic_exact_finite_population_truth
constant,rbf_kernel_ridge,600,100,3.1260620944422346,0.062347710235741746,1.0,0,,,False,semisynthetic_exact_finite_population_truth
constant,ridge_meta_regression,600,100,3.2675563656294226,0.0650619030885383,1.0,0,,,False,semisynthetic_exact_finite_population_truth
constant,semantic_forced,600,100,4.443831773998842,0.06385327548580032,1.0,600,0.015,5.7589469063437555,False,semisynthetic_exact_finite_population_truth
constant,unit_ridge_t_learner,600,100,0.5084625245201955,0.02816127767435826,1.0,0,,,False,semisynthetic_exact_finite_population_truth
interaction,atlas,600,100,2.7044448204748823,0.06213778684242689,0.0,600,1.0,13.869287153025738,False,semisynthetic_exact_finite_population_truth
interaction,atlas_no_rejection,600,100,2.7044448204748823,0.06213778684242689,1.0,600,1.0,12.615159123895083,False,semisynthetic_exact_finite_population_truth
interaction,full_nearest,600,100,1.9176764016661803,0.05327666614826036,1.0,0,,,False,semisynthetic_exact_finite_population_truth
interaction,ivw_meta,600,100,4.027478942023146,0.06918899256679514,1.0,0,,,False,semisynthetic_exact_finite_population_truth
interaction,random_effects_meta,600,100,4.027478942023146,0.06918899256679514,1.0,0,,,False,semisynthetic_exact_finite_population_truth
interaction,rbf_kernel_ridge,600,100,2.761682272694497,0.06704612215534154,1.0,0,,,False,semisynthetic_exact_finite_population_truth
interaction,ridge_meta_regression,600,100,2.945057556454534,0.07437459815277198,1.0,0,,,False,semisynthetic_exact_finite_population_truth
interaction,semantic_forced,600,100,3.935324706285962,0.07200907252421837,1.0,600,0.09333333333333334,5.73068014083919,False,semisynthetic_exact_finite_population_truth
interaction,unit_ridge_t_learner,600,100,0.44278264262779393,0.02170283716325526,1.0,0,,,False,semisynthetic_exact_finite_population_truth
smooth,atlas,600,100,2.7664165146579536,0.05416955503123687,0.0,600,1.0,13.963262221648414,False,semisynthetic_exact_finite_population_truth
smooth,atlas_no_rejection,600,100,2.7664165146579536,0.05416955503123687,1.0,600,1.0,12.70920618708709,False,semisynthetic_exact_finite_population_truth
smooth,full_nearest,600,100,1.9477253681004094,0.052408633980992624,1.0,0,,,False,semisynthetic_exact_finite_population_truth
smooth,ivw_meta,600,100,4.139285748259427,0.06537774827420274,1.0,0,,,False,semisynthetic_exact_finite_population_truth
smooth,random_effects_meta,600,100,4.139285748259427,0.06537774827420274,1.0,0,,,False,semisynthetic_exact_finite_population_truth
smooth,rbf_kernel_ridge,600,100,2.8432242203696223,0.057867251390648876,1.0,0,,,False,semisynthetic_exact_finite_population_truth
smooth,ridge_meta_regression,600,100,2.9899902060500168,0.06151621436418261,1.0,0,,,False,semisynthetic_exact_finite_population_truth
smooth,semantic_forced,600,100,4.076273778468119,0.06792922701598123,1.0,600,0.041666666666666664,5.756551189238092,False,semisynthetic_exact_finite_population_truth
smooth,unit_ridge_t_learner,600,100,0.3639764033399764,0.01822449572004297,1.0,0,,,False,semisynthetic_exact_finite_population_truth
