study_id,archive_path,rows,columns,selection_rank,variable,variable_label,value_label_count
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,0,Treatment,Treatment,0
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,1,BTreatment,Treatment Assignment,0
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,2,Q9_4_soldloan_none,Did not sell an asset to help pay for a loan,0
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,3,Q13_jobincome,Household income from salaried and non-salaried jobs last month,0
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,4,Q21_anyloan,Any loan,0
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,5,BE_Q21_anyloan,,0
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,6,BE_Q21_anyloan_mdum,,0
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,7,foodconsump,Amount spent on food,0
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,8,BE_foodconsump,,0
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,9,BE_foodconsump_mdum,,0
angelucci_2015,data/microcredit-rct-data/angelucci_et_al_2015.dta,21523,124,10,business_before,Prior business owner,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,0,treatment,Soum belongs to treatment,3
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,1,followup,baseline or followup?,2
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,2,treated,Was household treated? (followup*treatment),2
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,3,repayme7,Hh had to repay loans plus interest in the last month,2
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,4,repayme8,Value of expenditure on repayment and interests in the last month,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,5,repayme10,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,6,repayme9,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,7,repayme_cm,Value of total consumption of repayme in past month,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,8,repayme_ckm,Value of consumption-in-kind of repayme in past month,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,9,profit_r,aggregated profit,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,10,profit_p,aggregated profit,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,11,profit_j,aggregated profit,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,12,profit,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,13,hhincome,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,14,repayme70,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,15,repayme80,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,16,repayme100,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,17,repayme90,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,18,repayme_cm0,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,19,repayme_ckm0,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,20,profit_r0,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,21,profit_p0,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,22,profit_j0,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,23,profit0,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,24,hhincome0,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,25,loan_baseline,Household has any outstanding loans,2
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,26,nloans_soum,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,27,treated_g,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,28,treated_i,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,29,nloans_g,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,30,nloans_i,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,31,treatg_eduhi,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,32,treatg_eduvoc,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,33,treati_eduhi,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,34,treati_eduvoc,,0
attanasio_2015,data/microcredit-rct-data/attanasio-et-al-2015/Analysis-files/data/attanasio_processed_for_rm_analysis.dta,2109,2062,35,treatgloan,,0
