source,events_cheap,n_cheap,events_expensive,n_expensive,p_cheap,p_expensive,effect_rd,variance_rd,se_rd,ci_low,ci_high,n_total,Country,Language,Weird,Setting,context
armstrong,15,41,10,43,0.36585365853658536,0.23255813953488372,0.13329551900170164,0.010049520197536601,0.10024729521307096,-0.06318556916347201,0.3297766071668753,84,USA,English,1,In a lab,WEIRD
aus2,56,85,57,94,0.6588235294117647,0.6063829787234043,0.0524405506883604,0.005242374121783064,0.07240424104831887,-0.0894691540943012,0.194350255471022,179,United Arab Emirates,English,0,In a lab,non-WEIRD
badaniaon,9,16,13,27,0.5625,0.48148148148148145,0.08101851851851855,0.026008444787379972,0.1612713390140355,-0.23506749768754037,0.39710453472457746,43,Poland,Polish,1,Online (at home),WEIRD
bogota,27,47,19,55,0.574468085106383,0.34545454545454546,0.22901353965183757,0.00950155617805208,0.09747592614616227,0.03796423504567334,0.4200628442580018,102,Colombia,Spanish,0,In a lab,non-WEIRD
brookcuny,42,82,31,99,0.5121951219512195,0.31313131313131315,0.19906380881990637,0.005279278526752845,0.07265864385434706,0.05665548369986359,0.34147213393994913,181,USA,English,1,Online (at home),WEIRD
carleton,29,58,14,63,0.5,0.2222222222222222,0.2777777777777778,0.007173698882810371,0.08469769113033938,0.11177335358861501,0.44378220196694057,121,Canada,English,1,Online (at home),WEIRD
cas,18,23,13,25,0.782608695652174,0.52,0.26260869565217393,0.018133287506444405,0.13465989568703968,-0.001319850056344385,0.5265372413606922,48,China,Chinese (simplified),0,In a lab,non-WEIRD
csunorthonline,24,45,11,43,0.5333333333333333,0.2558139534883721,0.2775193798449612,0.01018926029201854,0.10094186590319469,0.07967695814242792,0.4753618015474945,88,USA,English,1,Online (at home),WEIRD
fmkbelgrade,35,53,29,51,0.660377358490566,0.5686274509803921,0.09174990751017387,0.009218865130276917,0.09601492139390064,-0.0964358804003157,0.27993569542066343,104,Serbia,Serbian,0,In a lab,non-WEIRD
georgefox,33,78,14,62,0.4230769230769231,0.22580645161290322,0.19727047146401985,0.0060357741967640224,0.07769024518409003,0.04500038895311703,0.3495405539749227,140,USA,English,1,Online (at home),WEIRD
grazvienna,23,48,17,54,0.4791666666666667,0.3148148148148148,0.16435185185185186,0.009379847268410447,0.09684961160691584,-0.02546989881439557,0.35417360251809926,102,Austria,German,1,Online (at home),WEIRD
hawaiion,33,65,22,56,0.5076923076923077,0.39285714285714285,0.11483516483516482,0.008242060137664535,0.09078579259809617,-0.0631017189650267,0.29277204863535633,121,USA,English,1,Online (at home),WEIRD
help,36,41,28,49,0.8780487804878049,0.5714285714285714,0.3066202090592335,0.007779018805618618,0.08819874605468389,0.13375384331045886,0.4794865748080081,90,Malaysia,English,0,In a lab,non-WEIRD
jmu,16,34,12,50,0.47058823529411764,0.24,0.23058823529411765,0.011271992861315649,0.10616964190066598,0.022499560917297684,0.43867690967093764,84,USA,English,1,Online (at home),WEIRD
jos,48,57,28,35,0.8421052631578947,0.8,0.042105263157894646,0.007080239297935241,0.08414415783603305,-0.1228142557101839,0.2070247820259732,92,Nigeria,English,0,In a lab,non-WEIRD
kenyon,15,50,12,56,0.3,0.21428571428571427,0.08571428571428572,0.007346938775510204,0.08571428571428572,-0.08228262724629035,0.2537111986748618,106,USA,English,1,In a lab,WEIRD
krakowon,44,50,31,49,0.88,0.6326530612244898,0.24734693877551017,0.006996834652228237,0.08364708394336431,0.08340166683471747,0.41129221071630284,99,Poland,Polish,1,Online (at home),WEIRD
kwazulu,35,43,21,34,0.813953488372093,0.6176470588235294,0.1963064295485636,0.010761891022145793,0.10373953451864816,-0.007019321880936541,0.39963218097806374,77,South Africa,English,0,In a lab,non-WEIRD
louvain,29,54,20,46,0.5370370370370371,0.43478260869565216,0.10225442834138493,0.01015213680256831,0.100757812613059,-0.09522725554124628,0.29973611222401614,100,Belgium,French,1,In a lab,WEIRD
loyola,73,149,52,144,0.4899328859060403,0.3611111111111111,0.12882177479492918,0.003301860193629333,0.05746181509167051,0.01619868672895483,0.24144486286090353,293,USA,English,1,In a lab,WEIRD
lse,28,57,20,55,0.49122807017543857,0.36363636363636365,0.12759170653907492,0.00874818867767747,0.09353175224316858,-0.05572715926845889,0.31091057234660874,112,UK,English,1,In a lab,WEIRD
mcdanielonline,37,86,20,73,0.43023255813953487,0.273972602739726,0.15625995539980886,0.005646573141422907,0.07514368331019519,0.008981042446142729,0.303538868353475,159,USA,English,1,Online (at home),WEIRD
metu,20,56,17,69,0.35714285714285715,0.2463768115942029,0.11076604554865424,0.006904915830111618,0.08309582318090132,-0.052098775151620896,0.2736308662489294,125,Turkey,Turkish,0,Online (at home),non-WEIRD
