hidden_shift,recorded_descriptor_distance,inside_declared_uncertainty_set,semantic_coverage,semantic_mc95_low,semantic_mc95_high,robust_certificate_coverage,robust_mc95_low,robust_mc95_high,sampling_radius,operational_radius,lipschitz_constant,uncertainty_radius,source_standard_error,replications,seed
0.0,0.0,1,0.9488,0.9456582843028243,0.9517693441332162,1.0,0.9998079639438954,0.9999999999999999,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.02,0.0,1,0.94515,0.9419081342249932,0.948220896074257,1.0,0.9998079639438954,0.9999999999999999,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.04,0.0,1,0.93295,0.9293999294961303,0.9363337864828886,1.0,0.9998079639438954,0.9999999999999999,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.06,0.0,1,0.91025,0.9062095786164995,0.9141328557994667,1.0,0.9998079639438954,0.9999999999999999,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.08,0.0,1,0.87785,0.8732390284602338,0.8823158498921679,1.0,0.9998079639438954,0.9999999999999999,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.1,0.0,1,0.83195,0.8267043166868867,0.8370681905754654,1.0,0.9998079639438954,0.9999999999999999,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.12,0.0,1,0.77825,0.772439496430901,0.7839536355038766,1.0,0.9998079639438954,0.9999999999999999,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.14,0.0,1,0.71435,0.7080488502773097,0.7205688238654384,0.9999,0.9996354263863794,0.9999725759647273,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.16,0.0,1,0.6444,0.6377386005684669,0.6510059394185301,0.99945,0.9990153237654903,0.9996928514180666,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.18,0.0,1,0.567,0.5601207568311813,0.5738535103373005,0.99885,0.9982748651476752,0.9992335404791493,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.2,0.0,1,0.4875,0.480575711908941,0.49442908899246163,0.998,0.9972779078878247,0.998530824200295,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.22,0.0,1,0.40805,0.401256952987225,0.4148783624434927,0.99685,0.995972211169275,0.9975369626017738,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.24,0.0,1,0.3333,0.3267995113595416,0.3398645134615637,0.9945,0.9933757631987415,0.995434313141771,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.26,0.0,1,0.26375,0.2576885886883502,0.2699021483481592,0.9903,0.9888443946535185,0.9915672947898652,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.28,0.0,1,0.2035,0.19797751808743938,0.2091363592938306,0.9839,0.9820604661477883,0.9855536813571135,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.3,0.0,1,0.151,0.14610483133737268,0.1560292098297883,0.97415,0.971858014471988,0.9762598777360078,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.32,0.0,0,0.1103,0.10603307994695943,0.1147165929551685,0.9605,0.9577108970562266,0.9631122377361011,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.34,0.0,0,0.07885,0.07519528582330387,0.08266646614675305,0.942,0.9386748598012777,0.9451553803251256,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.36,0.0,0,0.05355,0.05051480544745436,0.05675666354704147,0.91545,0.9115140281457096,0.919226409095273,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.38,0.0,0,0.0344,0.031962202648115556,0.037016621327329066,0.8807,0.8761344432044741,0.8851193405424079,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.4,0.0,0,0.02125,0.01934131176698183,0.023342562756738346,0.8335,0.8282731627950256,0.8385987491555525,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.42,0.0,0,0.01215,0.010722610801352487,0.013764758778588794,0.7791,0.7732972384046618,0.7847955670688206,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.44,0.0,0,0.0072,0.006119194894512654,0.008470075842384066,0.71475,0.7084514061897036,0.7209661143241994,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.46,0.0,0,0.00425,0.003438698712023277,0.005251705037604458,0.6446,0.6379393986705493,0.6512050645020251,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.48,0.0,0,0.00205,0.0015115810586180745,0.0027796676496565226,0.56705,0.5601708409384278,0.5739034070264486,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
0.5,0.0,0,0.00115,0.0007664595208507284,0.0017251348523248564,0.48755,0.48062568501758673,0.4944790966802103,0.1959963984540054,0.4959963984540054,1.0,0.3,0.1,20000,2026091601
