instance,dimension,candidate_count,budget,exhaustive_subset_count,optimal_information_gain,greedy_information_gain,greedy_to_optimal_ratio,random_mean_information_gain,random_mean_to_optimal_ratio,random_q10_to_optimal_ratio,random_q90_to_optimal_ratio,greedy_subset,optimal_subset,random_subsets_per_instance,seed
0,6,12,4,495,5.3696593776558075,5.3696593776558075,1.0,3.8692203146025204,0.7205709044977965,0.5826932427770972,0.8678991510100079,0 2 8 10,0 2 8 10,250,2026091604
1,6,12,4,495,4.743167717910255,4.743167717910256,1.0000000000000002,3.2137632745320834,0.6775563222014851,0.5270998040750735,0.8290447262476255,0 1 3 10,0 1 3 10,250,2026091604
2,6,12,4,495,5.359947688381651,5.359947688381651,1.0,3.4842374004079955,0.6500506353747649,0.49818366857073043,0.8174284711583731,3 7 9 11,3 7 9 11,250,2026091604
3,6,12,4,495,4.216028415435597,4.216028415435597,1.0,2.598274389946102,0.616284838222005,0.4688432407503537,0.8060663803116873,4 7 10 11,4 7 10 11,250,2026091604
4,6,12,4,495,4.355162606250863,4.355162606250862,0.9999999999999998,2.665039055770354,0.6119264185326366,0.44641530724751294,0.8162367863739369,7 9 10 11,7 9 10 11,250,2026091604
5,6,12,4,495,4.282683237148268,4.282683237148268,1.0,3.160495539341897,0.7379708851515229,0.6074263535361764,0.8713536744614153,4 8 9 11,4 8 9 11,250,2026091604
6,6,12,4,495,4.537234753696375,4.537234753696376,1.0000000000000002,3.103515129445749,0.6840102612978952,0.5295190415536203,0.8179623792219868,2 3 7 11,2 3 7 11,250,2026091604
7,6,12,4,495,3.6677065088431386,3.6677065088431386,1.0,2.8663016947926243,0.781497016700147,0.6637671161238891,0.8868383964903387,1 2 7 8,1 2 7 8,250,2026091604
8,6,12,4,495,4.221736622881865,4.221736622881865,1.0,3.5227330733093076,0.8344274851766097,0.7235458911037731,0.9345182294647338,0 2 3 10,0 2 3 10,250,2026091604
9,6,12,4,495,3.3649226964876693,3.3649226964876693,1.0,2.373255829749181,0.7052928235844474,0.5272314432580282,0.8644691676103491,0 5 7 8,0 5 7 8,250,2026091604
10,6,12,4,495,4.8119998653182074,4.8119998653182074,1.0,3.351433012141739,0.6964740452917938,0.5398025342716652,0.8591747426831178,1 4 10 11,1 4 10 11,250,2026091604
11,6,12,4,495,5.240709793327499,5.21224011652821,0.9945675914290204,3.6364377829450167,0.6938826850467755,0.5323050921491975,0.8481006220164959,0 3 8 10,3 4 8 10,250,2026091604
12,6,12,4,495,3.796154465674594,3.796154465674594,1.0,2.755258548093235,0.7258025385970729,0.6113559589110569,0.8515612328620383,1 7 8 9,1 7 8 9,250,2026091604
13,6,12,4,495,3.9786365872097607,3.9786365872097598,0.9999999999999998,2.623326558897604,0.6593531480937185,0.49151099047866814,0.8409724960349767,2 5 8 9,2 5 8 9,250,2026091604
14,6,12,4,495,5.2929569490946475,5.2929569490946475,1.0,3.8776264843499426,0.7326011757970571,0.6057587287930446,0.8733967225009672,0 1 2 9,0 1 2 9,250,2026091604
15,6,12,4,495,4.192882379416945,4.192882379416945,1.0,3.0683229011222304,0.7317932208603729,0.5896388877087237,0.8820900752277014,5 6 8 10,5 6 8 10,250,2026091604
16,6,12,4,495,3.8672437766106396,3.867243776610639,0.9999999999999999,2.9818124831318773,0.7710433206114617,0.6577147311473487,0.8990046856016155,1 5 9 10,1 5 9 10,250,2026091604
17,6,12,4,495,4.65167469057557,4.65167469057557,1.0,3.349337693451091,0.7200283588697526,0.5924007107932435,0.8490289697068606,5 6 8 11,5 6 8 11,250,2026091604
18,6,12,4,495,3.876557441572243,3.672712820713289,0.9474160711065643,2.8177914343383517,0.7268798352167639,0.5818639756740513,0.8687053299437514,2 6 8 10,0 1 6 10,250,2026091604
19,6,12,4,495,4.342365450477507,4.337914385337906,0.9989749676321896,2.9739344827722745,0.6848650848687198,0.5085578020615412,0.8427389579572635,3 5 6 9,2 3 6 9,250,2026091604
20,6,12,4,495,3.8953199170607977,3.7728131860434697,0.9685502773518625,2.8187643550511083,0.7236284605804597,0.5957928315743904,0.849878323085966,0 4 5 11,0 2 5 11,250,2026091604
21,6,12,4,495,5.357020802566553,5.357020802566553,1.0,3.445139948689475,0.6431074426739031,0.49922734804341773,0.8045165139131977,0 1 4 6,0 1 4 6,250,2026091604
22,6,12,4,495,4.06646139113731,4.06646139113731,1.0,2.988838424725231,0.7349973692703156,0.6196082579867658,0.8556081402887523,1 2 4 5,1 2 4 5,250,2026091604
23,6,12,4,495,4.145432761137649,4.14543276113765,1.0000000000000002,3.3268597164371014,0.802536166459035,0.709443809124907,0.9147057364970911,0 2 6 8,0 2 6 8,250,2026091604
24,6,12,4,495,3.061603798319105,3.061603798319105,1.0,2.008124643681691,0.6559061119483195,0.5079610094662201,0.801162716516431,0 4 9 11,0 4 9 11,250,2026091604
25,6,12,4,495,4.055486917760578,4.055486917760578,1.0,3.1654029868329747,0.7805235354034619,0.6768719830278406,0.8925686409713351,4 5 9 11,4 5 9 11,250,2026091604
26,6,12,4,495,4.834551365217037,4.834551365217037,1.0,3.649746507485735,0.7549297197966346,0.6217333276337551,0.8709927670086073,1 5 8 9,1 5 8 9,250,2026091604
27,6,12,4,495,4.1751875348454295,4.17518753484543,1.0000000000000002,2.762125765992857,0.6615572936402518,0.49131679580664084,0.8214570386593576,1 2 3 10,1 2 3 10,250,2026091604
28,6,12,4,495,3.0481182341177204,3.0481182341177204,1.0,1.8641554254184804,0.6115758255545691,0.47562292735831213,0.7646355168888388,4 6 10 11,4 6 10 11,250,2026091604
29,6,12,4,495,3.2757003994920835,3.2757003994920835,1.0,2.223220022996038,0.6787006599690135,0.5249938910038827,0.8316365653906157,1 2 8 10,1 2 8 10,250,2026091604
30,6,12,4,495,4.258837209224564,4.2588372092245645,1.0000000000000002,3.1912975156904477,0.7493354075093914,0.6239290937858628,0.8779152372157359,2 5 6 11,2 5 6 11,250,2026091604
31,6,12,4,495,4.846942875015742,4.846942875015742,1.0,3.351825435681523,0.6915339260462476,0.5309782023054344,0.8625298002495938,0 6 7 8,0 6 7 8,250,2026091604
32,6,12,4,495,4.609309190614929,4.609309190614929,1.0,3.342438010279795,0.725149446924796,0.6158305479477626,0.8557827786126858,0 2 8 11,0 2 8 11,250,2026091604
33,6,12,4,495,3.7576309172046987,3.7576309172046987,1.0,2.696538468185992,0.7176166386750794,0.5583100984973081,0.8712626259408799,6 8 9 10,6 8 9 10,250,2026091604
34,6,12,4,495,4.479276529075777,4.479276529075777,1.0,3.030315938053024,0.6765190580181213,0.5275177737522849,0.8372807741475987,0 1 5 6,0 1 5 6,250,2026091604
35,6,12,4,495,4.323357919176912,4.323357919176913,1.0000000000000002,3.1334802113288,0.7247792734045384,0.6113288675423065,0.8646323110704295,3 5 7 10,3 5 7 10,250,2026091604
36,6,12,4,495,3.9504281277663233,3.882241809922678,0.9827395118609081,3.1151995156449312,0.7885726343808583,0.6361693546055028,0.9183895800025516,1 2 9 10,0 6 9 10,250,2026091604
37,6,12,4,495,3.1506182009513912,3.1506182009513912,1.0,2.3357312126457703,0.7413564778939099,0.595581876310932,0.8917163157608495,2 3 4 8,2 3 4 8,250,2026091604
38,6,12,4,495,4.454613310961705,4.454613310961704,0.9999999999999996,2.98651249437846,0.6704313676406858,0.5227874274181296,0.8485348518755121,0 3 4 6,0 3 4 6,250,2026091604
39,6,12,4,495,4.536334811031691,4.536334811031692,1.0000000000000002,3.3173640657258017,0.7312873065847049,0.6061966810524663,0.8752479540923406,2 3 8 10,2 3 8 10,250,2026091604
40,6,12,4,495,5.019976358353528,5.01165421729168,0.99834219516831,3.493016004926737,0.6958231982734655,0.555410888844807,0.8419508457425934,4 5 9 11,3 4 9 11,250,2026091604
41,6,12,4,495,5.595014577208254,5.595014577208254,1.0,4.119021279170329,0.7361949146566119,0.6249963741725005,0.8457839175389011,2 3 9 10,2 3 9 10,250,2026091604
42,6,12,4,495,4.481793521436418,4.481793521436417,0.9999999999999998,3.1241191217716597,0.6970689539419873,0.5584906673842721,0.8433696015349157,1 2 3 9,1 2 3 9,250,2026091604
43,6,12,4,495,5.038374479488945,5.038374479488944,0.9999999999999998,3.115252529949677,0.6183050788764842,0.45701620125737447,0.7880924986061941,0 1 7 9,0 1 7 9,250,2026091604
44,6,12,4,495,4.632140700532236,4.632140700532236,1.0,3.341624109357157,0.7213995267832002,0.5866855355473581,0.8558848460477619,4 8 9 10,4 8 9 10,250,2026091604
45,6,12,4,495,5.044465435917907,5.044465435917908,1.0000000000000002,3.757981423304528,0.7449711909108787,0.6152998899760128,0.8716622126054288,0 4 9 10,0 4 9 10,250,2026091604
46,6,12,4,495,4.6522200548931405,4.6522200548931405,1.0,3.1037939050265595,0.6671640353215951,0.5121739646150462,0.8296978236824069,5 6 10 11,5 6 10 11,250,2026091604
47,6,12,4,495,4.211660890811099,4.211660890811099,1.0,3.09098370849959,0.7339108699951187,0.6221236633408559,0.8610640896440016,1 7 8 9,1 7 8 9,250,2026091604
48,6,12,4,495,5.651215869048564,5.651215869048564,1.0,3.523622274539121,0.6235157807079765,0.42881009790952274,0.7946271529429935,3 7 10 11,3 7 10 11,250,2026091604
49,6,12,4,495,4.643226906343418,4.6432269063434175,0.9999999999999998,3.1879480900739265,0.6865802930540957,0.5343591798813655,0.8375052429832297,1 3 7 8,1 3 7 8,250,2026091604
50,6,12,4,495,4.532688628873853,4.532688628873853,1.0,3.331824033732133,0.7350657207088864,0.613909342008932,0.8701549755947209,0 4 9 11,0 4 9 11,250,2026091604
51,6,12,4,495,4.6497205170629385,4.6497205170629385,1.0,3.544731453630463,0.7623536598861091,0.6370815974016674,0.8899353556210102,3 5 6 11,3 5 6 11,250,2026091604
52,6,12,4,495,4.421689135404987,4.421689135404987,1.0,3.61765284345252,0.8181608278351243,0.7313702966639365,0.9017504146399657,3 7 8 11,3 7 8 11,250,2026091604
53,6,12,4,495,4.169817226308471,4.169817226308471,1.0,2.9941542403120884,0.7180540723514652,0.5699181652252853,0.8817837048516243,4 6 9 10,4 6 9 10,250,2026091604
54,6,12,4,495,4.008026914972647,4.008026914972646,0.9999999999999998,2.9396670796906195,0.7334449448702571,0.612326148416816,0.8645919598096669,1 7 8 11,1 7 8 11,250,2026091604
55,6,12,4,495,4.309787718430765,4.309787718430764,0.9999999999999998,2.766458678558217,0.6419013787448239,0.4881587425151631,0.8014126050308484,1 3 5 10,1 3 5 10,250,2026091604
56,6,12,4,495,5.402259222168897,5.402259222168897,1.0,3.3816386891928345,0.6259674980637406,0.46260048111125335,0.7995629445668853,1 5 7 11,1 5 7 11,250,2026091604
57,6,12,4,495,4.970764916628436,4.970764916628437,1.0000000000000002,3.235574155009568,0.6509207756306828,0.47694716934005515,0.8350810760806976,2 5 6 10,2 5 6 10,250,2026091604
58,6,12,4,495,4.388986274965622,4.388986274965622,1.0,3.0794569091480533,0.7016328409849434,0.5744036670602171,0.8393406126961198,1 4 6 10,1 4 6 10,250,2026091604
59,6,12,4,495,4.775099752099387,4.775099752099387,1.0,3.0246535672112578,0.6334220695350834,0.49173046050398395,0.7783182256129589,1 4 9 10,1 4 9 10,250,2026091604
60,6,12,4,495,4.821666862103413,4.821666862103413,1.0,3.492860418998977,0.7244093212767598,0.5852505629126801,0.8543543063634371,4 5 6 11,4 5 6 11,250,2026091604
61,6,12,4,495,5.4631005778971184,5.463100577897119,1.0000000000000002,3.7786953832938224,0.6916759685117009,0.5609505524209215,0.8293486233606377,1 3 6 10,1 3 6 10,250,2026091604
62,6,12,4,495,4.085901226333946,4.085901226333946,1.0,2.977712188469452,0.7287773305134909,0.5930108048729587,0.8803918508516745,5 7 8 9,5 7 8 9,250,2026091604
63,6,12,4,495,4.1945110589445465,4.141648876690137,0.9873972957726065,3.19298062306338,0.7612283239197898,0.6265813657657969,0.8739751824636481,5 7 8 11,4 7 8 11,250,2026091604
64,6,12,4,495,4.450747277578842,4.4507472775788415,0.9999999999999998,2.9763150157316325,0.6687225380612299,0.5324922712132416,0.8138821735710989,0 5 9 10,0 5 9 10,250,2026091604
65,6,12,4,495,6.025625246247875,6.025625246247875,1.0,4.171147703286488,0.6922348358593722,0.5684586023291324,0.8300305027013869,0 6 8 9,0 6 8 9,250,2026091604
66,6,12,4,495,4.3926880965387305,4.392688096538731,1.0000000000000002,3.0589053490137363,0.6963629745130404,0.5773248664296834,0.8735940889447598,5 6 9 10,5 6 9 10,250,2026091604
67,6,12,4,495,3.6041771015456607,3.6041771015456607,1.0,2.5050206609066925,0.6950326219631128,0.5443903141752996,0.8454543336932117,2 6 8 10,2 6 8 10,250,2026091604
68,6,12,4,495,4.575242622211004,4.575242622211004,1.0,3.1835529888615293,0.6958216758618726,0.5695168930794484,0.8106194444274073,1 4 5 8,1 4 5 8,250,2026091604
69,6,12,4,495,4.592426919486063,4.592426919486062,0.9999999999999998,3.2958325537459885,0.7176668483849983,0.5742472548460602,0.8728274161405009,0 5 6 10,0 5 6 10,250,2026091604
70,6,12,4,495,5.038816858512365,5.038816858512365,1.0,2.9581784724570332,0.587077989837954,0.41703950313712373,0.7677983551800397,0 4 8 9,0 4 8 9,250,2026091604
71,6,12,4,495,5.561410614139333,5.561410614139333,1.0,3.735600001681001,0.671700088496183,0.5238115380141074,0.8380349199189839,3 5 8 10,3 5 8 10,250,2026091604
72,6,12,4,495,5.258388818466848,5.258388818466848,1.0,3.3753626970087733,0.6419005542448466,0.45893546598826684,0.8351661463493522,0 4 10 11,0 4 10 11,250,2026091604
73,6,12,4,495,4.568235894692962,4.568235894692963,1.0000000000000002,3.150989147246385,0.68976060341082,0.5511993786164977,0.817182184889456,0 1 4 11,0 1 4 11,250,2026091604
74,6,12,4,495,4.365353909706915,4.365353909706915,1.0,3.1665678474177623,0.7253862832006585,0.5793968393711885,0.8583538899412193,0 1 3 5,0 1 3 5,250,2026091604
75,6,12,4,495,3.620655778755247,3.620655778755247,1.0,2.3054839305571173,0.6367586623630166,0.44706898622768176,0.855137195499115,3 6 7 8,3 6 7 8,250,2026091604
76,6,12,4,495,4.928773184583351,4.928773184583352,1.0000000000000002,4.021423547258875,0.8159076095928772,0.7261972445651989,0.9125984744729148,5 7 8 10,5 7 8 10,250,2026091604
77,6,12,4,495,4.426510832953721,4.426510832953721,1.0,3.3504517073142392,0.7569057964054616,0.6325879696028377,0.8681248752166497,1 3 5 8,1 3 5 8,250,2026091604
78,6,12,4,495,3.7827506733790877,3.7827506733790868,0.9999999999999998,2.674481464337933,0.7070202863644856,0.5874944402126094,0.827972910757739,1 2 5 6,1 2 5 6,250,2026091604
79,6,12,4,495,4.21460162947647,4.19738285588984,0.9959144955797948,3.2109164218041806,0.7618552603755897,0.6267287727999965,0.9158440395466103,1 6 7 9,3 6 10 11,250,2026091604
80,6,12,4,495,3.1608086483030022,3.160808648303003,1.0000000000000002,2.3057365769566114,0.7294767996140898,0.6002217322357294,0.8625933506903727,5 6 8 11,5 6 8 11,250,2026091604
81,6,12,4,495,3.90212781320081,3.90212781320081,1.0,2.654381125028382,0.6802394109307929,0.5507950998536411,0.8451432540041142,0 6 7 10,0 6 7 10,250,2026091604
