delta,method,n_targets,n_computed,n_released,release_rate,mean_width,released_mean_point_error
0.1,atlas_descriptive,3,3,0,0.0,30.269217932392422,
0.1,design_meta_regression,3,0,0,,,
0.1,fixed_effect,3,3,0,0.0,45.64649486138742,
0.1,random_effects,3,0,0,,,
0.1,robust_training_range,3,3,0,0.0,49.048833027647504,
0.2,atlas_descriptive,3,3,0,0.0,30.269217932392422,
0.2,design_meta_regression,3,0,0,,,
0.2,fixed_effect,3,3,0,0.0,45.64649486138742,
0.2,random_effects,3,0,0,,,
0.2,robust_training_range,3,3,0,0.0,49.048833027647504,
0.4,atlas_descriptive,3,3,0,0.0,30.269217932392422,
0.4,design_meta_regression,3,0,0,,,
0.4,fixed_effect,3,3,0,0.0,45.64649486138742,
0.4,random_effects,3,0,0,,,
0.4,robust_training_range,3,3,0,0.0,49.048833027647504,
0.8,atlas_descriptive,3,3,0,0.0,30.269217932392422,
0.8,design_meta_regression,3,0,0,,,
0.8,fixed_effect,3,3,0,0.0,45.64649486138742,
0.8,random_effects,3,0,0,,,
0.8,robust_training_range,3,3,0,0.0,49.048833027647504,
