target,method,n_train,status,qualification_reason,estimate,lower,upper,radius,width,released,reference_lower,reference_upper,point_error,sign_error,released_error_beyond_delta,reference_relation
angelucci_mexico,fixed_effect,2,computed,variance_gate,3.640192944292033,-13.28395952221135,20.56434541079541,16.924152466503383,33.848304933006766,False,-7.84651236383083,7.84651236383083,3.640192944292033,False,False,contains_full
angelucci_mexico,random_effects,2,not_identified,frozen_df_rule_unavailable,,,,,inf,False,-7.84651236383083,7.84651236383083,,,,not_run
angelucci_mexico,design_meta_regression,2,not_qualified,variance_or_design_gate_failed,,,,,inf,False,-7.84651236383083,7.84651236383083,,,,not_run
angelucci_mexico,robust_training_range,2,computed,common_gate,5.546657641855885,-4.247724433339282,15.34103971705105,9.794382075195166,19.58876415039033,False,-7.84651236383083,7.84651236383083,5.546657641855885,False,False,partial_overlap
angelucci_mexico,atlas_descriptive,2,not_qualified,variance_or_design_gate_failed,,,,,inf,False,-7.84651236383083,7.84651236383083,,,,not_run
banerjee_india_endline1,fixed_effect,2,computed,variance_gate,-0.4833153370080418,-7.869819090699245,6.903188416683161,7.386503753691203,14.773007507382406,False,-11.329834530016457,42.01191396411856,15.824355054059094,True,False,partial_overlap
banerjee_india_endline1,random_effects,2,not_identified,frozen_df_rule_unavailable,,,,,inf,False,-11.329834530016457,42.01191396411856,,,,not_run
banerjee_india_endline1,design_meta_regression,2,not_qualified,variance_or_design_gate_failed,,,,,inf,False,-11.329834530016457,42.01191396411856,,,,not_run
banerjee_india_endline1,robust_training_range,2,computed,common_gate,-2.1238622166696413,-4.2477244333392825,0.0,2.1238622166696413,4.2477244333392825,False,-11.329834530016457,42.01191396411856,17.464901933720693,True,False,partial_overlap
banerjee_india_endline1,atlas_descriptive,2,not_qualified,variance_or_design_gate_failed,,,,,inf,False,-11.329834530016457,42.01191396411856,,,,not_run
crepon_morocco_all_sample,fixed_effect,2,computed,variance_gate,1.222033089127263,-6.30533852486573,8.749404703120256,7.527371613992993,15.054743227985986,False,-26.145993217918974,17.65054435124041,5.469757522466546,True,False,partial_overlap
crepon_morocco_all_sample,random_effects,2,not_identified,frozen_df_rule_unavailable,,,,,inf,False,-26.145993217918974,17.65054435124041,,,,not_run
crepon_morocco_all_sample,design_meta_regression,2,not_qualified,variance_or_design_gate_failed,,,,,inf,False,-26.145993217918974,17.65054435124041,,,,not_run
crepon_morocco_all_sample,robust_training_range,2,computed,common_gate,7.670519858525526,0.0,15.341039717051052,7.670519858525526,15.341039717051052,False,-26.145993217918974,17.65054435124041,11.91824429186481,True,False,partial_overlap
crepon_morocco_all_sample,atlas_descriptive,2,not_qualified,variance_or_design_gate_failed,,,,,inf,False,-26.145993217918974,17.65054435124041,,,,not_run
