delta,method,n_targets,n_computed,n_released,release_rate,mean_width,released_mean_point_error
0.1,atlas_descriptive,2,0,0,,,
0.1,design_meta_regression,2,0,0,,,
0.1,fixed_effect,2,2,0,0.0,34.5167523458193,
0.1,random_effects,2,0,0,,,
0.1,robust_training_range,2,0,0,,,
0.2,atlas_descriptive,2,0,0,,,
0.2,design_meta_regression,2,0,0,,,
0.2,fixed_effect,2,2,0,0.0,34.5167523458193,
0.2,random_effects,2,0,0,,,
0.2,robust_training_range,2,0,0,,,
0.4,atlas_descriptive,2,0,0,,,
0.4,design_meta_regression,2,0,0,,,
0.4,fixed_effect,2,2,0,0.0,34.5167523458193,
0.4,random_effects,2,0,0,,,
0.4,robust_training_range,2,0,0,,,
0.8,atlas_descriptive,2,0,0,,,
0.8,design_meta_regression,2,0,0,,,
0.8,fixed_effect,2,2,0,0.0,34.5167523458193,
0.8,random_effects,2,0,0,,,
0.8,robust_training_range,2,0,0,,,
